UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	1	1	auditory|speech	#FDAD4A	0.43108050593889
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	2	1		#FDAD4A	0.47994907167181
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	3	1	da|integration	#FC622F	0.626834016539116
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	4	1		#F03623	0.748684025160336
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	5	1	physical|psychophysical|tactile	#FC622F	0.646040241053059
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	6	1		#FC622F	0.635986974734329
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	7	1	somatosensory|stimulation	#FDAD4A	0.462822433534955
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	8	1	painful|pain	#FDAD4A	0.473517101238353
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	9	1		#FD913D	0.540676100914726
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	10	1	ratings	#FC622F	0.650539561273662
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	11	1	affective|affect	#FD913D	0.518733511279816
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	12	1	emotions	#FC622F	0.637294565396803
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	13	1	expression|expressions|facial	#F03623	0.719691564476658
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	14	1		#D7141E	0.874368465930678
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	15	1		#D7141E	0.876146765647526
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	16	1	emotion|motion|neutral	#F03623	0.798750356209838
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	17	1	rating	#FC622F	0.66871636949139
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	18	1	negative|positive	#FD913D	0.550934613181457
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	19	1		#FD913D	0.566581775251468
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	20	1	ear|order	#FDAD4A	0.48685672387162
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	21	1	motor	#FEE188	0.293092049599816
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	22	1	visual	#FD913D	0.585823759728699
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	23	1	age|image|response	#FD913D	0.571650485821154
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	1	2	sound|sounds	#FDAD4A	0.405832026444981
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	2	2		#FDAD4A	0.46347562195959
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	3	2	audiovisual|bimodal|crossmodal	#FC622F	0.693020818744604
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	4	2		#F03623	0.737816200689379
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	5	2		#F03623	0.727958237161975
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	6	2		#FC622F	0.648871730845337
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	7	2	sensation	#FDAD4A	0.410277884116169
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	8	2	heat|noxious	#FDAD4A	0.485152965901786
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	9	2		#FD913D	0.560891345033311
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	10	2		#FC622F	0.644476833221426
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	11	2		#FC622F	0.675903180046853
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	12	2	valence	#F03623	0.727386796516636
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	13	2	person|social	#D7141E	0.849435730938566
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	14	2		#D7141E	0.879919063760603
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	15	2	face|faces	#B10026	0.905632156001156
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	16	2		#D7141E	0.858792764562229
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	17	2		#F03623	0.764065326559991
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	18	2		#FC622F	0.660507934844144
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	19	2		#FD913D	0.571355222688317
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	20	2		#FD913D	0.508918550268792
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	21	2	images|spatial	#FD913D	0.589920006137473
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	22	2	control	#FDAD4A	0.47966432136617
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	23	2	time	#FD913D	0.540247886074332
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	1	3	acoustic|listening|musical|music|pitch	#FECB68	0.313578832808027
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	2	3	noise|tones	#FDAD4A	0.413595336636942
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	3	3		#FD913D	0.533904539677759
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	4	3		#FD913D	0.569849786811027
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	5	3	frequency	#FD913D	0.56092286298348
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	6	3		#FD913D	0.584882288317272
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	7	3		#FDAD4A	0.494477021970858
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	8	3	temperature	#FDAD4A	0.49793113239351
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	9	3		#FD913D	0.518641801733933
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	10	3	pleasant|unpleasant	#FDAD4A	0.493935260805217
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	11	3	anxiety	#FDAD4A	0.481402165292972
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	12	3		#FC622F	0.700002278950121
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	13	3		#D7141E	0.80124660446828
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	14	3		#D7141E	0.861722043554277
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	15	3		#D7141E	0.891623969002813
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	16	3	picture	#D7141E	0.879096438996173
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	17	3		#D7141E	0.825114679391521
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	18	3	value	#FD913D	0.561143167940242
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	19	3	cue	#FDAD4A	0.491833524489247
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	20	3	error|target	#FDAD4A	0.417545297819751
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	21	3	attention	#FDAD4A	0.483059993536674
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	22	3		#FDAD4A	0.499249529090765
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	23	3	number	#FDAD4A	0.461752731656324
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	1	4	voice	#FECB68	0.368739582302413
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	2	4		#FECB68	0.379074801110039
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	3	4	hearing	#FDAD4A	0.450144991938551
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	4	4		#FDAD4A	0.410565999643162
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	5	4	overt	#FECB68	0.329074464508214
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	6	4		#FDAD4A	0.467965454725049
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	7	4		#FD913D	0.514966684173064
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	8	4	nociceptive|nonpainful|painrelated	#FECB68	0.339659809617622
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	9	4	unpleasantness	#FDAD4A	0.483159811605878
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	10	4	skin|subjective	#FDAD4A	0.460210803408119
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	11	4	depression	#FD913D	0.550470238630496
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	12	4	experience	#FD913D	0.587808582930857
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	13	4	female	#FC622F	0.64282231338027
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	14	4	male	#F03623	0.765776885759512
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	15	4	pictures	#D7141E	0.87887667387417
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	16	4		#D7141E	0.899803394132685
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	17	4	perception	#F03623	0.782549116334599
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	18	4		#FC622F	0.682854530802966
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	19	4		#FC622F	0.615073255336979
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	20	4		#FD913D	0.566703626856136
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	21	4	correct	#FDAD4A	0.418551626323303
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	22	4	work	#FECB68	0.378765212321668
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	23	4	memory	#FDAD4A	0.471771489348289
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	1	5	prosodic|prosody	#FECB68	0.312188518612482
4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	Barbeau EJ	2	5	phonetic	#FECB68	0.326935303744456
