UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	1	1	auditory|speech	#FECB68	0.378733601194885
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	2	1		#FECB68	0.367217975437459
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	3	1	da|integration	#FD913D	0.508455742850047
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	4	1		#FD913D	0.558914498995482
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	5	1	physical|psychophysical|tactile	#FDAD4A	0.440933228705869
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	6	1		#FDAD4A	0.489581705417784
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	7	1	somatosensory|stimulation	#FD913D	0.545727726653428
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	8	1	painful|pain	#FEE188	0.212450129857024
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	9	1		#FECB68	0.312499074395547
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	10	1	ratings	#FDAD4A	0.4772664065648
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	11	1	affective|affect	#FEE188	0.281607243793736
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	12	1	emotions	#FECB68	0.326828569004159
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	13	1	expression|expressions|facial	#FECB68	0.322913121544701
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	14	1		#FDAD4A	0.446460651271133
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	15	1		#FDAD4A	0.462433672057399
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	16	1	emotion|motion|neutral	#FDAD4A	0.436231821952275
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	17	1	rating	#FDAD4A	0.478531950017469
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	18	1	negative|positive	#FDAD4A	0.47156284127861
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	19	1		#FD913D	0.59303754359401
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	20	1	ear|order	#FD913D	0.546675231190123
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	21	1	motor	#FC622F	0.642097577489119
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	22	1	visual	#FC622F	0.675961643464612
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	23	1	age|image|response	#FD913D	0.554094587476868
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	1	2	sound|sounds	#FEE188	0.251146416379089
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	2	2		#FECB68	0.3344699198393
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	3	2	audiovisual|bimodal|crossmodal	#FECB68	0.396152203103063
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	4	2		#FD913D	0.578369958857174
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	5	2		#FD913D	0.583594304275637
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	6	2		#FD913D	0.529993319736803
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	7	2	sensation	#FEE188	0.23882184201954
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	8	2	heat|noxious	#FEE188	0.204533084148387
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	9	2		#FEE188	0.293394986665597
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	10	2		#FECB68	0.384529858330121
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	11	2		#FECB68	0.39538054153647
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	12	2	valence	#FECB68	0.374704164172945
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	13	2	person|social	#FDAD4A	0.407659642158015
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	14	2		#FDAD4A	0.456137470511954
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	15	2	face|faces	#FDAD4A	0.459594471183768
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	16	2		#FD913D	0.533710453642874
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	17	2		#FD913D	0.551435918119772
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	18	2		#FD913D	0.597129436544224
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	19	2		#FC622F	0.618973829015243
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	20	2		#FC622F	0.622796795702729
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	21	2	images|spatial	#FC622F	0.615487906890832
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	22	2	control	#FDAD4A	0.4914759332881
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	23	2	time	#FD913D	0.578837831497027
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	1	3	acoustic|listening|musical|music|pitch	#FFF1A9	0.19288878283998
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	2	3	noise|tones	#FFF1A9	0.187620223549119
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	3	3		#FDAD4A	0.462271746657646
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	4	3		#FD913D	0.578052744566035
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	5	3	frequency	#FC622F	0.619423746990369
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	6	3		#FD913D	0.590377525079001
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	7	3		#FEE188	0.291529799071528
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	8	3	temperature	#FFFFCC	0.0563167249923156
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	9	3		#FEE188	0.271255034327179
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	10	3	pleasant|unpleasant	#FEE188	0.204973295482823
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	11	3	anxiety	#FEE188	0.208164696594964
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	12	3		#FECB68	0.393350256545115
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	13	3		#FDAD4A	0.474365261164987
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	14	3		#FDAD4A	0.48668729234661
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	15	3		#FD913D	0.528417135877401
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	16	3	picture	#FD913D	0.566248895407898
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	17	3		#FC622F	0.627680805418359
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	18	3	value	#FC622F	0.621246286621423
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	19	3	cue	#FD913D	0.572275566910293
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	20	3	error|target	#FD913D	0.586543779808536
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	21	3	attention	#FD913D	0.508389927025768
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	22	3		#FD913D	0.516002071225018
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	23	3	number	#FDAD4A	0.466585673587429
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	1	4	voice	#FFF1A9	0.181574941094507
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	2	4		#FEE188	0.274522718966763
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	3	4	hearing	#FECB68	0.304113298421522
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	4	4		#FD913D	0.506839920064588
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	5	4	overt	#FD913D	0.530398584088053
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	6	4		#FD913D	0.570699294402079
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	7	4		#FECB68	0.351309495292108
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	8	4	nociceptive|nonpainful|painrelated	#FFF1A9	0.166048873305335
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	9	4	unpleasantness	#FFF1A9	0.165934520715093
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	10	4	skin|subjective	#FECB68	0.373496152773843
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	11	4	depression	#FECB68	0.353934824782605
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	12	4	experience	#FECB68	0.372771794172116
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	13	4	female	#FECB68	0.365073166783802
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	14	4	male	#FDAD4A	0.497455487605764
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	15	4	pictures	#FD913D	0.50963875006302
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	16	4		#FC622F	0.649234499932435
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	17	4	perception	#FC622F	0.694428496292685
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	18	4		#FC622F	0.681945163592006
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	19	4		#FC622F	0.651500221604276
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	20	4		#FC622F	0.604858302096099
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	21	4	correct	#FDAD4A	0.416477508476089
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	22	4	work	#FECB68	0.392501700063477
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	23	4	memory	#FECB68	0.386869740875773
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	1	5	prosodic|prosody	#FFF1A9	0.171828900892922
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	2	5	phonetic	#FFF1A9	0.147975090029638
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	3	5	syllable|syllables	#FECB68	0.340627827255219
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	4	5		#FDAD4A	0.466733183741677
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	5	5	lip|production	#FDAD4A	0.444111915257916
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	6	5	somatotopic	#FDAD4A	0.448997947921288
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	7	5		#FDAD4A	0.479059300552746
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	8	5		#FECB68	0.371602970478879
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	9	5	empathy	#FECB68	0.366305452550419
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	10	5		#FDAD4A	0.420235748993071
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	11	5	disorder	#FECB68	0.368955296132546
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	12	5		#FDAD4A	0.452367557902623
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	13	5		#FDAD4A	0.488539225259256
50e7dd75-bf30-3d2c-acf7-9dd8f8562a1a	Lacquaniti F	14	5		#FD913D	0.512519734149868
