UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	1	1	auditory|speech	#FECB68	0.355798475815539
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	2	1		#FECB68	0.325403941734041
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	3	1	da|integration	#FECB68	0.330071711942272
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	4	1		#FD913D	0.551103107670828
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	5	1	physical|psychophysical|tactile	#FC622F	0.648802385239789
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	6	1		#D7141E	0.892196006802664
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	7	1	somatosensory|stimulation	#D7141E	0.888207138244048
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	8	1	painful|pain	#B10026	0.963373422708268
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	9	1		#B10026	0.974331846797359
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	10	1	ratings	#F03623	0.727639004934971
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	11	1	affective|affect	#FDAD4A	0.445220410906258
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	12	1	emotions	#FECB68	0.369928529453195
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	13	1	expression|expressions|facial	#FFF1A9	0.197999900341085
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	14	1		#FECB68	0.307610294309777
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	15	1		#FECB68	0.342846760158948
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	16	1	emotion|motion|neutral	#FECB68	0.353646078250958
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	17	1	rating	#FC622F	0.605068287582983
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	18	1	negative|positive	#FDAD4A	0.472826969782785
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	19	1		#FDAD4A	0.466448717022445
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	20	1	ear|order	#FDAD4A	0.412640708801521
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	21	1	motor	#FDAD4A	0.481215301086363
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	22	1	visual	#FEE188	0.268586851005191
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	23	1	age|image|response	#FDAD4A	0.406201482684056
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	1	2	sound|sounds	#FEE188	0.280512737323913
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	2	2		#FECB68	0.302284768217201
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	3	2	audiovisual|bimodal|crossmodal	#FFF1A9	0.130049206634655
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	4	2		#FD913D	0.543308660131756
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	5	2		#FC622F	0.687249492230306
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	6	2		#D7141E	0.874141132190629
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	7	2	sensation	#B10026	0.954850711856134
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	8	2	heat|noxious	#B10026	0.9749295402798
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	9	2		#B10026	0.963685811043166
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	10	2		#FC622F	0.686237297880405
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	11	2		#FD913D	0.580957816202815
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	12	2	valence	#FECB68	0.356072779680346
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	13	2	person|social	#FEE188	0.295552058023963
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	14	2		#FECB68	0.321100293336144
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	15	2	face|faces	#FEE188	0.204868427048199
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	16	2		#FDAD4A	0.407688017972152
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	17	2		#FDAD4A	0.465750443464469
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	18	2		#FDAD4A	0.489070255698232
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	19	2		#FDAD4A	0.467960132105665
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	20	2		#FDAD4A	0.424815758122935
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	21	2	images|spatial	#FECB68	0.364635937559434
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	22	2	control	#FDAD4A	0.404956911915433
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	23	2	time	#FDAD4A	0.408888393839566
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	1	3	acoustic|listening|musical|music|pitch	#FEE188	0.203310720897177
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	2	3	noise|tones	#FEE188	0.230763051733335
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	3	3		#FECB68	0.382749877986074
5180f299-2b7a-3d38-9648-a2882da2eb59	Robinson ME	4	3		#FDAD4A	0.488167119002073
