UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	1	1	auditory|speech	#FD913D	0.584379071757404
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	2	1		#FD913D	0.564395718265558
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	3	1	da|integration	#FC622F	0.64680606940401
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	4	1		#FD913D	0.551824319490918
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	5	1	physical|psychophysical|tactile	#FEE188	0.248110053945776
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	6	1		#FEE188	0.264440116976918
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	7	1	somatosensory|stimulation	#FFF1A9	0.199008670985265
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	8	1	painful|pain	#FFFFCC	0.0972294919228668
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	9	1		#FFF1A9	0.151809366735153
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	10	1	ratings	#FEE188	0.246845990866247
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	11	1	affective|affect	#FECB68	0.339035572279937
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	12	1	emotions	#FECB68	0.352847890194171
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	13	1	expression|expressions|facial	#FEE188	0.282630270751996
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	14	1		#FECB68	0.368128743885324
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	15	1		#FECB68	0.374050119840909
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	16	1	emotion|motion|neutral	#FECB68	0.341120944138401
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	17	1	rating	#FECB68	0.312984566855892
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	18	1	negative|positive	#FECB68	0.382618393863536
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	19	1		#FDAD4A	0.478325215081353
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	20	1	ear|order	#FD913D	0.556621963056965
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	21	1	motor	#FECB68	0.391362893136135
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	22	1	visual	#FDAD4A	0.466290938141253
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	23	1	age|image|response	#FD913D	0.524141871939347
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	1	2	sound|sounds	#FDAD4A	0.454498844926037
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	2	2		#FD913D	0.539305177273851
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	3	2	audiovisual|bimodal|crossmodal	#FDAD4A	0.424227538526167
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	4	2		#FD913D	0.573229666503387
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	5	2		#FDAD4A	0.448771738850735
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	6	2		#FECB68	0.315692491082263
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	7	2	sensation	#FFFFCC	0.0778316933247992
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	8	2	heat|noxious	#FFFFCC	0.0743855160145348
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	9	2		#FFF1A9	0.168463957800097
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	10	2		#FEE188	0.291591803949583
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	11	2		#FECB68	0.321832122958777
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	12	2	valence	#FEE188	0.284895205315079
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	13	2	person|social	#FECB68	0.387793184507641
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	14	2		#FECB68	0.38309545001427
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	15	2	face|faces	#FECB68	0.358260057935424
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	16	2		#FDAD4A	0.406841219896277
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	17	2		#FDAD4A	0.423625531607787
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	18	2		#FDAD4A	0.467360254496862
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	19	2		#FD913D	0.5001560188237
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	20	2		#FDAD4A	0.48910662312977
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	21	2	images|spatial	#FDAD4A	0.463761634675667
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	22	2	control	#FD913D	0.525433885371411
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	23	2	time	#FD913D	0.515700423683492
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	1	3	acoustic|listening|musical|music|pitch	#FECB68	0.398895665111479
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	2	3	noise|tones	#FDAD4A	0.437214739633011
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	3	3		#FC622F	0.602781228049192
52231e92-250e-3ba3-b46a-68f705169a5d	Hagoort P	4	3		#FC622F	0.628555578574759
