UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
542fc67c-ec81-3d31-a148-ddb8af95a25c	Czisch M	1	1	auditory|speech	#D7141E	0.850117978227509
542fc67c-ec81-3d31-a148-ddb8af95a25c	Czisch M	2	1		#D7141E	0.840400765026883
542fc67c-ec81-3d31-a148-ddb8af95a25c	Czisch M	3	1	da|integration	#F03623	0.761908780388064
542fc67c-ec81-3d31-a148-ddb8af95a25c	Czisch M	4	1		#FC622F	0.691931872657224
542fc67c-ec81-3d31-a148-ddb8af95a25c	Czisch M	5	1	physical|psychophysical|tactile	#FECB68	0.317010272321177
542fc67c-ec81-3d31-a148-ddb8af95a25c	Czisch M	6	1		#FD913D	0.562429559568371
542fc67c-ec81-3d31-a148-ddb8af95a25c	Czisch M	7	1	somatosensory|stimulation	#FC622F	0.631840760117984
542fc67c-ec81-3d31-a148-ddb8af95a25c	Czisch M	8	1	painful|pain	#FDAD4A	0.472726714544195
542fc67c-ec81-3d31-a148-ddb8af95a25c	Czisch M	9	1		#FC622F	0.65530235876484
542fc67c-ec81-3d31-a148-ddb8af95a25c	Czisch M	10	1	ratings	#D7141E	0.847946751639661
542fc67c-ec81-3d31-a148-ddb8af95a25c	Czisch M	11	1	affective|affect	#F03623	0.760607729447601
542fc67c-ec81-3d31-a148-ddb8af95a25c	Czisch M	12	1	emotions	#F03623	0.754025527542829
542fc67c-ec81-3d31-a148-ddb8af95a25c	Czisch M	13	1	expression|expressions|facial	#FD913D	0.59483219262226
542fc67c-ec81-3d31-a148-ddb8af95a25c	Czisch M	14	1		#F03623	0.70132453398214
542fc67c-ec81-3d31-a148-ddb8af95a25c	Czisch M	15	1		#F03623	0.753898716505603
542fc67c-ec81-3d31-a148-ddb8af95a25c	Czisch M	16	1	emotion|motion|neutral	#D7141E	0.809685810404475
542fc67c-ec81-3d31-a148-ddb8af95a25c	Czisch M	17	1	rating	#F03623	0.788822788554001
542fc67c-ec81-3d31-a148-ddb8af95a25c	Czisch M	18	1	negative|positive	#F03623	0.755350292914262
542fc67c-ec81-3d31-a148-ddb8af95a25c	Czisch M	19	1		#FC622F	0.672904005601249
542fc67c-ec81-3d31-a148-ddb8af95a25c	Czisch M	20	1	ear|order	#FD913D	0.573052509192214
542fc67c-ec81-3d31-a148-ddb8af95a25c	Czisch M	21	1	motor	#FDAD4A	0.451527748516962
542fc67c-ec81-3d31-a148-ddb8af95a25c	Czisch M	22	1	visual	#FDAD4A	0.417125722975011
542fc67c-ec81-3d31-a148-ddb8af95a25c	Czisch M	23	1	age|image|response	#FD913D	0.588784884505011
542fc67c-ec81-3d31-a148-ddb8af95a25c	Czisch M	1	2	sound|sounds	#F03623	0.797367537975842
542fc67c-ec81-3d31-a148-ddb8af95a25c	Czisch M	2	2		#D7141E	0.834886609603008
542fc67c-ec81-3d31-a148-ddb8af95a25c	Czisch M	3	2	audiovisual|bimodal|crossmodal	#F03623	0.728562154448725
542fc67c-ec81-3d31-a148-ddb8af95a25c	Czisch M	4	2		#F03623	0.719388147551126
542fc67c-ec81-3d31-a148-ddb8af95a25c	Czisch M	5	2		#FC622F	0.660561883314732
542fc67c-ec81-3d31-a148-ddb8af95a25c	Czisch M	6	2		#FC622F	0.606591350670011
542fc67c-ec81-3d31-a148-ddb8af95a25c	Czisch M	7	2	sensation	#FC622F	0.661583157441874
542fc67c-ec81-3d31-a148-ddb8af95a25c	Czisch M	8	2	heat|noxious	#FDAD4A	0.460882189422785
542fc67c-ec81-3d31-a148-ddb8af95a25c	Czisch M	9	2		#FC622F	0.653671475058957
542fc67c-ec81-3d31-a148-ddb8af95a25c	Czisch M	10	2		#D7141E	0.812869630091158
542fc67c-ec81-3d31-a148-ddb8af95a25c	Czisch M	11	2		#D7141E	0.817827252708904
542fc67c-ec81-3d31-a148-ddb8af95a25c	Czisch M	12	2	valence	#F03623	0.773159566664004
