UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	1	1	auditory|speech	#FDAD4A	0.417635357263491
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	2	1		#FECB68	0.371243489811074
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	3	1	da|integration	#FDAD4A	0.451395119526346
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	4	1		#FDAD4A	0.491834524266734
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	5	1	physical|psychophysical|tactile	#FDAD4A	0.400654380264985
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	6	1		#FD913D	0.506415793756933
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	7	1	somatosensory|stimulation	#FDAD4A	0.455223447678928
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	8	1	painful|pain	#FDAD4A	0.455419791600439
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	9	1		#FDAD4A	0.496154200619312
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	10	1	ratings	#FDAD4A	0.47401524137425
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	11	1	affective|affect	#FD913D	0.575103749226706
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	12	1	emotions	#FD913D	0.518122524585419
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	13	1	expression|expressions|facial	#FECB68	0.370301202028777
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	14	1		#FD913D	0.504279093748098
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	15	1		#FD913D	0.508420721982546
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	16	1	emotion|motion|neutral	#FDAD4A	0.471665669435319
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	17	1	rating	#FDAD4A	0.496996021106384
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	18	1	negative|positive	#FD913D	0.507115305814139
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	19	1		#FC622F	0.607469613175584
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	20	1	ear|order	#FC622F	0.604989749653105
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	21	1	motor	#FD913D	0.570077906846969
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	22	1	visual	#FDAD4A	0.48960960360442
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	23	1	age|image|response	#FD913D	0.590424783353281
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	1	2	sound|sounds	#FEE188	0.27051430498701
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	2	2		#FECB68	0.360015693577411
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	3	2	audiovisual|bimodal|crossmodal	#FFF1A9	0.163351702170929
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	4	2		#FD913D	0.503327183801834
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	5	2		#FD913D	0.523983498906682
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	6	2		#FD913D	0.530491637582914
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	7	2	sensation	#FECB68	0.388331978891619
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	8	2	heat|noxious	#FECB68	0.357858189453559
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	9	2		#FD913D	0.532159024995005
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	10	2		#FC622F	0.603410136098866
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	11	2		#FC622F	0.600713143258332
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	12	2	valence	#FD913D	0.509792378308597
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	13	2	person|social	#FD913D	0.574772172910377
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	14	2		#FD913D	0.514045998976389
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	15	2	face|faces	#FDAD4A	0.422187876094175
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	16	2		#FD913D	0.5438763912012
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	17	2		#FD913D	0.574309523112631
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	18	2		#FC622F	0.61750578334862
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	19	2		#FC622F	0.637131589728768
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	20	2		#FC622F	0.621038563855095
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	21	2	images|spatial	#FD913D	0.566203159372481
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	22	2	control	#FC622F	0.631747422291352
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	23	2	time	#FD913D	0.590350680154858
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	1	3	acoustic|listening|musical|music|pitch	#FEE188	0.28016192031257
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	2	3	noise|tones	#FECB68	0.333286453590001
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	3	3		#FDAD4A	0.459311418156524
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	4	3		#FD913D	0.529447055313284
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	5	3	frequency	#FD913D	0.540826425576697
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	6	3		#FC622F	0.621657389306044
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	7	3		#FDAD4A	0.488189323148092
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	8	3	temperature	#FDAD4A	0.408879262933902
56acd931-e792-3299-ab83-2e37a7662b51	Vossel G	9	3		#FD913D	0.567586039859376
