UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	1	1	auditory|speech	#FECB68	0.369787175962959
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	2	1		#FECB68	0.354649778040107
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	3	1	da|integration	#FC622F	0.654097312583029
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	4	1		#FD913D	0.573801245354681
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	5	1	physical|psychophysical|tactile	#FDAD4A	0.431793481478772
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	6	1		#FDAD4A	0.484147034572569
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	7	1	somatosensory|stimulation	#FDAD4A	0.409150823907504
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	8	1	painful|pain	#FECB68	0.357338916754155
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	9	1		#FECB68	0.396979723278277
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	10	1	ratings	#FDAD4A	0.448182356940209
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	11	1	affective|affect	#FDAD4A	0.438939176462491
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	12	1	emotions	#FECB68	0.327387521042694
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	13	1	expression|expressions|facial	#FEE188	0.272554478324089
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	14	1		#FDAD4A	0.477858412629077
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	15	1		#FD913D	0.524072954280898
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	16	1	emotion|motion|neutral	#FDAD4A	0.476412425368589
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	17	1	rating	#FD913D	0.521196963088855
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	18	1	negative|positive	#FC622F	0.613413345444361
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	19	1		#F03623	0.742637288040746
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	20	1	ear|order	#F03623	0.724027969034154
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	21	1	motor	#FC622F	0.661124876219913
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	22	1	visual	#D7141E	0.850803645019224
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	23	1	age|image|response	#F03623	0.732853503576035
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	1	2	sound|sounds	#FEE188	0.199702711364432
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	2	2		#FECB68	0.321686614239929
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	3	2	audiovisual|bimodal|crossmodal	#FECB68	0.368226627796495
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	4	2		#FD913D	0.596641224921326
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	5	2		#FD913D	0.58551641767474
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	6	2		#FD913D	0.526363180931169
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	7	2	sensation	#FECB68	0.327103685606232
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	8	2	heat|noxious	#FEE188	0.265239376477313
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	9	2		#FECB68	0.394907416923645
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	10	2		#FDAD4A	0.423887334828653
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	11	2		#FDAD4A	0.423936465339797
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	12	2	valence	#FECB68	0.347597857962346
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	13	2	person|social	#FDAD4A	0.414736016551445
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	14	2		#FD913D	0.500228520805981
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	15	2	face|faces	#FD913D	0.577768718387413
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	16	2		#FC622F	0.610753221594116
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	17	2		#FC622F	0.642880794115464
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	18	2		#F03623	0.72708247971773
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	19	2		#F03623	0.77952122095046
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	20	2		#F03623	0.79788653475827
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	21	2	images|spatial	#F03623	0.773807375144981
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	22	2	control	#F03623	0.761192481308378
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	23	2	time	#F03623	0.766396643172509
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	1	3	acoustic|listening|musical|music|pitch	#FFF1A9	0.133843091312953
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	2	3	noise|tones	#FEE188	0.252071625625884
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	3	3		#FDAD4A	0.478042301574641
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	4	3		#FC622F	0.643427587367559
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	5	3	frequency	#FC622F	0.672358701370412
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	6	3		#FC622F	0.67450561386391
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	7	3		#FDAD4A	0.415811128960447
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	8	3	temperature	#FEE188	0.278803769357739
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	9	3		#FECB68	0.39059751059207
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	10	3	pleasant|unpleasant	#FEE188	0.269686125589275
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	11	3	anxiety	#FECB68	0.306378625074363
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	12	3		#FDAD4A	0.483179335190024
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	13	3		#FD913D	0.579880148363187
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	14	3		#FD913D	0.581057315967187
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	15	3		#FC622F	0.631985995163296
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	16	3	picture	#F03623	0.718139917160058
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	17	3		#F03623	0.728321360840928
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	18	3	value	#F03623	0.74690645997288
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	19	3	cue	#F03623	0.771434523776308
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	20	3	error|target	#D7141E	0.83062606363623
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	21	3	attention	#D7141E	0.834349345096732
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	22	3		#D7141E	0.830125810022834
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	23	3	number	#D7141E	0.815139912661942
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	1	4	voice	#FFF1A9	0.122870879123304
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	2	4		#FEE188	0.283216408023003
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	3	4	hearing	#FDAD4A	0.405471752196352
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	4	4		#FD913D	0.578881680380694
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	5	4	overt	#F03623	0.713664820646393
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	6	4		#FC622F	0.622818478087762
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	7	4		#FDAD4A	0.478701187844974
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	8	4	nociceptive|nonpainful|painrelated	#FECB68	0.329943823688005
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	9	4	unpleasantness	#FEE188	0.295540057349906
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	10	4	skin|subjective	#FDAD4A	0.403800905569489
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	11	4	depression	#FDAD4A	0.440989717986712
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	12	4	experience	#FD913D	0.500610326109889
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	13	4	female	#FD913D	0.593606668324379
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	14	4	male	#FC622F	0.625232315274797
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	15	4	pictures	#FC622F	0.658202909525971
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	16	4		#F03623	0.750150120702733
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	17	4	perception	#FC622F	0.680948730665487
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	18	4		#D7141E	0.859870869546225
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	19	4		#D7141E	0.869610730286195
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	20	4		#D7141E	0.869246056279229
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	21	4	correct	#D7141E	0.820710268165634
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	22	4	work	#D7141E	0.816325486332027
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	23	4	memory	#F03623	0.785090667891697
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	1	5	prosodic|prosody	#FFF1A9	0.140095690783245
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	2	5	phonetic	#FEE188	0.294277724120305
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	3	5	syllable|syllables	#FDAD4A	0.413703420534116
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	4	5		#FD913D	0.531525296180435
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	5	5	lip|production	#FECB68	0.393348730473213
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	6	5	somatotopic	#FECB68	0.353116645249785
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	7	5		#FD913D	0.565139577912404
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	8	5		#FD913D	0.504394808415424
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	9	5	empathy	#FD913D	0.522443204538101
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	10	5		#FD913D	0.584955230450273
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	11	5	disorder	#FDAD4A	0.455266563404033
58ae7c6a-9008-3356-9bb9-bc41e6647c22	Volkow ND	12	5		#FC622F	0.612295215019075
