UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
599feed1-b4aa-309a-a686-49430747c2ca	Staines WR	1	1	auditory|speech	#FECB68	0.35743059677792
599feed1-b4aa-309a-a686-49430747c2ca	Staines WR	2	1		#FECB68	0.3411582157004
599feed1-b4aa-309a-a686-49430747c2ca	Staines WR	3	1	da|integration	#FD913D	0.54999910322227
599feed1-b4aa-309a-a686-49430747c2ca	Staines WR	4	1		#FD913D	0.592262089418542
599feed1-b4aa-309a-a686-49430747c2ca	Staines WR	5	1	physical|psychophysical|tactile	#FD913D	0.510335838821331
599feed1-b4aa-309a-a686-49430747c2ca	Staines WR	6	1		#FD913D	0.5300699431996
599feed1-b4aa-309a-a686-49430747c2ca	Staines WR	7	1	somatosensory|stimulation	#FD913D	0.572758218875668
599feed1-b4aa-309a-a686-49430747c2ca	Staines WR	8	1	painful|pain	#FEE188	0.273667775004516
599feed1-b4aa-309a-a686-49430747c2ca	Staines WR	9	1		#FECB68	0.301765121805927
599feed1-b4aa-309a-a686-49430747c2ca	Staines WR	10	1	ratings	#FECB68	0.32505096799156
599feed1-b4aa-309a-a686-49430747c2ca	Staines WR	11	1	affective|affect	#FECB68	0.316160092499468
599feed1-b4aa-309a-a686-49430747c2ca	Staines WR	12	1	emotions	#FDAD4A	0.42769841553717
599feed1-b4aa-309a-a686-49430747c2ca	Staines WR	13	1	expression|expressions|facial	#FECB68	0.365942033739794
599feed1-b4aa-309a-a686-49430747c2ca	Staines WR	14	1		#FDAD4A	0.455417728773405
599feed1-b4aa-309a-a686-49430747c2ca	Staines WR	15	1		#FDAD4A	0.432563332603813
599feed1-b4aa-309a-a686-49430747c2ca	Staines WR	16	1	emotion|motion|neutral	#FECB68	0.360923995553896
599feed1-b4aa-309a-a686-49430747c2ca	Staines WR	17	1	rating	#FECB68	0.317241112322964
599feed1-b4aa-309a-a686-49430747c2ca	Staines WR	18	1	negative|positive	#FECB68	0.344562086407218
599feed1-b4aa-309a-a686-49430747c2ca	Staines WR	19	1		#FD913D	0.509200308766354
599feed1-b4aa-309a-a686-49430747c2ca	Staines WR	20	1	ear|order	#FDAD4A	0.490835717538692
599feed1-b4aa-309a-a686-49430747c2ca	Staines WR	21	1	motor	#FC622F	0.653265476882719
599feed1-b4aa-309a-a686-49430747c2ca	Staines WR	22	1	visual	#FD913D	0.584939553880939
599feed1-b4aa-309a-a686-49430747c2ca	Staines WR	23	1	age|image|response	#FDAD4A	0.457798545611193
599feed1-b4aa-309a-a686-49430747c2ca	Staines WR	1	2	sound|sounds	#FEE188	0.226714598529344
599feed1-b4aa-309a-a686-49430747c2ca	Staines WR	2	2		#FEE188	0.29786464830788
599feed1-b4aa-309a-a686-49430747c2ca	Staines WR	3	2	audiovisual|bimodal|crossmodal	#FECB68	0.392204276802933
599feed1-b4aa-309a-a686-49430747c2ca	Staines WR	4	2		#FC622F	0.604699006025037
599feed1-b4aa-309a-a686-49430747c2ca	Staines WR	5	2		#FC622F	0.638077635660781
599feed1-b4aa-309a-a686-49430747c2ca	Staines WR	6	2		#FD913D	0.570078392481838
599feed1-b4aa-309a-a686-49430747c2ca	Staines WR	7	2	sensation	#FFF1A9	0.183257420221511
599feed1-b4aa-309a-a686-49430747c2ca	Staines WR	8	2	heat|noxious	#FEE188	0.218223322877552
599feed1-b4aa-309a-a686-49430747c2ca	Staines WR	9	2		#FEE188	0.29774808716456
