UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	1	1	auditory|speech	#FECB68	0.321050543726105
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	2	1		#FEE188	0.283225056278205
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	3	1	da|integration	#FD913D	0.544486982583132
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	4	1		#FD913D	0.542030439536179
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	5	1	physical|psychophysical|tactile	#FD913D	0.500940220012007
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	6	1		#FC622F	0.604462645839304
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	7	1	somatosensory|stimulation	#FD913D	0.566688257679732
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	8	1	painful|pain	#FD913D	0.519322462135848
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	9	1		#FD913D	0.562302010045543
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	10	1	ratings	#FD913D	0.535388460753768
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	11	1	affective|affect	#FD913D	0.5040154625953
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	12	1	emotions	#FDAD4A	0.474304745240071
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	13	1	expression|expressions|facial	#FECB68	0.346848364125936
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	14	1		#FD913D	0.554884154636774
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	15	1		#FD913D	0.593615880634962
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	16	1	emotion|motion|neutral	#FD913D	0.548589014458952
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	17	1	rating	#FD913D	0.56817990352063
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	18	1	negative|positive	#FC622F	0.630062546983079
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	19	1		#F03623	0.734256336229803
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	20	1	ear|order	#FC622F	0.680260038015233
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	21	1	motor	#FD913D	0.555304622479706
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	22	1	visual	#F03623	0.745828132554459
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	23	1	age|image|response	#F03623	0.73439247600382
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	1	2	sound|sounds	#FFF1A9	0.141538748021126
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	2	2		#FEE188	0.236264908516548
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	3	2	audiovisual|bimodal|crossmodal	#FEE188	0.241175220952913
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	4	2		#FD913D	0.557895436797315
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	5	2		#FC622F	0.60285871174291
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	6	2		#FC622F	0.633380199529894
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	7	2	sensation	#FDAD4A	0.462668632401772
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	8	2	heat|noxious	#FDAD4A	0.447491931775478
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	9	2		#FD913D	0.569718087857664
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	10	2		#FD913D	0.589854307799173
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	11	2		#FD913D	0.57750788519326
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	12	2	valence	#FDAD4A	0.496057864492075
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	13	2	person|social	#FD913D	0.532681417533845
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	14	2		#FD913D	0.576945899744
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	15	2	face|faces	#FD913D	0.583571734605645
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	16	2		#FC622F	0.663395295066076
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	17	2		#FC622F	0.692023706259494
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	18	2		#F03623	0.756268103661316
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	19	2		#F03623	0.779510072375279
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	20	2		#F03623	0.768809471854882
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	21	2	images|spatial	#F03623	0.756096221132554
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	22	2	control	#F03623	0.747054751367034
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	23	2	time	#F03623	0.753603865132449
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	1	3	acoustic|listening|musical|music|pitch	#FFFFCC	0.000927769067789968
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	2	3	noise|tones	#FFFFCC	0.0991904181342681
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	3	3		#FECB68	0.350917707321437
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	4	3		#FD913D	0.522835353658105
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	5	3	frequency	#FC622F	0.628756040084045
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	6	3		#FC622F	0.698860987361005
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	7	3		#FD913D	0.55338291045986
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	8	3	temperature	#FDAD4A	0.442751343130463
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	9	3		#FD913D	0.582893653827222
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	10	3	pleasant|unpleasant	#FDAD4A	0.457068567860071
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	11	3	anxiety	#FDAD4A	0.434293185922581
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	12	3		#FC622F	0.622409234135347
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	13	3		#FC622F	0.688828336870793
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	14	3		#FC622F	0.659765873824465
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	15	3		#FC622F	0.698631206238664
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	16	3	picture	#F03623	0.742434368708039
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	17	3		#F03623	0.780994020567323
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	18	3	value	#F03623	0.786745079098738
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	19	3	cue	#D7141E	0.802453152000894
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	20	3	error|target	#D7141E	0.820405695040858
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	21	3	attention	#D7141E	0.829401075239546
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	22	3		#F03623	0.795713395955087
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	23	3	number	#F03623	0.784190776486718
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	1	4	voice	#FFF1A9	0.106440932551088
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	2	4		#FFF1A9	0.162369160897873
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	3	4	hearing	#FEE188	0.226386954284236
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	4	4		#FDAD4A	0.42709017550837
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	5	4	overt	#FD913D	0.556452039970859
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	6	4		#FD913D	0.546129520564319
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	7	4		#FC622F	0.608630849202778
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	8	4	nociceptive|nonpainful|painrelated	#FDAD4A	0.444814489641792
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	9	4	unpleasantness	#FDAD4A	0.496125010356901
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	10	4	skin|subjective	#FC622F	0.684975645224804
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	11	4	depression	#FC622F	0.604886781949004
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	12	4	experience	#FC622F	0.669748413356114
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	13	4	female	#FC622F	0.659212880722427
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	14	4	male	#FC622F	0.683768543988205
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	15	4	pictures	#F03623	0.717832223855671
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	16	4		#F03623	0.799338888298801
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	17	4	perception	#F03623	0.739320358716661
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	18	4		#D7141E	0.88103020180779
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	19	4		#D7141E	0.877105851721515
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	20	4		#D7141E	0.864309907955878
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	21	4	correct	#D7141E	0.836875394382404
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	22	4	work	#F03623	0.789795181516022
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	23	4	memory	#F03623	0.746532732867947
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	1	5	prosodic|prosody	#FFF1A9	0.152087842128445
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	2	5	phonetic	#FFF1A9	0.135019095530387
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	3	5	syllable|syllables	#FEE188	0.247810006474121
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	4	5		#FECB68	0.36585665884038
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	5	5	lip|production	#FEE188	0.246715542660843
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	6	5	somatotopic	#FFF1A9	0.196999614023043
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	7	5		#F03623	0.799249405130876
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	8	5		#D7141E	0.835735709892243
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	9	5	empathy	#D7141E	0.824091511650448
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	10	5		#F03623	0.795182844149422
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	11	5	disorder	#FC622F	0.616121488306875
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	12	5		#F03623	0.724841946284464
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	13	5		#FC622F	0.668733864006056
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	14	5		#FC622F	0.648453366607831
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	15	5		#FC622F	0.668614072051104
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	16	5		#F03623	0.727165221504031
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	17	5		#F03623	0.766317215651291
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	18	5	mental	#D7141E	0.884575339957509
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	19	5	go	#D7141E	0.830793293641682
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	20	5	object	#F03623	0.762907775674275
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	21	5		#F03623	0.800380712724771
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	22	5		#FC622F	0.695873618171614
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	23	5	word|words	#FD913D	0.553143897076292
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	1	6		#FDAD4A	0.420254343964536
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	2	6		#FDAD4A	0.441175161309151
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	3	6		#FDAD4A	0.481000534886529
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	4	6	vocal	#FFF1A9	0.190829592061658
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	5	6	articulatory	#FFF1A9	0.122853295727496
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	6	6		#FD913D	0.506050156019574
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	7	6	oddball	#F03623	0.749390960680036
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	8	6	perceived	#FC622F	0.698448564533652
5a4260f2-12a6-312a-b148-96a81a1870a2	Burgund ED	9	6	errorrelated	#B10026	1
