UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
5abfa7f3-580a-3b15-bcc9-a0adebaf5a0e	May A	1	1	auditory|speech	#FEE188	0.268195584172254
5abfa7f3-580a-3b15-bcc9-a0adebaf5a0e	May A	2	1		#FEE188	0.278649761414531
5abfa7f3-580a-3b15-bcc9-a0adebaf5a0e	May A	3	1	da|integration	#FDAD4A	0.455779103223069
5abfa7f3-580a-3b15-bcc9-a0adebaf5a0e	May A	4	1		#FECB68	0.39491903748908
5abfa7f3-580a-3b15-bcc9-a0adebaf5a0e	May A	5	1	physical|psychophysical|tactile	#FECB68	0.333807309049219
5abfa7f3-580a-3b15-bcc9-a0adebaf5a0e	May A	6	1		#FDAD4A	0.41744942325337
5abfa7f3-580a-3b15-bcc9-a0adebaf5a0e	May A	7	1	somatosensory|stimulation	#FECB68	0.396948717999584
5abfa7f3-580a-3b15-bcc9-a0adebaf5a0e	May A	8	1	painful|pain	#FDAD4A	0.442759856450266
5abfa7f3-580a-3b15-bcc9-a0adebaf5a0e	May A	9	1		#FD913D	0.525582283130553
5abfa7f3-580a-3b15-bcc9-a0adebaf5a0e	May A	10	1	ratings	#F03623	0.797607751814577
5abfa7f3-580a-3b15-bcc9-a0adebaf5a0e	May A	11	1	affective|affect	#F03623	0.747084479113439
5abfa7f3-580a-3b15-bcc9-a0adebaf5a0e	May A	12	1	emotions	#D7141E	0.815514138755637
5abfa7f3-580a-3b15-bcc9-a0adebaf5a0e	May A	13	1	expression|expressions|facial	#D7141E	0.828672388607125
5abfa7f3-580a-3b15-bcc9-a0adebaf5a0e	May A	14	1		#D7141E	0.846899893312732
5abfa7f3-580a-3b15-bcc9-a0adebaf5a0e	May A	15	1		#D7141E	0.801241601671858
5abfa7f3-580a-3b15-bcc9-a0adebaf5a0e	May A	16	1	emotion|motion|neutral	#FC622F	0.700154685522043
5abfa7f3-580a-3b15-bcc9-a0adebaf5a0e	May A	17	1	rating	#FC622F	0.681089357695933
5abfa7f3-580a-3b15-bcc9-a0adebaf5a0e	May A	18	1	negative|positive	#FD913D	0.583717446844027
5abfa7f3-580a-3b15-bcc9-a0adebaf5a0e	May A	19	1		#FDAD4A	0.482146176521724
5abfa7f3-580a-3b15-bcc9-a0adebaf5a0e	May A	20	1	ear|order	#FECB68	0.336841857214583
