UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	1	1	auditory|speech	#FFF1A9	0.154559455266387
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	2	1		#FFF1A9	0.161816238425164
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	3	1	da|integration	#FFF1A9	0.195910593921548
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	4	1		#FFF1A9	0.187531109388271
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	5	1	physical|psychophysical|tactile	#FFF1A9	0.192268824837373
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	6	1		#FEE188	0.285400578984524
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	7	1	somatosensory|stimulation	#FECB68	0.301969397647145
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	8	1	painful|pain	#FECB68	0.381910245670183
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	9	1		#FDAD4A	0.445724184628127
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	10	1	ratings	#FC622F	0.636044467077739
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	11	1	affective|affect	#FD913D	0.540822311933805
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	12	1	emotions	#FDAD4A	0.44798910498209
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	13	1	expression|expressions|facial	#FDAD4A	0.49175467297133
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	14	1		#FDAD4A	0.493476273998239
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	15	1		#FD913D	0.507935262652847
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	16	1	emotion|motion|neutral	#FD913D	0.536103114370421
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	17	1	rating	#FD913D	0.56554083273524
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	18	1	negative|positive	#FD913D	0.514313435590568
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	19	1		#FECB68	0.323873040514777
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	20	1	ear|order	#FEE188	0.205170916694678
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	21	1	motor	#FFFFCC	0.0302202197242575
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	22	1	visual	#FFFFCC	0
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	23	1	age|image|response	#FFF1A9	0.122483636010775
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	1	2	sound|sounds	#FFF1A9	0.161744740640181
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	2	2		#FFF1A9	0.163872870157332
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	3	2	audiovisual|bimodal|crossmodal	#FFF1A9	0.141034285444279
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	4	2		#FFF1A9	0.19822608554605
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	5	2		#FEE188	0.236218127654095
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	6	2		#FEE188	0.288222540164837
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	7	2	sensation	#FECB68	0.35415587607142
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	8	2	heat|noxious	#FEE188	0.257171811159292
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	9	2		#FDAD4A	0.440606202784917
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	10	2		#FD913D	0.524713344423992
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	11	2		#FD913D	0.525433174584573
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	12	2	valence	#FD913D	0.547766897421112
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	13	2	person|social	#FECB68	0.342536995882339
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	14	2		#FDAD4A	0.489369085758643
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	15	2	face|faces	#FECB68	0.342590542935332
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	16	2		#FDAD4A	0.488419413984668
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	17	2		#FDAD4A	0.498013134551557
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	18	2		#FDAD4A	0.414098217027172
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	19	2		#FEE188	0.298642820655234
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	20	2		#FFF1A9	0.162980623446828
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	21	2	images|spatial	#FFF1A9	0.150097648801605
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	22	2	control	#FFF1A9	0.103408534842681
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	23	2	time	#FFF1A9	0.126501520999636
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	1	3	acoustic|listening|musical|music|pitch	#FFF1A9	0.174299437155397
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	2	3	noise|tones	#FEE188	0.214096713325473
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	3	3		#FFF1A9	0.17681244545211
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	4	3		#FFF1A9	0.19677746773093
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	5	3	frequency	#FEE188	0.27833602358474
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	6	3		#FEE188	0.279894403143378
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	7	3		#FECB68	0.353451940722176
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	8	3	temperature	#FEE188	0.240870750165322
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	9	3		#FECB68	0.394409943037634
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	10	3	pleasant|unpleasant	#FECB68	0.352611530197061
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	11	3	anxiety	#FDAD4A	0.493917645987039
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	12	3		#FD913D	0.502089981998438
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	13	3		#FDAD4A	0.486688008493535
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	14	3		#FD913D	0.500762895789006
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	15	3		#FDAD4A	0.469105264227066
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	16	3	picture	#FECB68	0.379656270154332
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	17	3		#FDAD4A	0.412505203596596
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	18	3	value	#FECB68	0.352671161404177
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	19	3	cue	#FEE188	0.220315125986703
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	20	3	error|target	#FFF1A9	0.11608735383661
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	21	3	attention	#FFFFCC	0.0606113782856233
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	22	3		#FFF1A9	0.117729225789995
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	23	3	number	#FFF1A9	0.160545252593441
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	1	4	voice	#FFF1A9	0.145838031521037
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	2	4		#FFF1A9	0.17653028952055
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	3	4	hearing	#FFF1A9	0.137020699812186
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	4	4		#FFF1A9	0.182873245980311
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	5	4	overt	#FFF1A9	0.155151654580217
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	6	4		#FEE188	0.2389397718763
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	7	4		#FECB68	0.379990906395272
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	8	4	nociceptive|nonpainful|painrelated	#FDAD4A	0.444232220471305
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	9	4	unpleasantness	#FDAD4A	0.407736933459762
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	10	4	skin|subjective	#FD913D	0.501917200839215
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	11	4	depression	#FD913D	0.556796888110246
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	12	4	experience	#FECB68	0.399100251943313
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	13	4	female	#FDAD4A	0.496844634442911
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	14	4	male	#FD913D	0.505678362242954
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	15	4	pictures	#FECB68	0.364516864553607
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	16	4		#FECB68	0.338495918320759
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	17	4	perception	#FEE188	0.204811172072858
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	18	4		#FEE188	0.212444932822831
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	19	4		#FFF1A9	0.183304196549071
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	20	4		#FFF1A9	0.147844750540647
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	21	4	correct	#FFF1A9	0.143465844299358
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	22	4	work	#FFF1A9	0.150106283928866
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	23	4	memory	#FFF1A9	0.138836548956545
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	1	5	prosodic|prosody	#FFF1A9	0.198443562358281
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	2	5	phonetic	#FFF1A9	0.14929314821693
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	3	5	syllable|syllables	#FFF1A9	0.163503763460114
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	4	5		#FFF1A9	0.172535679555949
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	5	5	lip|production	#FFF1A9	0.13678402150825
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	6	5	somatotopic	#FECB68	0.352110233176007
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	7	5		#FECB68	0.355723701187774
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	8	5		#FECB68	0.352485048254795
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	9	5	empathy	#FECB68	0.380138055343083
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	10	5		#FDAD4A	0.421816963182514
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	11	5	disorder	#FD913D	0.515699532220705
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	12	5		#FDAD4A	0.425693536967822
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	13	5		#FDAD4A	0.402487302614939
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	14	5		#FECB68	0.352882502760009
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	15	5		#FECB68	0.329960888710461
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	16	5		#FEE188	0.249544551611627
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	17	5		#FFF1A9	0.197436933019676
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	18	5	mental	#FFF1A9	0.159347152490412
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	19	5	go	#FFF1A9	0.170892885406633
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	20	5	object	#FFFFCC	0.0862163791142335
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	21	5		#FFF1A9	0.141049709245486
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	22	5		#FFF1A9	0.13402124313579
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	23	5	word|words	#FFFFCC	0.0951631509880606
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	1	6		#FECB68	0.358860870165766
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	2	6		#FECB68	0.342471113789403
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	3	6		#FECB68	0.325672054189633
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	4	6	vocal	#FFF1A9	0.16197123540854
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	5	6	articulatory	#FFF1A9	0.162722394861603
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	6	6		#FEE188	0.255069022169306
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	7	6	oddball	#FFF1A9	0.179903589537162
5ad4a723-a579-3ca2-8701-1b7db85b63f5	Arfanakis K	8	6	perceived	#FEE188	0.202568064728421
