UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	1	1	auditory|speech	#FC622F	0.637591171279645
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	2	1		#FC622F	0.610883181434125
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	3	1	da|integration	#F03623	0.764438728906262
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	4	1		#F03623	0.704542738242435
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	5	1	physical|psychophysical|tactile	#FEE188	0.277993664591536
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	6	1		#FECB68	0.366301740480686
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	7	1	somatosensory|stimulation	#FEE188	0.258854102166878
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	8	1	painful|pain	#FEE188	0.203978980404395
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	9	1		#FECB68	0.376766343970456
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	10	1	ratings	#FC622F	0.687900946214848
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	11	1	affective|affect	#FD913D	0.522963213009232
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	12	1	emotions	#F03623	0.711579496966495
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	13	1	expression|expressions|facial	#FD913D	0.537026556613955
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	14	1		#F03623	0.714182946423247
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	15	1		#FC622F	0.6831827799986
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	16	1	emotion|motion|neutral	#FD913D	0.589875449749149
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	17	1	rating	#FD913D	0.541914328476738
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	18	1	negative|positive	#FECB68	0.307303275080021
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	19	1		#FECB68	0.384936515992489
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	20	1	ear|order	#FECB68	0.387033255022705
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	21	1	motor	#FFF1A9	0.109179551898598
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	22	1	visual	#FECB68	0.304032353176769
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	23	1	age|image|response	#FECB68	0.327356933407058
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	1	2	sound|sounds	#FDAD4A	0.464122717774389
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	2	2		#FD913D	0.588811620365262
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	3	2	audiovisual|bimodal|crossmodal	#F03623	0.752784931329515
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	4	2		#F03623	0.71584064561209
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	5	2		#FD913D	0.570767595862833
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	6	2		#FDAD4A	0.405796476517852
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	7	2	sensation	#FEE188	0.267813533699222
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	8	2	heat|noxious	#FEE188	0.204187829563231
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	9	2		#FECB68	0.380043503126013
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	10	2		#FD913D	0.598872547944591
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	11	2		#FC622F	0.658869650684432
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	12	2	valence	#FD913D	0.580017947707547
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	13	2	person|social	#B10026	0.927571076987942
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	14	2		#F03623	0.735906821876312
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	15	2	face|faces	#FC622F	0.681800762232964
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	16	2		#FC622F	0.68090760472856
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	17	2		#FD913D	0.583414412787221
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	18	2		#FD913D	0.517898011767968
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	19	2		#FDAD4A	0.428593059410094
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	20	2		#FECB68	0.340199689173059
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	21	2	images|spatial	#FECB68	0.349857804150984
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	22	2	control	#FEE188	0.251912135666481
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	23	2	time	#FEE188	0.286046736627623
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	1	3	acoustic|listening|musical|music|pitch	#FDAD4A	0.485068098979651
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	2	3	noise|tones	#FECB68	0.349717975509817
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	3	3		#F03623	0.747870301541813
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	4	3		#F03623	0.792401659616731
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	5	3	frequency	#FD913D	0.598640852316688
5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	Yu X	6	3		#FC622F	0.650212472844683
