UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	1	1	auditory|speech	#FEE188	0.221650335102574
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	2	1		#FFF1A9	0.172405575156684
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	3	1	da|integration	#FEE188	0.235044328486139
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	4	1		#FEE188	0.204549963002717
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	5	1	physical|psychophysical|tactile	#FFF1A9	0.15602925270466
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	6	1		#FECB68	0.311919201979456
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	7	1	somatosensory|stimulation	#FECB68	0.361227914176926
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	8	1	painful|pain	#FECB68	0.33504903227377
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	9	1		#FECB68	0.390334283209448
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	10	1	ratings	#FECB68	0.371853466356228
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	11	1	affective|affect	#FEE188	0.210023751195196
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	12	1	emotions	#FEE188	0.224833763247804
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	13	1	expression|expressions|facial	#FEE188	0.241724113468268
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	14	1		#FEE188	0.290961313519145
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	15	1		#FECB68	0.318015387359327
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	16	1	emotion|motion|neutral	#FECB68	0.324377224078303
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	17	1	rating	#FECB68	0.389844191735103
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	18	1	negative|positive	#FDAD4A	0.49983490973588
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	19	1		#FDAD4A	0.462936342427631
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	20	1	ear|order	#FDAD4A	0.412553687287451
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	21	1	motor	#FDAD4A	0.409879531728478
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	22	1	visual	#FECB68	0.314261954567511
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	23	1	age|image|response	#FDAD4A	0.413443589238011
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	1	2	sound|sounds	#FFF1A9	0.117544530100499
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	2	2		#FFF1A9	0.153732473610505
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	3	2	audiovisual|bimodal|crossmodal	#FFF1A9	0.174820498870766
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	4	2		#FEE188	0.21490927173395
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	5	2		#FEE188	0.252697317933053
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	6	2		#FECB68	0.313862212773308
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	7	2	sensation	#FDAD4A	0.411665529469405
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	8	2	heat|noxious	#FDAD4A	0.410766676906615
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	9	2		#FECB68	0.391374789482837
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	10	2		#FECB68	0.344135976520891
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	11	2		#FECB68	0.325442114767253
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	12	2	valence	#FEE188	0.280555457349251
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	13	2	person|social	#FEE188	0.269984509984941
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	14	2		#FECB68	0.301374954984701
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	15	2	face|faces	#FEE188	0.250352652506021
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	16	2		#FECB68	0.364003864054749
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	17	2		#FDAD4A	0.426136965777882
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	18	2		#FDAD4A	0.446185018496493
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	19	2		#FDAD4A	0.447271107065203
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	20	2		#FECB68	0.395064949677625
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	21	2	images|spatial	#FECB68	0.367508092708463
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	22	2	control	#FECB68	0.371634414375949
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	23	2	time	#FECB68	0.391274334015131
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	1	3	acoustic|listening|musical|music|pitch	#FFFFCC	0.0700342794568297
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	2	3	noise|tones	#FFF1A9	0.132112343805871
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	3	3		#FEE188	0.212419711658484
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	4	3		#FEE188	0.252279753505736
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	5	3	frequency	#FEE188	0.285375601437605
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	6	3		#FECB68	0.360666576966616
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	7	3		#FECB68	0.360411917943995
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	8	3	temperature	#FECB68	0.393427330110024
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	9	3		#FECB68	0.361374780483621
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	10	3	pleasant|unpleasant	#FECB68	0.323041009004503
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	11	3	anxiety	#FEE188	0.2940893050345
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	12	3		#FECB68	0.313160767450835
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	13	3		#FECB68	0.333500101265897
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	14	3		#FECB68	0.348686604906945
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	15	3		#FECB68	0.355601695542989
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	16	3	picture	#FECB68	0.336883565857983
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	17	3		#FDAD4A	0.413133728781761
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	18	3	value	#FDAD4A	0.46698594437943
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	19	3	cue	#FECB68	0.354164109886128
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	20	3	error|target	#FECB68	0.326910750645679
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	21	3	attention	#FEE188	0.28695938038787
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	22	3		#FECB68	0.343414531439355
5ebea791-40c6-35fe-93d2-f8fde94096c2	Gray JA	23	3	number	#FECB68	0.381717332787424
