UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
5ec7ac61-e78c-3ca5-9235-b9895d07433a	Mesulam MM	1	1	auditory|speech	#FD913D	0.528203159229504
5ec7ac61-e78c-3ca5-9235-b9895d07433a	Mesulam MM	2	1		#FD913D	0.525585702919002
5ec7ac61-e78c-3ca5-9235-b9895d07433a	Mesulam MM	3	1	da|integration	#F03623	0.752695374267866
5ec7ac61-e78c-3ca5-9235-b9895d07433a	Mesulam MM	4	1		#FD913D	0.595373076732764
5ec7ac61-e78c-3ca5-9235-b9895d07433a	Mesulam MM	5	1	physical|psychophysical|tactile	#FEE188	0.284761450662562
5ec7ac61-e78c-3ca5-9235-b9895d07433a	Mesulam MM	6	1		#FECB68	0.302636611972204
5ec7ac61-e78c-3ca5-9235-b9895d07433a	Mesulam MM	7	1	somatosensory|stimulation	#FEE188	0.217261061280625
5ec7ac61-e78c-3ca5-9235-b9895d07433a	Mesulam MM	8	1	painful|pain	#FFF1A9	0.115407531847656
5ec7ac61-e78c-3ca5-9235-b9895d07433a	Mesulam MM	9	1		#FFF1A9	0.172418992383604
5ec7ac61-e78c-3ca5-9235-b9895d07433a	Mesulam MM	10	1	ratings	#FEE188	0.263578255556316
5ec7ac61-e78c-3ca5-9235-b9895d07433a	Mesulam MM	11	1	affective|affect	#FECB68	0.319554303219612
5ec7ac61-e78c-3ca5-9235-b9895d07433a	Mesulam MM	12	1	emotions	#FECB68	0.366155288983514
5ec7ac61-e78c-3ca5-9235-b9895d07433a	Mesulam MM	13	1	expression|expressions|facial	#FECB68	0.386845839487593
5ec7ac61-e78c-3ca5-9235-b9895d07433a	Mesulam MM	14	1		#FD913D	0.546372340056944
5ec7ac61-e78c-3ca5-9235-b9895d07433a	Mesulam MM	15	1		#FD913D	0.561128966853236
5ec7ac61-e78c-3ca5-9235-b9895d07433a	Mesulam MM	16	1	emotion|motion|neutral	#FDAD4A	0.475537977602135
5ec7ac61-e78c-3ca5-9235-b9895d07433a	Mesulam MM	17	1	rating	#FECB68	0.363326156582667
5ec7ac61-e78c-3ca5-9235-b9895d07433a	Mesulam MM	18	1	negative|positive	#FDAD4A	0.447314638518835
5ec7ac61-e78c-3ca5-9235-b9895d07433a	Mesulam MM	19	1		#FC622F	0.601809096231395
5ec7ac61-e78c-3ca5-9235-b9895d07433a	Mesulam MM	20	1	ear|order	#FC622F	0.64088424096816
5ec7ac61-e78c-3ca5-9235-b9895d07433a	Mesulam MM	21	1	motor	#FDAD4A	0.45597236069464
5ec7ac61-e78c-3ca5-9235-b9895d07433a	Mesulam MM	22	1	visual	#F03623	0.741909663295463
5ec7ac61-e78c-3ca5-9235-b9895d07433a	Mesulam MM	23	1	age|image|response	#FC622F	0.651612503412141
5ec7ac61-e78c-3ca5-9235-b9895d07433a	Mesulam MM	1	2	sound|sounds	#FECB68	0.383630759406364
5ec7ac61-e78c-3ca5-9235-b9895d07433a	Mesulam MM	2	2		#FDAD4A	0.490871072293506
5ec7ac61-e78c-3ca5-9235-b9895d07433a	Mesulam MM	3	2	audiovisual|bimodal|crossmodal	#FD913D	0.545829391244998
5ec7ac61-e78c-3ca5-9235-b9895d07433a	Mesulam MM	4	2		#FC622F	0.620096214441368
5ec7ac61-e78c-3ca5-9235-b9895d07433a	Mesulam MM	5	2		#FD913D	0.504579871166601
5ec7ac61-e78c-3ca5-9235-b9895d07433a	Mesulam MM	6	2		#FECB68	0.358817758483888
5ec7ac61-e78c-3ca5-9235-b9895d07433a	Mesulam MM	7	2	sensation	#FFF1A9	0.106091566448654
5ec7ac61-e78c-3ca5-9235-b9895d07433a	Mesulam MM	8	2	heat|noxious	#FFFFCC	0.0701905643321215
5ec7ac61-e78c-3ca5-9235-b9895d07433a	Mesulam MM	9	2		#FFF1A9	0.188024863702842
5ec7ac61-e78c-3ca5-9235-b9895d07433a	Mesulam MM	10	2		#FECB68	0.302671610811336
5ec7ac61-e78c-3ca5-9235-b9895d07433a	Mesulam MM	11	2		#FECB68	0.340401108771184
5ec7ac61-e78c-3ca5-9235-b9895d07433a	Mesulam MM	12	2	valence	#FECB68	0.339385209255468
5ec7ac61-e78c-3ca5-9235-b9895d07433a	Mesulam MM	13	2	person|social	#FDAD4A	0.450128899171449
5ec7ac61-e78c-3ca5-9235-b9895d07433a	Mesulam MM	14	2		#FD913D	0.568985368840456
5ec7ac61-e78c-3ca5-9235-b9895d07433a	Mesulam MM	15	2	face|faces	#FC622F	0.677693703928959
5ec7ac61-e78c-3ca5-9235-b9895d07433a	Mesulam MM	16	2		#FC622F	0.601234979098744
5ec7ac61-e78c-3ca5-9235-b9895d07433a	Mesulam MM	17	2		#FD913D	0.570294746397496
5ec7ac61-e78c-3ca5-9235-b9895d07433a	Mesulam MM	18	2		#FC622F	0.605184942597726
