UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
5eecaa18-18de-3e94-844a-060205a6595c	Czlonkowska A	1	1	auditory|speech	#FEE188	0.228300059775156
5eecaa18-18de-3e94-844a-060205a6595c	Czlonkowska A	2	1		#FFF1A9	0.1945365843302
5eecaa18-18de-3e94-844a-060205a6595c	Czlonkowska A	3	1	da|integration	#FFF1A9	0.161336173362562
5eecaa18-18de-3e94-844a-060205a6595c	Czlonkowska A	4	1		#FEE188	0.24094776882724
5eecaa18-18de-3e94-844a-060205a6595c	Czlonkowska A	5	1	physical|psychophysical|tactile	#FFF1A9	0.192504729491938
5eecaa18-18de-3e94-844a-060205a6595c	Czlonkowska A	6	1		#FEE188	0.279882216390508
5eecaa18-18de-3e94-844a-060205a6595c	Czlonkowska A	7	1	somatosensory|stimulation	#FECB68	0.323717717005031
5eecaa18-18de-3e94-844a-060205a6595c	Czlonkowska A	8	1	painful|pain	#FEE188	0.238205023552595
5eecaa18-18de-3e94-844a-060205a6595c	Czlonkowska A	9	1		#FEE188	0.293260677367042
5eecaa18-18de-3e94-844a-060205a6595c	Czlonkowska A	10	1	ratings	#FDAD4A	0.492231254041811
5eecaa18-18de-3e94-844a-060205a6595c	Czlonkowska A	11	1	affective|affect	#FD913D	0.595029783882256
5eecaa18-18de-3e94-844a-060205a6595c	Czlonkowska A	12	1	emotions	#FECB68	0.355661540116818
5eecaa18-18de-3e94-844a-060205a6595c	Czlonkowska A	13	1	expression|expressions|facial	#FDAD4A	0.415923264681694
5eecaa18-18de-3e94-844a-060205a6595c	Czlonkowska A	14	1		#FC622F	0.647847554227024
5eecaa18-18de-3e94-844a-060205a6595c	Czlonkowska A	15	1		#F03623	0.717123686122489
5eecaa18-18de-3e94-844a-060205a6595c	Czlonkowska A	16	1	emotion|motion|neutral	#F03623	0.729503142979898
5eecaa18-18de-3e94-844a-060205a6595c	Czlonkowska A	17	1	rating	#FD913D	0.599474387431958
5eecaa18-18de-3e94-844a-060205a6595c	Czlonkowska A	18	1	negative|positive	#FC622F	0.673531594828069
5eecaa18-18de-3e94-844a-060205a6595c	Czlonkowska A	19	1		#FD913D	0.588226483546164
5eecaa18-18de-3e94-844a-060205a6595c	Czlonkowska A	20	1	ear|order	#FDAD4A	0.433465961146225
5eecaa18-18de-3e94-844a-060205a6595c	Czlonkowska A	21	1	motor	#FEE188	0.273875389742468
5eecaa18-18de-3e94-844a-060205a6595c	Czlonkowska A	22	1	visual	#FDAD4A	0.496008690975526
5eecaa18-18de-3e94-844a-060205a6595c	Czlonkowska A	23	1	age|image|response	#FDAD4A	0.452328659326284
5eecaa18-18de-3e94-844a-060205a6595c	Czlonkowska A	1	2	sound|sounds	#FFF1A9	0.147382309280017
5eecaa18-18de-3e94-844a-060205a6595c	Czlonkowska A	2	2		#FFF1A9	0.196628249980375
5eecaa18-18de-3e94-844a-060205a6595c	Czlonkowska A	3	2	audiovisual|bimodal|crossmodal	#FEE188	0.229051092399187
5eecaa18-18de-3e94-844a-060205a6595c	Czlonkowska A	4	2		#FEE188	0.238651113899838
5eecaa18-18de-3e94-844a-060205a6595c	Czlonkowska A	5	2		#FEE188	0.272763466399253
5eecaa18-18de-3e94-844a-060205a6595c	Czlonkowska A	6	2		#FEE188	0.285416632963921
5eecaa18-18de-3e94-844a-060205a6595c	Czlonkowska A	7	2	sensation	#FFF1A9	0.13009261477709
5eecaa18-18de-3e94-844a-060205a6595c	Czlonkowska A	8	2	heat|noxious	#FEE188	0.218842701749424
5eecaa18-18de-3e94-844a-060205a6595c	Czlonkowska A	9	2		#FECB68	0.309310608555914
5eecaa18-18de-3e94-844a-060205a6595c	Czlonkowska A	10	2		#FDAD4A	0.407447293749794
5eecaa18-18de-3e94-844a-060205a6595c	Czlonkowska A	11	2		#FDAD4A	0.450513581058933
5eecaa18-18de-3e94-844a-060205a6595c	Czlonkowska A	12	2	valence	#FD913D	0.577334880095488
5eecaa18-18de-3e94-844a-060205a6595c	Czlonkowska A	13	2	person|social	#F03623	0.76545607712722
5eecaa18-18de-3e94-844a-060205a6595c	Czlonkowska A	14	2		#FC622F	0.635408951934695
