UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
6017cb37-2fd3-3c82-ac10-7a355b943059	Janszky J	1	1	auditory|speech	#FECB68	0.345439138387127
6017cb37-2fd3-3c82-ac10-7a355b943059	Janszky J	2	1		#FECB68	0.300481944126924
6017cb37-2fd3-3c82-ac10-7a355b943059	Janszky J	3	1	da|integration	#FDAD4A	0.454124402669823
6017cb37-2fd3-3c82-ac10-7a355b943059	Janszky J	4	1		#FDAD4A	0.492722440183959
6017cb37-2fd3-3c82-ac10-7a355b943059	Janszky J	5	1	physical|psychophysical|tactile	#FD913D	0.502771154402125
6017cb37-2fd3-3c82-ac10-7a355b943059	Janszky J	6	1		#FC622F	0.670486439383785
6017cb37-2fd3-3c82-ac10-7a355b943059	Janszky J	7	1	somatosensory|stimulation	#FC622F	0.626886023642651
6017cb37-2fd3-3c82-ac10-7a355b943059	Janszky J	8	1	painful|pain	#F03623	0.750097605647356
6017cb37-2fd3-3c82-ac10-7a355b943059	Janszky J	9	1		#D7141E	0.817778699385868
6017cb37-2fd3-3c82-ac10-7a355b943059	Janszky J	10	1	ratings	#D7141E	0.851616279130603
6017cb37-2fd3-3c82-ac10-7a355b943059	Janszky J	11	1	affective|affect	#D7141E	0.850654399239716
6017cb37-2fd3-3c82-ac10-7a355b943059	Janszky J	12	1	emotions	#F03623	0.729714657117885
6017cb37-2fd3-3c82-ac10-7a355b943059	Janszky J	13	1	expression|expressions|facial	#FD913D	0.522081666323962
6017cb37-2fd3-3c82-ac10-7a355b943059	Janszky J	14	1		#FC622F	0.625982856673436
6017cb37-2fd3-3c82-ac10-7a355b943059	Janszky J	15	1		#FC622F	0.651576528812345
6017cb37-2fd3-3c82-ac10-7a355b943059	Janszky J	16	1	emotion|motion|neutral	#FC622F	0.645937662332507
6017cb37-2fd3-3c82-ac10-7a355b943059	Janszky J	17	1	rating	#F03623	0.770107843405758
6017cb37-2fd3-3c82-ac10-7a355b943059	Janszky J	18	1	negative|positive	#F03623	0.711448988935797
6017cb37-2fd3-3c82-ac10-7a355b943059	Janszky J	19	1		#FC622F	0.648025029011128
6017cb37-2fd3-3c82-ac10-7a355b943059	Janszky J	20	1	ear|order	#FD913D	0.577246352918403
6017cb37-2fd3-3c82-ac10-7a355b943059	Janszky J	21	1	motor	#FDAD4A	0.467075631339592
6017cb37-2fd3-3c82-ac10-7a355b943059	Janszky J	22	1	visual	#FECB68	0.335720567473652
6017cb37-2fd3-3c82-ac10-7a355b943059	Janszky J	23	1	age|image|response	#FD913D	0.524790586603914
