UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	1	1	auditory|speech	#FECB68	0.359253700842539
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	2	1		#FECB68	0.36587740500928
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	3	1	da|integration	#FD913D	0.584978314177054
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	4	1		#F03623	0.701432564527211
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	5	1	physical|psychophysical|tactile	#FC622F	0.643245674668672
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	6	1		#FC622F	0.679813313292323
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	7	1	somatosensory|stimulation	#FD913D	0.520399514593033
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	8	1	painful|pain	#FD913D	0.527494906548173
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	9	1		#FD913D	0.561408876047268
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	10	1	ratings	#FD913D	0.561478759873513
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	11	1	affective|affect	#FD913D	0.506405857764355
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	12	1	emotions	#FDAD4A	0.460280368537808
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	13	1	expression|expressions|facial	#FDAD4A	0.415313096320413
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	14	1		#FC622F	0.667608836737225
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	15	1		#FC622F	0.679531857710675
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	16	1	emotion|motion|neutral	#FD913D	0.564315427557541
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	17	1	rating	#FC622F	0.614485937437876
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	18	1	negative|positive	#FD913D	0.52412815467106
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	19	1		#FC622F	0.635096189193994
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	20	1	ear|order	#FC622F	0.60353976239745
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	21	1	motor	#FDAD4A	0.420470960922883
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	22	1	visual	#F03623	0.740825022493677
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	23	1	age|image|response	#FC622F	0.649041166876359
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	1	2	sound|sounds	#FEE188	0.258333726842206
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	2	2		#FECB68	0.335471033101732
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	3	2	audiovisual|bimodal|crossmodal	#FDAD4A	0.401393128697049
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	4	2		#F03623	0.707011103273585
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	5	2		#F03623	0.751678753520428
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	6	2		#F03623	0.710471023738284
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	7	2	sensation	#FECB68	0.374640162231622
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	8	2	heat|noxious	#FDAD4A	0.44138434370326
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	9	2		#FD913D	0.580000214933515
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	10	2		#FD913D	0.597785909005176
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	11	2		#FD913D	0.597530700524312
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	12	2	valence	#FD913D	0.510390827137309
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	13	2	person|social	#FC622F	0.692352725705367
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	14	2		#FC622F	0.68466581765975
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	15	2	face|faces	#F03623	0.736672617152405
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	16	2		#F03623	0.716428652918782
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	17	2		#FC622F	0.676050278877779
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	18	2		#FC622F	0.689940306645022
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	19	2		#FC622F	0.677363054082454
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	20	2		#FC622F	0.658701182352295
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	21	2	images|spatial	#FC622F	0.685062929923163
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	22	2	control	#FC622F	0.632465093604292
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	23	2	time	#FC622F	0.669801125687513
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	1	3	acoustic|listening|musical|music|pitch	#FEE188	0.206611996798256
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	2	3	noise|tones	#FFF1A9	0.142872886486683
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	3	3		#FDAD4A	0.463822882952851
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	4	3		#FD913D	0.577061411281706
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	5	3	frequency	#FC622F	0.66480847628142
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	6	3		#FC622F	0.699158585476507
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	7	3		#FD913D	0.552030799314721
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	8	3	temperature	#FDAD4A	0.470997504266702
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	9	3		#FD913D	0.56270304818998
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	10	3	pleasant|unpleasant	#FDAD4A	0.449406556971125
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	11	3	anxiety	#FDAD4A	0.436974389129056
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	12	3		#FC622F	0.649774322532078
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	13	3		#F03623	0.732246886195416
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	14	3		#F03623	0.725725069661563
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	15	3		#F03623	0.772246449397322
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	16	3	picture	#D7141E	0.805642257993038
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	17	3		#F03623	0.797763872668349
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	18	3	value	#FC622F	0.650952506005282
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	19	3	cue	#FC622F	0.650367095418395
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	20	3	error|target	#FC622F	0.694020974228002
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	21	3	attention	#FC622F	0.662976804739567
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	22	3		#F03623	0.703325492784052
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	23	3	number	#FC622F	0.693543254230055
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	1	4	voice	#FFF1A9	0.171599920596267
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	2	4		#FEE188	0.264147144185941
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	3	4	hearing	#FECB68	0.320967087039166
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	4	4		#FDAD4A	0.44664876071193
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	5	4	overt	#FDAD4A	0.41297698665604
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	6	4		#FD913D	0.553030716310306
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	7	4		#FC622F	0.631722580490799
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	8	4	nociceptive|nonpainful|painrelated	#FDAD4A	0.42600389737269
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	9	4	unpleasantness	#FD913D	0.584515791363611
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	10	4	skin|subjective	#FD913D	0.513708956341216
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	11	4	depression	#FD913D	0.514638164932186
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	12	4	experience	#FC622F	0.65332032014159
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	13	4	female	#FC622F	0.616733571992698
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	14	4	male	#FC622F	0.700046279248263
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	15	4	pictures	#F03623	0.776526271456633
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	16	4		#D7141E	0.876301156364809
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	17	4	perception	#F03623	0.780391432518741
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	18	4		#D7141E	0.861900220149477
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	19	4		#D7141E	0.823919999956312
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	20	4		#F03623	0.792357995295515
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	21	4	correct	#F03623	0.709827206912916
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	22	4	work	#FC622F	0.635481100567799
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	23	4	memory	#FC622F	0.646492109382668
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	1	5	prosodic|prosody	#FFF1A9	0.125250287372021
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	2	5	phonetic	#FFF1A9	0.172222521802652
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	3	5	syllable|syllables	#FEE188	0.247491259040142
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	4	5		#FECB68	0.369221295911747
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	5	5	lip|production	#FEE188	0.287797959848219
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	6	5	somatotopic	#FECB68	0.347619089610294
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	7	5		#F03623	0.713786084162028
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	8	5		#FC622F	0.6907006250227
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	9	5	empathy	#FC622F	0.6719501474152
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	10	5		#FC622F	0.667514951655016
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	11	5	disorder	#FC622F	0.656744632384041
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	12	5		#F03623	0.702310256623496
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	13	5		#F03623	0.722396590760454
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	14	5		#F03623	0.747202269213259
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	15	5		#F03623	0.781516683059765
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	16	5		#D7141E	0.836230035127635
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	17	5		#D7141E	0.871832709470224
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	18	5	mental	#D7141E	0.871933789682098
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	19	5	go	#D7141E	0.821602423772988
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	20	5	object	#F03623	0.78453182845381
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	21	5		#F03623	0.781709901161587
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	22	5		#F03623	0.705411042979366
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	23	5	word|words	#FC622F	0.633769855637552
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	1	6		#FDAD4A	0.414923265177111
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	2	6		#FDAD4A	0.445450101031761
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	3	6		#FD913D	0.511978731838659
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	4	6	vocal	#FEE188	0.27154730068762
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	5	6	articulatory	#FFF1A9	0.130239329629466
61999030-2d38-3aaa-828f-caac32f89ddb	Raz N	6	6		#FD913D	0.529427925121023
