UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	1	1	auditory|speech	#FEE188	0.261276403430213
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	2	1		#FEE188	0.26582314240197
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	3	1	da|integration	#FDAD4A	0.430289802051425
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	4	1		#FD913D	0.56790769746509
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	5	1	physical|psychophysical|tactile	#FC622F	0.696212397993422
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	6	1		#FD913D	0.540947929633336
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	7	1	somatosensory|stimulation	#FDAD4A	0.451820931535867
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	8	1	painful|pain	#FEE188	0.21504545238446
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	9	1		#FEE188	0.22769267022956
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	10	1	ratings	#FFF1A9	0.186032175644562
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	11	1	affective|affect	#FFF1A9	0.142044420439529
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	12	1	emotions	#FFF1A9	0.168688634762778
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	13	1	expression|expressions|facial	#FFF1A9	0.161254663558784
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	14	1		#FEE188	0.239379196205866
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	15	1		#FEE188	0.267535287439925
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	16	1	emotion|motion|neutral	#FEE188	0.260439422146031
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	17	1	rating	#FEE188	0.217685373767004
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	18	1	negative|positive	#FEE188	0.278189066613654
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	19	1		#FDAD4A	0.473401354216378
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	20	1	ear|order	#FD913D	0.50781724141794
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	21	1	motor	#FD913D	0.566420322426266
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	22	1	visual	#FC622F	0.674050754900826
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	23	1	age|image|response	#FD913D	0.538749502111528
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	1	2	sound|sounds	#FFF1A9	0.191447242086072
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	2	2		#FEE188	0.234160378520128
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	3	2	audiovisual|bimodal|crossmodal	#FEE188	0.289359699441119
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	4	2		#FD913D	0.571845276645968
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	5	2		#FC622F	0.638376234307519
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	6	2		#FD913D	0.568199458874926
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	7	2	sensation	#FEE188	0.206403193407756
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	8	2	heat|noxious	#FEE188	0.2147767355495
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	9	2		#FEE188	0.232587042162812
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	10	2		#FEE188	0.221812754894364
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	11	2		#FEE188	0.215306284239544
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	12	2	valence	#FFF1A9	0.192275616150596
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	13	2	person|social	#FEE188	0.234069824190875
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	14	2		#FEE188	0.250135932909943
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	15	2	face|faces	#FECB68	0.30932521141095
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	16	2		#FECB68	0.319036305101047
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	17	2		#FECB68	0.338019732766487
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	18	2		#FDAD4A	0.435979760932602
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	19	2		#FD913D	0.524591441329604
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	20	2		#FC622F	0.617778357517062
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	21	2	images|spatial	#FC622F	0.648228906955164
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	22	2	control	#FD913D	0.570276179833705
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	23	2	time	#FD913D	0.559964431314712
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	1	3	acoustic|listening|musical|music|pitch	#FFFFCC	0.095143919620353
61c50c36-a250-326f-b3d0-e20c41ffb1b1	Wolford G	2	3	noise|tones	#FFF1A9	0.166684094776221
