UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
63d05952-f046-32ee-bb21-c6f8620e6081	Sziklas V	1	1	auditory|speech	#FFFFCC	0.057455376526704
63d05952-f046-32ee-bb21-c6f8620e6081	Sziklas V	2	1		#FFFFCC	0.0678547782351779
63d05952-f046-32ee-bb21-c6f8620e6081	Sziklas V	3	1	da|integration	#FFF1A9	0.157279208552067
63d05952-f046-32ee-bb21-c6f8620e6081	Sziklas V	4	1		#FFFFCC	0.0819922953840811
63d05952-f046-32ee-bb21-c6f8620e6081	Sziklas V	5	1	physical|psychophysical|tactile	#FFFFCC	0.0643836104337281
63d05952-f046-32ee-bb21-c6f8620e6081	Sziklas V	6	1		#FFFFCC	0.0763289036622684
63d05952-f046-32ee-bb21-c6f8620e6081	Sziklas V	7	1	somatosensory|stimulation	#FFFFCC	0.0701749064088386
63d05952-f046-32ee-bb21-c6f8620e6081	Sziklas V	8	1	painful|pain	#FFFFCC	0.0922664419853849
63d05952-f046-32ee-bb21-c6f8620e6081	Sziklas V	9	1		#FFF1A9	0.164999538016435
63d05952-f046-32ee-bb21-c6f8620e6081	Sziklas V	10	1	ratings	#FDAD4A	0.426445821989768
63d05952-f046-32ee-bb21-c6f8620e6081	Sziklas V	11	1	affective|affect	#FDAD4A	0.454363435398695
63d05952-f046-32ee-bb21-c6f8620e6081	Sziklas V	12	1	emotions	#FD913D	0.508345446594989
63d05952-f046-32ee-bb21-c6f8620e6081	Sziklas V	13	1	expression|expressions|facial	#FD913D	0.503639747059564
63d05952-f046-32ee-bb21-c6f8620e6081	Sziklas V	14	1		#FD913D	0.547075760400239
63d05952-f046-32ee-bb21-c6f8620e6081	Sziklas V	15	1		#FD913D	0.53907033231437
63d05952-f046-32ee-bb21-c6f8620e6081	Sziklas V	16	1	emotion|motion|neutral	#FDAD4A	0.46936519378401
63d05952-f046-32ee-bb21-c6f8620e6081	Sziklas V	17	1	rating	#FDAD4A	0.424514014839719
63d05952-f046-32ee-bb21-c6f8620e6081	Sziklas V	18	1	negative|positive	#FECB68	0.34330575921892
63d05952-f046-32ee-bb21-c6f8620e6081	Sziklas V	19	1		#FEE188	0.276312106612039
63d05952-f046-32ee-bb21-c6f8620e6081	Sziklas V	20	1	ear|order	#FEE188	0.218871080106871
63d05952-f046-32ee-bb21-c6f8620e6081	Sziklas V	21	1	motor	#FFFFCC	0.026907967992081
63d05952-f046-32ee-bb21-c6f8620e6081	Sziklas V	22	1	visual	#FFF1A9	0.162042429354685
