UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
6419c1a1-0cfd-393a-a31e-505670b813ea	Biswal BB	1	1	auditory|speech	#FDAD4A	0.450799250201622
6419c1a1-0cfd-393a-a31e-505670b813ea	Biswal BB	2	1		#FDAD4A	0.408500020997136
6419c1a1-0cfd-393a-a31e-505670b813ea	Biswal BB	3	1	da|integration	#FDAD4A	0.479666346297774
6419c1a1-0cfd-393a-a31e-505670b813ea	Biswal BB	4	1		#FC622F	0.628301868279932
6419c1a1-0cfd-393a-a31e-505670b813ea	Biswal BB	5	1	physical|psychophysical|tactile	#FD913D	0.544436898181001
6419c1a1-0cfd-393a-a31e-505670b813ea	Biswal BB	6	1		#FD913D	0.583079259362604
6419c1a1-0cfd-393a-a31e-505670b813ea	Biswal BB	7	1	somatosensory|stimulation	#FDAD4A	0.489892147219715
6419c1a1-0cfd-393a-a31e-505670b813ea	Biswal BB	8	1	painful|pain	#FECB68	0.372958215925051
6419c1a1-0cfd-393a-a31e-505670b813ea	Biswal BB	9	1		#FDAD4A	0.466043356822301
6419c1a1-0cfd-393a-a31e-505670b813ea	Biswal BB	10	1	ratings	#FC622F	0.619512247876611
6419c1a1-0cfd-393a-a31e-505670b813ea	Biswal BB	11	1	affective|affect	#FDAD4A	0.478716068992345
6419c1a1-0cfd-393a-a31e-505670b813ea	Biswal BB	12	1	emotions	#FD913D	0.541331531630237
6419c1a1-0cfd-393a-a31e-505670b813ea	Biswal BB	13	1	expression|expressions|facial	#FFF1A9	0.191497567888496
6419c1a1-0cfd-393a-a31e-505670b813ea	Biswal BB	14	1		#FDAD4A	0.493893152941525
6419c1a1-0cfd-393a-a31e-505670b813ea	Biswal BB	15	1		#FD913D	0.540511565017748
6419c1a1-0cfd-393a-a31e-505670b813ea	Biswal BB	16	1	emotion|motion|neutral	#FD913D	0.548420365424048
6419c1a1-0cfd-393a-a31e-505670b813ea	Biswal BB	17	1	rating	#FC622F	0.619635674474302
6419c1a1-0cfd-393a-a31e-505670b813ea	Biswal BB	18	1	negative|positive	#FD913D	0.580257888364843
6419c1a1-0cfd-393a-a31e-505670b813ea	Biswal BB	19	1		#FD913D	0.593558165567884
6419c1a1-0cfd-393a-a31e-505670b813ea	Biswal BB	20	1	ear|order	#FD913D	0.505870246071104
6419c1a1-0cfd-393a-a31e-505670b813ea	Biswal BB	21	1	motor	#FDAD4A	0.409221657178685
6419c1a1-0cfd-393a-a31e-505670b813ea	Biswal BB	22	1	visual	#FDAD4A	0.442406010487172
6419c1a1-0cfd-393a-a31e-505670b813ea	Biswal BB	23	1	age|image|response	#FDAD4A	0.495939025994208
6419c1a1-0cfd-393a-a31e-505670b813ea	Biswal BB	1	2	sound|sounds	#FECB68	0.302990486718245
6419c1a1-0cfd-393a-a31e-505670b813ea	Biswal BB	2	2		#FECB68	0.396023473324796
6419c1a1-0cfd-393a-a31e-505670b813ea	Biswal BB	3	2	audiovisual|bimodal|crossmodal	#FECB68	0.300169532271537
6419c1a1-0cfd-393a-a31e-505670b813ea	Biswal BB	4	2		#FC622F	0.637609180105158
6419c1a1-0cfd-393a-a31e-505670b813ea	Biswal BB	5	2		#FC622F	0.680919390348339
6419c1a1-0cfd-393a-a31e-505670b813ea	Biswal BB	6	2		#FC622F	0.61922827572593
6419c1a1-0cfd-393a-a31e-505670b813ea	Biswal BB	7	2	sensation	#FECB68	0.323225889723984
6419c1a1-0cfd-393a-a31e-505670b813ea	Biswal BB	8	2	heat|noxious	#FECB68	0.342209626376468
6419c1a1-0cfd-393a-a31e-505670b813ea	Biswal BB	9	2		#FDAD4A	0.476274023375192
6419c1a1-0cfd-393a-a31e-505670b813ea	Biswal BB	10	2		#FD913D	0.565345319326619
