UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
6491757c-5a86-323f-9f64-7d61eb848da9	Hudetz AG	1	1	auditory|speech	#F03623	0.776259881602827
6491757c-5a86-323f-9f64-7d61eb848da9	Hudetz AG	2	1		#D7141E	0.810838807607805
6491757c-5a86-323f-9f64-7d61eb848da9	Hudetz AG	3	1	da|integration	#D7141E	0.801356405777672
6491757c-5a86-323f-9f64-7d61eb848da9	Hudetz AG	4	1		#F03623	0.790688698920029
6491757c-5a86-323f-9f64-7d61eb848da9	Hudetz AG	5	1	physical|psychophysical|tactile	#FDAD4A	0.464048438370067
6491757c-5a86-323f-9f64-7d61eb848da9	Hudetz AG	6	1		#FDAD4A	0.485076674492092
6491757c-5a86-323f-9f64-7d61eb848da9	Hudetz AG	7	1	somatosensory|stimulation	#FECB68	0.388316360232911
6491757c-5a86-323f-9f64-7d61eb848da9	Hudetz AG	8	1	painful|pain	#FEE188	0.243167594207441
6491757c-5a86-323f-9f64-7d61eb848da9	Hudetz AG	9	1		#FECB68	0.308735338206478
6491757c-5a86-323f-9f64-7d61eb848da9	Hudetz AG	10	1	ratings	#FDAD4A	0.419295194610833
6491757c-5a86-323f-9f64-7d61eb848da9	Hudetz AG	11	1	affective|affect	#FECB68	0.397713130850817
6491757c-5a86-323f-9f64-7d61eb848da9	Hudetz AG	12	1	emotions	#FDAD4A	0.478757653218011
6491757c-5a86-323f-9f64-7d61eb848da9	Hudetz AG	13	1	expression|expressions|facial	#FEE188	0.266539687495546
6491757c-5a86-323f-9f64-7d61eb848da9	Hudetz AG	14	1		#FDAD4A	0.458427694684475
6491757c-5a86-323f-9f64-7d61eb848da9	Hudetz AG	15	1		#FD913D	0.50289311181522
6491757c-5a86-323f-9f64-7d61eb848da9	Hudetz AG	16	1	emotion|motion|neutral	#FD913D	0.572915930416164
6491757c-5a86-323f-9f64-7d61eb848da9	Hudetz AG	17	1	rating	#FDAD4A	0.493838864149922
6491757c-5a86-323f-9f64-7d61eb848da9	Hudetz AG	18	1	negative|positive	#FD913D	0.519585462565283
6491757c-5a86-323f-9f64-7d61eb848da9	Hudetz AG	19	1		#FD913D	0.573583413023298
6491757c-5a86-323f-9f64-7d61eb848da9	Hudetz AG	20	1	ear|order	#FD913D	0.575051215928165
6491757c-5a86-323f-9f64-7d61eb848da9	Hudetz AG	21	1	motor	#FDAD4A	0.454900002555216
6491757c-5a86-323f-9f64-7d61eb848da9	Hudetz AG	22	1	visual	#FD913D	0.508415639844082
6491757c-5a86-323f-9f64-7d61eb848da9	Hudetz AG	23	1	age|image|response	#FD913D	0.579369343788771
6491757c-5a86-323f-9f64-7d61eb848da9	Hudetz AG	1	2	sound|sounds	#F03623	0.748397934779575
6491757c-5a86-323f-9f64-7d61eb848da9	Hudetz AG	2	2		#F03623	0.795067965527442
6491757c-5a86-323f-9f64-7d61eb848da9	Hudetz AG	3	2	audiovisual|bimodal|crossmodal	#FC622F	0.67037568649446
6491757c-5a86-323f-9f64-7d61eb848da9	Hudetz AG	4	2		#D7141E	0.812140919331172
6491757c-5a86-323f-9f64-7d61eb848da9	Hudetz AG	5	2		#F03623	0.709226084372372
6491757c-5a86-323f-9f64-7d61eb848da9	Hudetz AG	6	2		#FD913D	0.54721575415453
6491757c-5a86-323f-9f64-7d61eb848da9	Hudetz AG	7	2	sensation	#FEE188	0.251534124884993
6491757c-5a86-323f-9f64-7d61eb848da9	Hudetz AG	8	2	heat|noxious	#FFF1A9	0.190116773769061
6491757c-5a86-323f-9f64-7d61eb848da9	Hudetz AG	9	2		#FECB68	0.304240376719726
6491757c-5a86-323f-9f64-7d61eb848da9	Hudetz AG	10	2		#FDAD4A	0.400552364005636
6491757c-5a86-323f-9f64-7d61eb848da9	Hudetz AG	11	2		#FDAD4A	0.443590900114579
6491757c-5a86-323f-9f64-7d61eb848da9	Hudetz AG	12	2	valence	#FECB68	0.392751360228348
6491757c-5a86-323f-9f64-7d61eb848da9	Hudetz AG	13	2	person|social	#D7141E	0.814021424161552
6491757c-5a86-323f-9f64-7d61eb848da9	Hudetz AG	14	2		#FDAD4A	0.470215576900136
6491757c-5a86-323f-9f64-7d61eb848da9	Hudetz AG	15	2	face|faces	#FECB68	0.358031188398769
6491757c-5a86-323f-9f64-7d61eb848da9	Hudetz AG	16	2		#FD913D	0.558160579697006
6491757c-5a86-323f-9f64-7d61eb848da9	Hudetz AG	17	2		#FD913D	0.584034931369817
6491757c-5a86-323f-9f64-7d61eb848da9	Hudetz AG	18	2		#FD913D	0.597719964347196
6491757c-5a86-323f-9f64-7d61eb848da9	Hudetz AG	19	2		#FD913D	0.583872638969674
6491757c-5a86-323f-9f64-7d61eb848da9	Hudetz AG	20	2		#FD913D	0.557772795410147
6491757c-5a86-323f-9f64-7d61eb848da9	Hudetz AG	21	2	images|spatial	#FD913D	0.529636101392118
6491757c-5a86-323f-9f64-7d61eb848da9	Hudetz AG	22	2	control	#FD913D	0.530520634614715
