UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	1	1	auditory|speech	#F03623	0.709016970448108
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	2	1		#F03623	0.741002427843094
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	3	1	da|integration	#F03623	0.750494578508715
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	4	1		#B10026	0.978858007469529
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	5	1	physical|psychophysical|tactile	#B10026	0.951170564974239
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	6	1		#B10026	0.968131978792618
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	7	1	somatosensory|stimulation	#D7141E	0.861815481470422
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	8	1	painful|pain	#F03623	0.776903318570398
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	9	1		#F03623	0.734664082844512
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	10	1	ratings	#FDAD4A	0.459891041347205
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	11	1	affective|affect	#FECB68	0.307079569792808
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	12	1	emotions	#FEE188	0.281878391161566
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	13	1	expression|expressions|facial	#FFF1A9	0.197661428801531
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	14	1		#FECB68	0.326054459059491
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	15	1		#FECB68	0.3719863698587
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	16	1	emotion|motion|neutral	#FECB68	0.382213804540437
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	17	1	rating	#FD913D	0.50836128591188
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	18	1	negative|positive	#FD913D	0.580234663323705
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	19	1		#F03623	0.710479424422879
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	20	1	ear|order	#F03623	0.72658061330131
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	21	1	motor	#F03623	0.735700276055276
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	22	1	visual	#FC622F	0.643219757221732
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	23	1	age|image|response	#F03623	0.718941466320567
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	1	2	sound|sounds	#FC622F	0.683202670266872
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	2	2		#F03623	0.719242201993634
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	3	2	audiovisual|bimodal|crossmodal	#F03623	0.709727062083309
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	4	2		#B10026	0.967619771175489
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	5	2		#B10026	1
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	6	2		#B10026	0.982711471092131
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	7	2	sensation	#FC622F	0.693969755364011
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	8	2	heat|noxious	#F03623	0.757692155137444
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	9	2		#F03623	0.72980158730605
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	10	2		#FDAD4A	0.496336818568364
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	11	2		#FDAD4A	0.4204781445476
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	12	2	valence	#FEE188	0.271672364431699
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	13	2	person|social	#FECB68	0.319927902940125
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	14	2		#FECB68	0.339454272862529
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	15	2	face|faces	#FECB68	0.339736799850787
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	16	2		#FDAD4A	0.46298411758769
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	17	2		#FD913D	0.543185766047223
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	18	2		#FC622F	0.658228971284637
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	19	2		#F03623	0.733023436121464
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	20	2		#F03623	0.763534026056167
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	21	2	images|spatial	#F03623	0.727550061939909
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	22	2	control	#F03623	0.728023301334443
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	23	2	time	#F03623	0.738004968164056
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	1	3	acoustic|listening|musical|music|pitch	#FD913D	0.516451551516686
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	2	3	noise|tones	#FD913D	0.593536589758085
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	3	3		#F03623	0.740434582748809
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	4	3		#F03623	0.785333196445412
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	5	3	frequency	#D7141E	0.842941976223152
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	6	3		#D7141E	0.878846355561886
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	7	3		#F03623	0.766525523799876
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	8	3	temperature	#F03623	0.746725941466023
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	9	3		#FC622F	0.699281611181328
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	10	3	pleasant|unpleasant	#FDAD4A	0.420372899405785
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	11	3	anxiety	#FECB68	0.327893053520956
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	12	3		#FDAD4A	0.416166390193932
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	13	3		#FDAD4A	0.450167802455453
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	14	3		#FDAD4A	0.411126318391665
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	15	3		#FDAD4A	0.437665781993671
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	16	3	picture	#FDAD4A	0.416441072445272
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	17	3		#FC622F	0.606698346475949
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	18	3	value	#F03623	0.743059114074773
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	19	3	cue	#F03623	0.727026798701261
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	20	3	error|target	#F03623	0.779457744916393
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	21	3	attention	#F03623	0.78310000689394
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	22	3		#F03623	0.743827611852353
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	23	3	number	#F03623	0.739805274453437
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	1	4	voice	#FDAD4A	0.458193811826383
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	2	4		#FD913D	0.574047642767874
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	3	4	hearing	#FDAD4A	0.487566115754059
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	4	4		#FC622F	0.633374574245558
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	5	4	overt	#FD913D	0.551711566503447
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	6	4		#FC622F	0.685720683547685
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	7	4		#F03623	0.747716310003274
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	8	4	nociceptive|nonpainful|painrelated	#FD913D	0.520151845848602
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	9	4	unpleasantness	#FC622F	0.684427698915612
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	10	4	skin|subjective	#FD913D	0.567032207768078
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	11	4	depression	#FD913D	0.506443043801094
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	12	4	experience	#FDAD4A	0.471624576115749
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	13	4	female	#FDAD4A	0.431125443559402
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	14	4	male	#FD913D	0.502812910237814
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	15	4	pictures	#FECB68	0.385890495187551
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	16	4		#FD913D	0.565230927445954
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	17	4	perception	#FC622F	0.686396923694859
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	18	4		#F03623	0.710292802201376
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	19	4		#F03623	0.715866450182149
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	20	4		#F03623	0.725836970365355
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	21	4	correct	#F03623	0.737938861959193
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	22	4	work	#F03623	0.783947598336553
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	23	4	memory	#F03623	0.707464533580905
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	1	5	prosodic|prosody	#FDAD4A	0.448633001168298
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	2	5	phonetic	#FDAD4A	0.475168887343796
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	3	5	syllable|syllables	#FDAD4A	0.419888157074941
65d58de4-c37f-3b18-afd5-35cc18f855bc	Lustig C	4	5		#FD913D	0.550997411743281
