UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	1	1	auditory|speech	#FDAD4A	0.476945721134431
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	2	1		#FDAD4A	0.46619633357139
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	3	1	da|integration	#FD913D	0.563829176769433
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	4	1		#FDAD4A	0.450637970803108
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	5	1	physical|psychophysical|tactile	#FFF1A9	0.181411250702149
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	6	1		#FFF1A9	0.182290965447641
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	7	1	somatosensory|stimulation	#FFF1A9	0.114493805572217
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	8	1	painful|pain	#FFFFCC	0.0522968238264724
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	9	1		#FFF1A9	0.0995215687223762
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	10	1	ratings	#FEE188	0.226870422709837
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	11	1	affective|affect	#FFF1A9	0.197667351226873
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	12	1	emotions	#FECB68	0.336933278850439
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	13	1	expression|expressions|facial	#FDAD4A	0.451133424263245
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	14	1		#FD913D	0.529993976239343
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	15	1		#FD913D	0.507949346336693
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	16	1	emotion|motion|neutral	#FDAD4A	0.400567508357985
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	17	1	rating	#FEE188	0.269501660459691
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	18	1	negative|positive	#FEE188	0.266632740788506
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	19	1		#FECB68	0.360739103202009
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	20	1	ear|order	#FECB68	0.364207206209892
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	21	1	motor	#FEE188	0.25691474551316
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	22	1	visual	#FD913D	0.590069050040872
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	23	1	age|image|response	#FDAD4A	0.449392871928879
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	1	2	sound|sounds	#FECB68	0.387647380617177
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	2	2		#FDAD4A	0.439350306775837
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	3	2	audiovisual|bimodal|crossmodal	#FC622F	0.655801089215083
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	4	2		#FDAD4A	0.468747901404166
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	5	2		#FECB68	0.36649217428072
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	6	2		#FEE188	0.219332001173332
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	7	2	sensation	#FFFFCC	0.0568996030336322
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	8	2	heat|noxious	#FFFFCC	0.0496816386687211
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	9	2		#FFFFCC	0.0985317951518782
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	10	2		#FFF1A9	0.198702962669144
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	11	2		#FEE188	0.24894324371209
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	12	2	valence	#FEE188	0.296564131479378
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	13	2	person|social	#FDAD4A	0.453672528239253
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	14	2		#FD913D	0.545995179843404
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	15	2	face|faces	#FC622F	0.676189667225291
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	16	2		#FD913D	0.502938845841319
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	17	2		#FDAD4A	0.417650307635795
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	18	2		#FECB68	0.393688217436928
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	19	2		#FECB68	0.388371074681675
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	20	2		#FDAD4A	0.400987584101823
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	21	2	images|spatial	#FDAD4A	0.461812359414194
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	22	2	control	#FECB68	0.371200384371664
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	23	2	time	#FDAD4A	0.426775226712553
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	1	3	acoustic|listening|musical|music|pitch	#FEE188	0.288556891349308
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	2	3	noise|tones	#FECB68	0.355775408845713
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	3	3		#FDAD4A	0.492266966210617
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	4	3		#FD913D	0.517461976024313
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	5	3	frequency	#FDAD4A	0.434538293917816
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	6	3		#FECB68	0.343886533539092
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	7	3		#FFF1A9	0.105537519492793
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	8	3	temperature	#FFFFCC	0.0376420977959684
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	9	3		#FFFFCC	0.0948956945793619
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	10	3	pleasant|unpleasant	#FFF1A9	0.124031939292085
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	11	3	anxiety	#FFF1A9	0.140882367226897
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	12	3		#FECB68	0.345481559836224
68644a7c-f0cb-37c1-8374-9af37a58792f	Zhang L	13	3		#FDAD4A	0.483083975086585
