UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
6973051d-cc02-30a8-bf67-07a8d89accf9	Moran JM	1	1	auditory|speech	#FFF1A9	0.102781886622068
6973051d-cc02-30a8-bf67-07a8d89accf9	Moran JM	2	1		#FFF1A9	0.109430821711855
6973051d-cc02-30a8-bf67-07a8d89accf9	Moran JM	3	1	da|integration	#FFF1A9	0.161982834626869
6973051d-cc02-30a8-bf67-07a8d89accf9	Moran JM	4	1		#FFF1A9	0.188446647606835
6973051d-cc02-30a8-bf67-07a8d89accf9	Moran JM	5	1	physical|psychophysical|tactile	#FFF1A9	0.182099351514841
6973051d-cc02-30a8-bf67-07a8d89accf9	Moran JM	6	1		#FFF1A9	0.171195468643393
6973051d-cc02-30a8-bf67-07a8d89accf9	Moran JM	7	1	somatosensory|stimulation	#FFFFCC	0.0960856470999825
6973051d-cc02-30a8-bf67-07a8d89accf9	Moran JM	8	1	painful|pain	#FFF1A9	0.157164014677404
6973051d-cc02-30a8-bf67-07a8d89accf9	Moran JM	9	1		#FEE188	0.217554133209068
6973051d-cc02-30a8-bf67-07a8d89accf9	Moran JM	10	1	ratings	#FDAD4A	0.432450572634238
6973051d-cc02-30a8-bf67-07a8d89accf9	Moran JM	11	1	affective|affect	#FDAD4A	0.477005565100511
6973051d-cc02-30a8-bf67-07a8d89accf9	Moran JM	12	1	emotions	#FD913D	0.50613464561591
6973051d-cc02-30a8-bf67-07a8d89accf9	Moran JM	13	1	expression|expressions|facial	#FECB68	0.332014779565256
6973051d-cc02-30a8-bf67-07a8d89accf9	Moran JM	14	1		#FDAD4A	0.475609952971515
6973051d-cc02-30a8-bf67-07a8d89accf9	Moran JM	15	1		#FDAD4A	0.480036689590255
6973051d-cc02-30a8-bf67-07a8d89accf9	Moran JM	16	1	emotion|motion|neutral	#FD913D	0.511606232063081
6973051d-cc02-30a8-bf67-07a8d89accf9	Moran JM	17	1	rating	#FDAD4A	0.462537100518535
6973051d-cc02-30a8-bf67-07a8d89accf9	Moran JM	18	1	negative|positive	#FDAD4A	0.490654722295849
6973051d-cc02-30a8-bf67-07a8d89accf9	Moran JM	19	1		#FECB68	0.347679472209133
6973051d-cc02-30a8-bf67-07a8d89accf9	Moran JM	20	1	ear|order	#FEE188	0.242440590396511
6973051d-cc02-30a8-bf67-07a8d89accf9	Moran JM	21	1	motor	#FFFFCC	0.0559946840791881
6973051d-cc02-30a8-bf67-07a8d89accf9	Moran JM	22	1	visual	#FFFFCC	0.0861357140136964
6973051d-cc02-30a8-bf67-07a8d89accf9	Moran JM	23	1	age|image|response	#FEE188	0.239218741188843
6973051d-cc02-30a8-bf67-07a8d89accf9	Moran JM	1	2	sound|sounds	#FFFFCC	0.0894429142895268
6973051d-cc02-30a8-bf67-07a8d89accf9	Moran JM	2	2		#FFF1A9	0.103258498389267
6973051d-cc02-30a8-bf67-07a8d89accf9	Moran JM	3	2	audiovisual|bimodal|crossmodal	#FFFFCC	0.0890397545439995
6973051d-cc02-30a8-bf67-07a8d89accf9	Moran JM	4	2		#FFF1A9	0.181581773573623
6973051d-cc02-30a8-bf67-07a8d89accf9	Moran JM	5	2		#FFF1A9	0.172013605277441
6973051d-cc02-30a8-bf67-07a8d89accf9	Moran JM	6	2		#FFF1A9	0.168904951989341
