UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	1	1	auditory|speech	#FEE188	0.223594563516665
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	2	1		#FEE188	0.211902598593406
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	3	1	da|integration	#FECB68	0.316348111089598
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	4	1		#FECB68	0.387667501038562
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	5	1	physical|psychophysical|tactile	#FDAD4A	0.429371288380634
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	6	1		#FDAD4A	0.454698636455846
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	7	1	somatosensory|stimulation	#FECB68	0.33439641748254
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	8	1	painful|pain	#FDAD4A	0.407731942763532
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	9	1		#FDAD4A	0.429183952224821
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	10	1	ratings	#FDAD4A	0.411189273188673
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	11	1	affective|affect	#FD913D	0.502320851840103
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	12	1	emotions	#FEE188	0.288977489182996
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	13	1	expression|expressions|facial	#FEE188	0.214284575776603
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	14	1		#FECB68	0.346939091564867
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	15	1		#FECB68	0.374729660243216
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	16	1	emotion|motion|neutral	#FECB68	0.353396309334035
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	17	1	rating	#FDAD4A	0.433949760430756
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	18	1	negative|positive	#FD913D	0.525750723962648
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	19	1		#FD913D	0.574998780317662
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	20	1	ear|order	#FC622F	0.612267919082746
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	21	1	motor	#FDAD4A	0.4128337696863
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	22	1	visual	#FDAD4A	0.411449753985912
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	23	1	age|image|response	#FD913D	0.52266219694864
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	1	2	sound|sounds	#FFF1A9	0.155609815817453
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	2	2		#FFF1A9	0.198046180120574
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	3	2	audiovisual|bimodal|crossmodal	#FFFFCC	0.0686298364725273
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	4	2		#FECB68	0.384860339488185
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	5	2		#FDAD4A	0.419906854232827
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	6	2		#FDAD4A	0.46105783386076
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	7	2	sensation	#FECB68	0.364080091781821
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	8	2	heat|noxious	#FECB68	0.383846585113724
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	9	2		#FDAD4A	0.444624900088333
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	10	2		#FDAD4A	0.463676102479481
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	11	2		#FDAD4A	0.441140602809552
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	12	2	valence	#FECB68	0.397177443154047
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	13	2	person|social	#FECB68	0.327081531236295
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	14	2		#FECB68	0.360360127443602
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	15	2	face|faces	#FECB68	0.322986323800862
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	16	2		#FDAD4A	0.42227914996151
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	17	2		#FDAD4A	0.47567165349663
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	18	2		#FD913D	0.559932268976289
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	19	2		#FD913D	0.595387767317214
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	20	2		#FD913D	0.56335593171644
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	21	2	images|spatial	#FDAD4A	0.487086248518924
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	22	2	control	#FD913D	0.576435445887592
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	23	2	time	#FD913D	0.527299916074306
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	1	3	acoustic|listening|musical|music|pitch	#FFF1A9	0.109634188240214
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	2	3	noise|tones	#FFF1A9	0.157488514617922
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	3	3		#FEE188	0.21944242049664
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	4	3		#FEE188	0.260773607229721
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	5	3	frequency	#FECB68	0.365170470069599
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	6	3		#FDAD4A	0.405662426424877
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	7	3		#FDAD4A	0.422773408682114
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	8	3	temperature	#FECB68	0.375452430970844
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	9	3		#FDAD4A	0.461857032322778
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	10	3	pleasant|unpleasant	#FDAD4A	0.427301520970032
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	11	3	anxiety	#FECB68	0.395665757735747
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	12	3		#FDAD4A	0.445929975868753
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	13	3		#FDAD4A	0.461735972079087
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	14	3		#FDAD4A	0.424397391906644
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	15	3		#FDAD4A	0.433026740145269
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	16	3	picture	#FDAD4A	0.453297047519194
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	17	3		#FDAD4A	0.494418152132065
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	18	3	value	#FD913D	0.547390912780207
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	19	3	cue	#FC622F	0.658864105865062
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	20	3	error|target	#FC622F	0.661828218089145
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	21	3	attention	#FD913D	0.55112411940146
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	22	3		#FD913D	0.594971434146514
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	23	3	number	#FD913D	0.593852166824738
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	1	4	voice	#FFF1A9	0.128179922928945
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	2	4		#FFF1A9	0.178387983556971
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	3	4	hearing	#FFF1A9	0.154638146281076
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	4	4		#FEE188	0.20666426530688
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	5	4	overt	#FFF1A9	0.188621893875058
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	6	4		#FEE188	0.260718594846038
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	7	4		#FDAD4A	0.437629763707318
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	8	4	nociceptive|nonpainful|painrelated	#FECB68	0.394312376740603
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	9	4	unpleasantness	#FDAD4A	0.439834148049797
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	10	4	skin|subjective	#FD913D	0.504004458985017
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	11	4	depression	#FDAD4A	0.43211273615347
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	12	4	experience	#FDAD4A	0.419308005155537
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	13	4	female	#FD913D	0.537002957309205
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	14	4	male	#FD913D	0.502082329418556
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	15	4	pictures	#FECB68	0.391838227380871
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	16	4		#FDAD4A	0.459815589022121
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	17	4	perception	#FECB68	0.392440052372776
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	18	4		#FD913D	0.56727001966379
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	19	4		#FD913D	0.587712112494587
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	20	4		#FC622F	0.600235528233925
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	21	4	correct	#F03623	0.707498649710108
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	22	4	work	#FC622F	0.695484317761319
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	23	4	memory	#FC622F	0.62551223013781
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	1	5	prosodic|prosody	#FFF1A9	0.172582911813479
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	2	5	phonetic	#FFF1A9	0.145450044927115
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	3	5	syllable|syllables	#FFF1A9	0.186202573062699
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	4	5		#FFF1A9	0.167661061488296
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	5	5	lip|production	#FFFFCC	0.0104263927308999
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	6	5	somatotopic	#FFFFCC	0.0567494249371832
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	7	5		#FDAD4A	0.492066054610095
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	8	5		#FD913D	0.549295183675712
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	9	5	empathy	#FD913D	0.518100546313345
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	10	5		#FD913D	0.542963208533592
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	11	5	disorder	#FDAD4A	0.482328612018108
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	12	5		#FD913D	0.523890503584758
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	13	5		#FDAD4A	0.487485214570128
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	14	5		#FDAD4A	0.448682725317844
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	15	5		#FDAD4A	0.445961687123186
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	16	5		#FDAD4A	0.436448555795068
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	17	5		#FDAD4A	0.447797538907782
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	18	5	mental	#FD913D	0.520093478461659
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	19	5	go	#FD913D	0.554771967715972
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	20	5	object	#FECB68	0.392443720059998
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	21	5		#FD913D	0.591681710385988
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	22	5		#FD913D	0.554184199193091
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	23	5	word|words	#FDAD4A	0.457257169113806
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	1	6		#FDAD4A	0.437856198669778
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	2	6		#FDAD4A	0.440773393198433
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	3	6		#FECB68	0.375563260795569
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	4	6	vocal	#FEE188	0.207512531189587
6ac021f4-162c-3672-8234-b6dd3f26def2	Voderholzer U	5	6	articulatory	#FFFFCC	0.0763624030816039
