UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
6e06a088-960e-31f5-8230-978faa4a1494	Desmond JE	1	1	auditory|speech	#FDAD4A	0.454440951654637
6e06a088-960e-31f5-8230-978faa4a1494	Desmond JE	2	1		#FECB68	0.374838385023371
6e06a088-960e-31f5-8230-978faa4a1494	Desmond JE	3	1	da|integration	#FD913D	0.561889551612404
6e06a088-960e-31f5-8230-978faa4a1494	Desmond JE	4	1		#FDAD4A	0.467821713286505
6e06a088-960e-31f5-8230-978faa4a1494	Desmond JE	5	1	physical|psychophysical|tactile	#FEE188	0.289304782275582
6e06a088-960e-31f5-8230-978faa4a1494	Desmond JE	6	1		#FECB68	0.397274981393396
6e06a088-960e-31f5-8230-978faa4a1494	Desmond JE	7	1	somatosensory|stimulation	#FECB68	0.384472277096184
6e06a088-960e-31f5-8230-978faa4a1494	Desmond JE	8	1	painful|pain	#FECB68	0.361432078507411
6e06a088-960e-31f5-8230-978faa4a1494	Desmond JE	9	1		#FECB68	0.381991137203679
6e06a088-960e-31f5-8230-978faa4a1494	Desmond JE	10	1	ratings	#FDAD4A	0.406245210338006
6e06a088-960e-31f5-8230-978faa4a1494	Desmond JE	11	1	affective|affect	#FD913D	0.556413992476941
6e06a088-960e-31f5-8230-978faa4a1494	Desmond JE	12	1	emotions	#FECB68	0.37992089574839
6e06a088-960e-31f5-8230-978faa4a1494	Desmond JE	13	1	expression|expressions|facial	#FEE188	0.282177724161906
6e06a088-960e-31f5-8230-978faa4a1494	Desmond JE	14	1		#FDAD4A	0.402156354364861
6e06a088-960e-31f5-8230-978faa4a1494	Desmond JE	15	1		#FDAD4A	0.412331251795742
6e06a088-960e-31f5-8230-978faa4a1494	Desmond JE	16	1	emotion|motion|neutral	#FECB68	0.36266438628352
6e06a088-960e-31f5-8230-978faa4a1494	Desmond JE	17	1	rating	#FDAD4A	0.436791516657736
6e06a088-960e-31f5-8230-978faa4a1494	Desmond JE	18	1	negative|positive	#FDAD4A	0.499085585635178
6e06a088-960e-31f5-8230-978faa4a1494	Desmond JE	19	1		#FC622F	0.632105876297239
6e06a088-960e-31f5-8230-978faa4a1494	Desmond JE	20	1	ear|order	#FC622F	0.696629129709486
6e06a088-960e-31f5-8230-978faa4a1494	Desmond JE	21	1	motor	#FC622F	0.62883923444503
6e06a088-960e-31f5-8230-978faa4a1494	Desmond JE	22	1	visual	#FD913D	0.521742720319647
