UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
6eda5738-116f-3f7f-8862-40db04602be5	Schlaug G	1	1	auditory|speech	#D7141E	0.872012436388541
6eda5738-116f-3f7f-8862-40db04602be5	Schlaug G	2	1		#F03623	0.79912438227342
6eda5738-116f-3f7f-8862-40db04602be5	Schlaug G	3	1	da|integration	#D7141E	0.800751784883777
6eda5738-116f-3f7f-8862-40db04602be5	Schlaug G	4	1		#D7141E	0.810287460458941
6eda5738-116f-3f7f-8862-40db04602be5	Schlaug G	5	1	physical|psychophysical|tactile	#FDAD4A	0.463602192108399
6eda5738-116f-3f7f-8862-40db04602be5	Schlaug G	6	1		#FD913D	0.563615984721505
6eda5738-116f-3f7f-8862-40db04602be5	Schlaug G	7	1	somatosensory|stimulation	#FD913D	0.556366322890644
6eda5738-116f-3f7f-8862-40db04602be5	Schlaug G	8	1	painful|pain	#FECB68	0.312192378714983
6eda5738-116f-3f7f-8862-40db04602be5	Schlaug G	9	1		#FDAD4A	0.40298262108677
6eda5738-116f-3f7f-8862-40db04602be5	Schlaug G	10	1	ratings	#FD913D	0.53208585669969
6eda5738-116f-3f7f-8862-40db04602be5	Schlaug G	11	1	affective|affect	#FD913D	0.556832436120735
6eda5738-116f-3f7f-8862-40db04602be5	Schlaug G	12	1	emotions	#FC622F	0.635823890710195
6eda5738-116f-3f7f-8862-40db04602be5	Schlaug G	13	1	expression|expressions|facial	#FD913D	0.599920678394728
6eda5738-116f-3f7f-8862-40db04602be5	Schlaug G	14	1		#F03623	0.73038264458504
6eda5738-116f-3f7f-8862-40db04602be5	Schlaug G	15	1		#F03623	0.742349780275073
6eda5738-116f-3f7f-8862-40db04602be5	Schlaug G	16	1	emotion|motion|neutral	#F03623	0.727923986898083
6eda5738-116f-3f7f-8862-40db04602be5	Schlaug G	17	1	rating	#FC622F	0.604572017820383
6eda5738-116f-3f7f-8862-40db04602be5	Schlaug G	18	1	negative|positive	#FD913D	0.59128992371979
6eda5738-116f-3f7f-8862-40db04602be5	Schlaug G	19	1		#F03623	0.712235959981178
