UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	1	1	auditory|speech	#FC622F	0.643644742009551
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	2	1		#F03623	0.73040609412378
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	3	1	da|integration	#F03623	0.774466393906603
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	4	1		#B10026	0.998642127175356
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	5	1	physical|psychophysical|tactile	#B10026	0.993908373225589
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	6	1		#B10026	0.970825685400615
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	7	1	somatosensory|stimulation	#D7141E	0.872272864232662
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	8	1	painful|pain	#F03623	0.748435010640104
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	9	1		#F03623	0.760948842181478
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	10	1	ratings	#FD913D	0.568279375941699
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	11	1	affective|affect	#FDAD4A	0.410367991774579
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	12	1	emotions	#FECB68	0.381178915826978
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	13	1	expression|expressions|facial	#FEE188	0.269683435446353
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	14	1		#FECB68	0.394747950919141
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	15	1		#FDAD4A	0.4095107186974
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	16	1	emotion|motion|neutral	#FDAD4A	0.414083597984825
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	17	1	rating	#FD913D	0.566978131428889
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	18	1	negative|positive	#FD913D	0.532249952281404
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	19	1		#FD913D	0.588222338907617
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	20	1	ear|order	#FD913D	0.577325367573638
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	21	1	motor	#FD913D	0.541046641274843
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	22	1	visual	#FDAD4A	0.480296007872576
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	23	1	age|image|response	#FD913D	0.575874719656463
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	1	2	sound|sounds	#F03623	0.727024631779876
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	2	2		#FC622F	0.691835645910053
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	3	2	audiovisual|bimodal|crossmodal	#FC622F	0.673359211459604
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	4	2		#B10026	0.979870725971198
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	5	2		#B10026	1
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	6	2		#B10026	0.979395874937507
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	7	2	sensation	#F03623	0.779087746287977
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	8	2	heat|noxious	#FC622F	0.680399218355863
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	9	2		#F03623	0.77492057094815
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	10	2		#FD913D	0.587562843759993
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	11	2		#FD913D	0.529837533742411
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	12	2	valence	#FDAD4A	0.461578079083361
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	13	2	person|social	#FD913D	0.527438722368768
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	14	2		#FECB68	0.398497900098384
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	15	2	face|faces	#FECB68	0.335556173399191
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	16	2		#FDAD4A	0.470934453273276
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	17	2		#FD913D	0.530680052286946
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	18	2		#FD913D	0.593802839723543
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	19	2		#FC622F	0.610123683269598
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	20	2		#FD913D	0.59173320604132
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	21	2	images|spatial	#FD913D	0.550939430839782
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	22	2	control	#FD913D	0.594540939730097
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	23	2	time	#FC622F	0.609992370030765
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	1	3	acoustic|listening|musical|music|pitch	#FDAD4A	0.426103609196038
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	2	3	noise|tones	#FD913D	0.578078039117073
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	3	3		#F03623	0.725498741507726
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	4	3		#F03623	0.769063331774081
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	5	3	frequency	#F03623	0.77961178295541
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	6	3		#D7141E	0.859489114525966
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	7	3		#D7141E	0.818703960223738
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	8	3	temperature	#D7141E	0.881811661798004
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	9	3		#F03623	0.755384384608471
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	10	3	pleasant|unpleasant	#FECB68	0.368778770967133
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	11	3	anxiety	#FECB68	0.366320898033414
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	12	3		#FDAD4A	0.488074126794285
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	13	3		#FD913D	0.505684404151908
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	14	3		#FDAD4A	0.442883145144741
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	15	3		#FDAD4A	0.446051363516434
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	16	3	picture	#FECB68	0.387652104322239
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	17	3		#FD913D	0.577380369843112
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	18	3	value	#FC622F	0.656796363989646
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	19	3	cue	#FD913D	0.567328957119861
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	20	3	error|target	#FC622F	0.657172767222826
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	21	3	attention	#FD913D	0.566532494817053
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	22	3		#FD913D	0.566596943860415
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	23	3	number	#FD913D	0.570997450784489
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	1	4	voice	#FDAD4A	0.473361512299067
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	2	4		#FD913D	0.539475431957364
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	3	4	hearing	#FD913D	0.502273157027688
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	4	4		#FC622F	0.627633990428623
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	5	4	overt	#FDAD4A	0.486052181981277
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	6	4		#FC622F	0.671595070808265
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	7	4		#D7141E	0.830979876074318
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	8	4	nociceptive|nonpainful|painrelated	#FD913D	0.564132974060333
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	9	4	unpleasantness	#F03623	0.703513030462638
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	10	4	skin|subjective	#FD913D	0.539051482236562
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	11	4	depression	#FDAD4A	0.414614991171628
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	12	4	experience	#FD913D	0.551817268681517
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	13	4	female	#FDAD4A	0.428015749117443
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	14	4	male	#FDAD4A	0.47942231074189
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	15	4	pictures	#FECB68	0.368152640436331
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	16	4		#FD913D	0.538767731172685
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	17	4	perception	#FC622F	0.639832690531649
73a4c659-7ed4-3664-9039-6f23681fd144	Gardner JL	18	4		#FC622F	0.629534981867071
