UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
748976e9-289b-3595-9255-dea5da641a31	Siever LJ	1	1	auditory|speech	#FECB68	0.314208964408341
748976e9-289b-3595-9255-dea5da641a31	Siever LJ	2	1		#FEE188	0.294089980828616
748976e9-289b-3595-9255-dea5da641a31	Siever LJ	3	1	da|integration	#FD913D	0.55406442411157
748976e9-289b-3595-9255-dea5da641a31	Siever LJ	4	1		#FDAD4A	0.483149990091682
748976e9-289b-3595-9255-dea5da641a31	Siever LJ	5	1	physical|psychophysical|tactile	#FEE188	0.212159731086074
748976e9-289b-3595-9255-dea5da641a31	Siever LJ	6	1		#FDAD4A	0.406580180056201
748976e9-289b-3595-9255-dea5da641a31	Siever LJ	7	1	somatosensory|stimulation	#FECB68	0.395421004989041
748976e9-289b-3595-9255-dea5da641a31	Siever LJ	8	1	painful|pain	#FECB68	0.342037554585886
748976e9-289b-3595-9255-dea5da641a31	Siever LJ	9	1		#FD913D	0.517115567778904
748976e9-289b-3595-9255-dea5da641a31	Siever LJ	10	1	ratings	#D7141E	0.894798008354313
748976e9-289b-3595-9255-dea5da641a31	Siever LJ	11	1	affective|affect	#F03623	0.720535221142511
748976e9-289b-3595-9255-dea5da641a31	Siever LJ	12	1	emotions	#F03623	0.788420709402306
748976e9-289b-3595-9255-dea5da641a31	Siever LJ	13	1	expression|expressions|facial	#F03623	0.73940321846232
748976e9-289b-3595-9255-dea5da641a31	Siever LJ	14	1		#B10026	0.955196198488401
748976e9-289b-3595-9255-dea5da641a31	Siever LJ	15	1		#B10026	0.97104109933098
748976e9-289b-3595-9255-dea5da641a31	Siever LJ	16	1	emotion|motion|neutral	#B10026	0.943950873134846
748976e9-289b-3595-9255-dea5da641a31	Siever LJ	17	1	rating	#B10026	0.919723669087783
748976e9-289b-3595-9255-dea5da641a31	Siever LJ	18	1	negative|positive	#D7141E	0.878388895059873
748976e9-289b-3595-9255-dea5da641a31	Siever LJ	19	1		#F03623	0.798387205084591
748976e9-289b-3595-9255-dea5da641a31	Siever LJ	20	1	ear|order	#FC622F	0.634640082850039
748976e9-289b-3595-9255-dea5da641a31	Siever LJ	21	1	motor	#FDAD4A	0.405280149680926
748976e9-289b-3595-9255-dea5da641a31	Siever LJ	22	1	visual	#FD913D	0.541676761397192
748976e9-289b-3595-9255-dea5da641a31	Siever LJ	23	1	age|image|response	#FC622F	0.639078254262015
748976e9-289b-3595-9255-dea5da641a31	Siever LJ	1	2	sound|sounds	#FFF1A9	0.145583810600246
748976e9-289b-3595-9255-dea5da641a31	Siever LJ	2	2		#FEE188	0.247589049241484
