UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	1	1	auditory|speech	#FFFFCC	0.0772585153879806
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	2	1		#FFF1A9	0.102231941825976
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	3	1	da|integration	#FEE188	0.247732882006266
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	4	1		#FFF1A9	0.19816169427022
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	5	1	physical|psychophysical|tactile	#FFF1A9	0.129642492666926
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	6	1		#FFF1A9	0.110230334609785
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	7	1	somatosensory|stimulation	#FFFFCC	0.0476669728302788
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	8	1	painful|pain	#FFFFCC	0.0872479639226214
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	9	1		#FFF1A9	0.164080333512206
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	10	1	ratings	#FDAD4A	0.431179520488005
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	11	1	affective|affect	#FDAD4A	0.469689465604535
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	12	1	emotions	#FC622F	0.644933355318414
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	13	1	expression|expressions|facial	#F03623	0.741217320228635
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	14	1		#F03623	0.780801687287473
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	15	1		#F03623	0.726510677868346
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	16	1	emotion|motion|neutral	#FC622F	0.661111694349332
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	17	1	rating	#FDAD4A	0.47506195665094
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	18	1	negative|positive	#FECB68	0.363127492012383
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	19	1		#FEE188	0.290981174431232
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	20	1	ear|order	#FEE188	0.199881127415452
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	21	1	motor	#FFFFCC	0.00171390012724347
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	22	1	visual	#FFF1A9	0.198111355718926
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	23	1	age|image|response	#FEE188	0.228034534098214
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	1	2	sound|sounds	#FFFFCC	0.0640727562672346
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	2	2		#FFFFCC	0.0976752034590151
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	3	2	audiovisual|bimodal|crossmodal	#FEE188	0.223349416644826
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	4	2		#FEE188	0.199808865557979
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	5	2		#FFF1A9	0.159817638874315
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	6	2		#FFF1A9	0.115893400064069
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	7	2	sensation	#FFFFCC	0.0421228732206013
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	8	2	heat|noxious	#FFFFCC	0.0385169363068812
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	9	2		#FFF1A9	0.194806580434033
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	10	2		#FDAD4A	0.482618387600269
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	11	2		#FD913D	0.576478911999285
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	12	2	valence	#F03623	0.709110263851548
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	13	2	person|social	#B10026	0.936084975596292
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	14	2		#F03623	0.780857037903181
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	15	2	face|faces	#F03623	0.719366997685503
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	16	2		#FC622F	0.667694348757786
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	17	2		#FD913D	0.553110129392923
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	18	2		#FDAD4A	0.403468348605837
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	19	2		#FEE188	0.282766621119719
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	20	2		#FFF1A9	0.198194583972527
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	21	2	images|spatial	#FEE188	0.236628253435508
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	22	2	control	#FFF1A9	0.167042405869244
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	23	2	time	#FFF1A9	0.187604930822197
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	1	3	acoustic|listening|musical|music|pitch	#FFFFCC	0.0539861862758992
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	2	3	noise|tones	#FFFFCC	0.0915790177994243
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	3	3		#FFF1A9	0.16591558929182
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	4	3		#FFF1A9	0.179521288736419
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	5	3	frequency	#FFF1A9	0.136349881723763
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	6	3		#FFF1A9	0.141338200216826
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	7	3		#FFFFCC	0.0893573388276928
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	8	3	temperature	#FFF1A9	0.132833002982388
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	9	3		#FFF1A9	0.189950186317966
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	10	3	pleasant|unpleasant	#FDAD4A	0.418015172469259
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	11	3	anxiety	#FD913D	0.504170763797267
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	12	3		#FC622F	0.640755257707976
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	13	3		#FC622F	0.685035151310697
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	14	3		#F03623	0.732893267663943
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	15	3		#F03623	0.732830070986921
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	16	3	picture	#F03623	0.746187849795374
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	17	3		#FD913D	0.564787780194325
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	18	3	value	#FEE188	0.246813687134449
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	19	3	cue	#FEE188	0.250827201400339
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	20	3	error|target	#FFF1A9	0.150615978867103
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	21	3	attention	#FFF1A9	0.188451692297511
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	22	3		#FEE188	0.221391350269441
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	23	3	number	#FFF1A9	0.198061062325018
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	1	4	voice	#FFFFCC	0.0721279595254201
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	2	4		#FFF1A9	0.12117531667969
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	3	4	hearing	#FFF1A9	0.171767022446456
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	4	4		#FFF1A9	0.140393692609574
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	5	4	overt	#FFF1A9	0.125179957961289
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	6	4		#FFF1A9	0.135659494729726
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	7	4		#FFF1A9	0.11883354536044
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	8	4	nociceptive|nonpainful|painrelated	#FFFFCC	0.0526100658635526
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	9	4	unpleasantness	#FFF1A9	0.126464682199211
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	10	4	skin|subjective	#FECB68	0.319936992770388
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	11	4	depression	#FDAD4A	0.437500114976089
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	12	4	experience	#FDAD4A	0.469175965247775
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	13	4	female	#FD913D	0.539134837913295
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	14	4	male	#FC622F	0.626032344010584
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	15	4	pictures	#F03623	0.737485912262476
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	16	4		#FC622F	0.651826544783782
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	17	4	perception	#FDAD4A	0.435117894286387
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	18	4		#FECB68	0.392719456251645
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	19	4		#FECB68	0.344787175262741
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	20	4		#FEE188	0.299131470805501
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	21	4	correct	#FEE188	0.232821291269694
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	22	4	work	#FFF1A9	0.175412263479513
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	23	4	memory	#FEE188	0.294524511540253
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	1	5	prosodic|prosody	#FFF1A9	0.135272889072794
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	2	5	phonetic	#FFF1A9	0.123232013414086
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	3	5	syllable|syllables	#FFF1A9	0.152071724893809
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	4	5		#FFF1A9	0.135008288547389
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	5	5	lip|production	#FFFFCC	0.088643779953824
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	6	5	somatotopic	#FFFFCC	0.0645780570995573
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	7	5		#FFF1A9	0.166821883094029
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	8	5		#FEE188	0.22296525390436
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	9	5	empathy	#FEE188	0.282617478891614
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	10	5		#FECB68	0.348893962302221
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	11	5	disorder	#FECB68	0.343277195342825
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	12	5		#FDAD4A	0.461308269075754
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	13	5		#FD913D	0.542627362496629
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	14	5		#FC622F	0.616557756416381
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	15	5		#FC622F	0.635665184435308
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	16	5		#FD913D	0.560420312116899
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	17	5		#FDAD4A	0.496158532185548
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	18	5	mental	#FDAD4A	0.467117394401333
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	19	5	go	#FECB68	0.398361733310305
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	20	5	object	#FECB68	0.39738052777516
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	21	5		#FECB68	0.311538044391035
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	22	5		#FECB68	0.310333693835659
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	23	5	word|words	#FEE188	0.281198584759604
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	1	6		#FEE188	0.219478461579129
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	2	6		#FEE188	0.223171801107475
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	3	6		#FFF1A9	0.197860709769178
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	4	6	vocal	#FFF1A9	0.109440791098935
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	5	6	articulatory	#FFFFCC	0.0799770737173701
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	6	6		#FFF1A9	0.161799541389943
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	7	6	oddball	#FFF1A9	0.171133140934365
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	8	6	perceived	#FECB68	0.392648786971985
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	9	6	errorrelated	#FEE188	0.251423923697404
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	10	6	approach	#FEE188	0.224546603950408
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	11	6	schizophrenia	#FECB68	0.325906240295636
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	12	6	acquisition	#FEE188	0.230356541630696
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	13	6		#FDAD4A	0.435758545769142
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	14	6		#FDAD4A	0.435115291646431
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	15	6		#FDAD4A	0.470872851075731
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	16	6		#FDAD4A	0.462287582924729
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	17	6		#FECB68	0.381244076258024
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	18	6		#FECB68	0.365869996826049
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	19	6		#FECB68	0.38655101589775
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	20	6	objects	#FDAD4A	0.471787529355464
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	21	6		#FECB68	0.38400165589924
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	22	6		#FECB68	0.335598075711058
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	23	6	language|semantic	#FECB68	0.330649779116184
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	1	7	dopamine|dopaminergic	#FEE188	0.204025638776409
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	2	7		#FEE188	0.206724919190057
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	3	7		#FEE188	0.213412104500253
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	4	7		#FEE188	0.207255968619534
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	5	7		#FEE188	0.228384408256567
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	6	7		#FEE188	0.297250765365218
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	7	7		#FECB68	0.324178419719568
74e95b31-e9f9-3ae5-9be6-972163ece590	Carota A	8	7		#FECB68	0.365914973208207
