UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	1	1	auditory|speech	#FEE188	0.262787809816879
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	2	1		#FEE188	0.238309221024065
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	3	1	da|integration	#FDAD4A	0.458239134880577
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	4	1		#FDAD4A	0.436103609743693
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	5	1	physical|psychophysical|tactile	#FECB68	0.370529792259797
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	6	1		#FDAD4A	0.443048242689449
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	7	1	somatosensory|stimulation	#FECB68	0.319173199741164
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	8	1	painful|pain	#FECB68	0.380690192917227
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	9	1		#FDAD4A	0.437277974434464
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	10	1	ratings	#FDAD4A	0.496587214955689
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	11	1	affective|affect	#FD913D	0.537990479279503
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	12	1	emotions	#FD913D	0.522270454757372
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	13	1	expression|expressions|facial	#FDAD4A	0.447042470736285
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	14	1		#FC622F	0.636270825080893
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	15	1		#FC622F	0.637841116919425
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	16	1	emotion|motion|neutral	#FD913D	0.581846353553931
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	17	1	rating	#FD913D	0.585742210548163
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	18	1	negative|positive	#FC622F	0.635878744923495
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	19	1		#FC622F	0.69419101470259
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	20	1	ear|order	#FC622F	0.67108583095386
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	21	1	motor	#FDAD4A	0.454880328147529
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	22	1	visual	#FD913D	0.552775707718181
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	23	1	age|image|response	#FC622F	0.649107157325441
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	1	2	sound|sounds	#FFF1A9	0.133382350837544
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	2	2		#FEE188	0.206327927728989
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	3	2	audiovisual|bimodal|crossmodal	#FFF1A9	0.162164794683263
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	4	2		#FDAD4A	0.441966702579314
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	5	2		#FDAD4A	0.457532312358832
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	6	2		#FDAD4A	0.460404094400752
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	7	2	sensation	#FECB68	0.310643330879976
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	8	2	heat|noxious	#FECB68	0.340939636211927
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	9	2		#FDAD4A	0.471857293086628
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	10	2		#FD913D	0.554027006335083
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	11	2		#FD913D	0.576968293977094
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	12	2	valence	#FD913D	0.541025575103351
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	13	2	person|social	#F03623	0.782108200903701
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	14	2		#FC622F	0.645920014293772
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	15	2	face|faces	#FC622F	0.613834863411989
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	16	2		#FC622F	0.679886704125284
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	17	2		#FC622F	0.693587760030677
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	18	2		#F03623	0.718736520771871
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	19	2		#F03623	0.714945493966684
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	20	2		#FC622F	0.669922599030694
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	21	2	images|spatial	#FC622F	0.646438271694102
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	22	2	control	#FC622F	0.689557157554083
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	23	2	time	#FC622F	0.658294521026161
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	1	3	acoustic|listening|musical|music|pitch	#FFFFCC	0.0369274649788843
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	2	3	noise|tones	#FFF1A9	0.121107736408886
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	3	3		#FECB68	0.310810809759369
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	4	3		#FDAD4A	0.400874583200504
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	5	3	frequency	#FDAD4A	0.433053372771008
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	6	3		#FD913D	0.517973406988468
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	7	3		#FDAD4A	0.455059694058219
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	8	3	temperature	#FD913D	0.52154745447072
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	9	3		#FDAD4A	0.497711324737812
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	10	3	pleasant|unpleasant	#FECB68	0.379396955547709
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	11	3	anxiety	#FDAD4A	0.419869394446932
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	12	3		#FC622F	0.618851125722258
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	13	3		#FC622F	0.679161847816943
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	14	3		#FC622F	0.670227382342179
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	15	3		#FC622F	0.697819145022275
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	16	3	picture	#F03623	0.713837420511131
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	17	3		#F03623	0.756333260354628
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	18	3	value	#F03623	0.71110141653729
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	19	3	cue	#FC622F	0.682387045579098
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	20	3	error|target	#FC622F	0.694745553554686
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	21	3	attention	#F03623	0.708142941135162
7617855e-5016-3350-b24b-37706c9b9ecc	Hajak G	22	3		#F03623	0.723206511510344
