UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	1	1	auditory|speech	#FEE188	0.242469434676957
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	2	1		#FEE188	0.232540060540679
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	3	1	da|integration	#FECB68	0.383238063893017
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	4	1		#FECB68	0.385470203256668
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	5	1	physical|psychophysical|tactile	#FDAD4A	0.408533003918956
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	6	1		#FD913D	0.53773888263217
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	7	1	somatosensory|stimulation	#FD913D	0.515942333829497
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	8	1	painful|pain	#FC622F	0.617839046834075
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	9	1		#FC622F	0.687125793579094
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	10	1	ratings	#F03623	0.772797475487413
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	11	1	affective|affect	#F03623	0.756190901356001
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	12	1	emotions	#FC622F	0.681693575146501
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	13	1	expression|expressions|facial	#FD913D	0.562709960474427
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	14	1		#FC622F	0.611496103413539
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	15	1		#FC622F	0.620597088443957
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	16	1	emotion|motion|neutral	#FC622F	0.607827380324853
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	17	1	rating	#F03623	0.705406632547707
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	18	1	negative|positive	#FC622F	0.634135753699802
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	19	1		#FD913D	0.545672980439827
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	20	1	ear|order	#FDAD4A	0.469588347177211
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	21	1	motor	#FECB68	0.328688931594982
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	22	1	visual	#FEE188	0.249396001537061
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	23	1	age|image|response	#FDAD4A	0.419547372806762
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	1	2	sound|sounds	#FFF1A9	0.193714593852847
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	2	2		#FEE188	0.220633805418193
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	3	2	audiovisual|bimodal|crossmodal	#FFF1A9	0.168332448458371
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	4	2		#FECB68	0.366861270740979
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	5	2		#FDAD4A	0.416402173537965
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	6	2		#FD913D	0.517088218785147
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	7	2	sensation	#FD913D	0.567426624031248
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	8	2	heat|noxious	#FD913D	0.589817029755016
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	9	2		#F03623	0.70342854057476
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	10	2		#D7141E	0.818188231687973
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	11	2		#F03623	0.796075277715875
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	12	2	valence	#F03623	0.722215523181795
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	13	2	person|social	#FDAD4A	0.445828303798342
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	14	2		#FC622F	0.609515453359124
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	15	2	face|faces	#FDAD4A	0.468319235271664
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	16	2		#FC622F	0.616751863575384
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	17	2		#FC622F	0.638788397874444
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	18	2		#FC622F	0.604792261623829
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	19	2		#FD913D	0.53159419412976
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	20	2		#FDAD4A	0.419109533726424
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	21	2	images|spatial	#FECB68	0.358249574486098
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	22	2	control	#FDAD4A	0.401093346804831
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	23	2	time	#FECB68	0.39767135338082
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	1	3	acoustic|listening|musical|music|pitch	#FFF1A9	0.14943480949972
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	2	3	noise|tones	#FFF1A9	0.166920664734034
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	3	3		#FEE188	0.253604301397619
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	4	3		#FEE188	0.276544260413485
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	5	3	frequency	#FEE188	0.292946831825236
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	6	3		#FDAD4A	0.455622754726531
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	7	3		#FD913D	0.568257798658434
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	8	3	temperature	#FD913D	0.550165627920778
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	9	3		#FC622F	0.665471523540536
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	10	3	pleasant|unpleasant	#F03623	0.711406911034982
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	11	3	anxiety	#F03623	0.753793151741214
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	12	3		#F03623	0.720115938668733
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	13	3		#FC622F	0.658156480545204
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	14	3		#FC622F	0.633528323528941
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	15	3		#FC622F	0.601827325860464
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	16	3	picture	#FD913D	0.502006284187853
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	17	3		#FD913D	0.592551080261251
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	18	3	value	#FD913D	0.58677503434399
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	19	3	cue	#FDAD4A	0.476521778879163
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	20	3	error|target	#FECB68	0.398364075586371
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	21	3	attention	#FEE188	0.286874725368853
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	22	3		#FECB68	0.346895522895713
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	23	3	number	#FECB68	0.367848620355173
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	1	4	voice	#FFF1A9	0.18544368821834
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	2	4		#FFF1A9	0.197510489546158
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	3	4	hearing	#FFF1A9	0.179930692963995
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	4	4		#FEE188	0.241042908721394
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	5	4	overt	#FEE188	0.208441504788077
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	6	4		#FECB68	0.32630703184527
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	7	4		#FD913D	0.542063019691266
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	8	4	nociceptive|nonpainful|painrelated	#FDAD4A	0.465347653117214
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	9	4	unpleasantness	#FD913D	0.566289664398062
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	10	4	skin|subjective	#F03623	0.756083700548734
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	11	4	depression	#F03623	0.707192862576701
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	12	4	experience	#FC622F	0.614524274736772
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	13	4	female	#FC622F	0.63699761008229
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	14	4	male	#FC622F	0.615727572861089
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	15	4	pictures	#FD913D	0.52209891775905
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	16	4		#FD913D	0.520977664054876
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	17	4	perception	#FECB68	0.392510166162861
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	18	4		#FDAD4A	0.426416263845825
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	19	4		#FDAD4A	0.405019869762736
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	20	4		#FECB68	0.372399544812342
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	21	4	correct	#FECB68	0.374939223020728
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	22	4	work	#FECB68	0.318955940603346
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	23	4	memory	#FECB68	0.301397725916179
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	1	5	prosodic|prosody	#FEE188	0.223895991489145
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	2	5	phonetic	#FFF1A9	0.115307892379604
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	3	5	syllable|syllables	#FFF1A9	0.168319753197884
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	4	5		#FEE188	0.237700370236693
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	5	5	lip|production	#FFF1A9	0.187833756973518
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	6	5	somatotopic	#FEE188	0.281072358115159
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	7	5		#FD913D	0.525867292601437
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	8	5		#FD913D	0.549933649209192
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	9	5	empathy	#FD913D	0.57667775619477
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	10	5		#FC622F	0.6228058471108
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	11	5	disorder	#FC622F	0.650497296161533
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	12	5		#FC622F	0.616013205529886
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	13	5		#FD913D	0.579828955456865
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	14	5		#FD913D	0.516941596775597
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	15	5		#FDAD4A	0.492953398990023
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	16	5		#FDAD4A	0.435315136940945
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	17	5		#FECB68	0.366768370392631
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	18	5	mental	#FECB68	0.305625774963821
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	19	5	go	#FECB68	0.373277265701762
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	20	5	object	#FFF1A9	0.186720081093575
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	21	5		#FECB68	0.32686926274806
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	22	5		#FEE188	0.296275096463002
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	23	5	word|words	#FEE188	0.23593802708281
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	1	6		#F03623	0.707225774616049
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	2	6		#FC622F	0.631686020456465
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	3	6		#FD913D	0.524838476373048
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	4	6	vocal	#FEE188	0.23601697240096
794c0e75-a6e8-36d3-8b97-3932ae27e128	Karadi Z	5	6	articulatory	#FFF1A9	0.147119753047705
