UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
795dfbb8-8a51-3e5c-97f1-81d963d34811	Royet JP	1	1	auditory|speech	#FFFFCC	0
795dfbb8-8a51-3e5c-97f1-81d963d34811	Royet JP	2	1		#FFFFCC	0.0403347576628023
795dfbb8-8a51-3e5c-97f1-81d963d34811	Royet JP	3	1	da|integration	#FEE188	0.260993190695502
795dfbb8-8a51-3e5c-97f1-81d963d34811	Royet JP	4	1		#FFF1A9	0.158450477259017
795dfbb8-8a51-3e5c-97f1-81d963d34811	Royet JP	5	1	physical|psychophysical|tactile	#FFF1A9	0.139135122649735
795dfbb8-8a51-3e5c-97f1-81d963d34811	Royet JP	6	1		#FFF1A9	0.188626718613031
795dfbb8-8a51-3e5c-97f1-81d963d34811	Royet JP	7	1	somatosensory|stimulation	#FFF1A9	0.19714018721429
795dfbb8-8a51-3e5c-97f1-81d963d34811	Royet JP	8	1	painful|pain	#FFF1A9	0.194539355239171
795dfbb8-8a51-3e5c-97f1-81d963d34811	Royet JP	9	1		#FECB68	0.321031738555174
795dfbb8-8a51-3e5c-97f1-81d963d34811	Royet JP	10	1	ratings	#FC622F	0.689947787785946
795dfbb8-8a51-3e5c-97f1-81d963d34811	Royet JP	11	1	affective|affect	#F03623	0.797109349608137
795dfbb8-8a51-3e5c-97f1-81d963d34811	Royet JP	12	1	emotions	#D7141E	0.834135799267597
795dfbb8-8a51-3e5c-97f1-81d963d34811	Royet JP	13	1	expression|expressions|facial	#F03623	0.790243379610575
795dfbb8-8a51-3e5c-97f1-81d963d34811	Royet JP	14	1		#F03623	0.775350217146376
795dfbb8-8a51-3e5c-97f1-81d963d34811	Royet JP	15	1		#F03623	0.753120302074093
795dfbb8-8a51-3e5c-97f1-81d963d34811	Royet JP	16	1	emotion|motion|neutral	#F03623	0.701228066781368
795dfbb8-8a51-3e5c-97f1-81d963d34811	Royet JP	17	1	rating	#FD913D	0.567294617362124
795dfbb8-8a51-3e5c-97f1-81d963d34811	Royet JP	18	1	negative|positive	#FDAD4A	0.498522474527388
795dfbb8-8a51-3e5c-97f1-81d963d34811	Royet JP	19	1		#FECB68	0.356589091955165
795dfbb8-8a51-3e5c-97f1-81d963d34811	Royet JP	20	1	ear|order	#FEE188	0.258287442122007
795dfbb8-8a51-3e5c-97f1-81d963d34811	Royet JP	21	1	motor	#FFFFCC	0.0065064128495783
795dfbb8-8a51-3e5c-97f1-81d963d34811	Royet JP	22	1	visual	#FFFFCC	0.07030793078487
795dfbb8-8a51-3e5c-97f1-81d963d34811	Royet JP	23	1	age|image|response	#FFF1A9	0.160446991151676
795dfbb8-8a51-3e5c-97f1-81d963d34811	Royet JP	1	2	sound|sounds	#FFFFCC	0.0456707575966201
795dfbb8-8a51-3e5c-97f1-81d963d34811	Royet JP	2	2		#FFFFCC	0.0349994325245715
795dfbb8-8a51-3e5c-97f1-81d963d34811	Royet JP	3	2	audiovisual|bimodal|crossmodal	#FFF1A9	0.152495011851663
