UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
79b3c895-f369-3c55-9019-48befd49c2a0	Rauch SL	1	1	auditory|speech	#FFF1A9	0.14367439785858
79b3c895-f369-3c55-9019-48befd49c2a0	Rauch SL	2	1		#FFF1A9	0.152145786739743
79b3c895-f369-3c55-9019-48befd49c2a0	Rauch SL	3	1	da|integration	#FECB68	0.304758392552125
79b3c895-f369-3c55-9019-48befd49c2a0	Rauch SL	4	1		#FEE188	0.215750184936821
79b3c895-f369-3c55-9019-48befd49c2a0	Rauch SL	5	1	physical|psychophysical|tactile	#FFF1A9	0.130864848463501
79b3c895-f369-3c55-9019-48befd49c2a0	Rauch SL	6	1		#FEE188	0.219470722372009
79b3c895-f369-3c55-9019-48befd49c2a0	Rauch SL	7	1	somatosensory|stimulation	#FEE188	0.215267760673016
79b3c895-f369-3c55-9019-48befd49c2a0	Rauch SL	8	1	painful|pain	#FEE188	0.23846125335599
79b3c895-f369-3c55-9019-48befd49c2a0	Rauch SL	9	1		#FECB68	0.372395974338783
79b3c895-f369-3c55-9019-48befd49c2a0	Rauch SL	10	1	ratings	#F03623	0.77600498779302
79b3c895-f369-3c55-9019-48befd49c2a0	Rauch SL	11	1	affective|affect	#D7141E	0.857828384588242
79b3c895-f369-3c55-9019-48befd49c2a0	Rauch SL	12	1	emotions	#D7141E	0.891166817740423
79b3c895-f369-3c55-9019-48befd49c2a0	Rauch SL	13	1	expression|expressions|facial	#B10026	0.927536888834758
79b3c895-f369-3c55-9019-48befd49c2a0	Rauch SL	14	1		#B10026	0.947723099383294
79b3c895-f369-3c55-9019-48befd49c2a0	Rauch SL	15	1		#B10026	0.919677803603657
79b3c895-f369-3c55-9019-48befd49c2a0	Rauch SL	16	1	emotion|motion|neutral	#D7141E	0.844198418764176
79b3c895-f369-3c55-9019-48befd49c2a0	Rauch SL	17	1	rating	#F03623	0.735034039669728
79b3c895-f369-3c55-9019-48befd49c2a0	Rauch SL	18	1	negative|positive	#FC622F	0.640359215535529
79b3c895-f369-3c55-9019-48befd49c2a0	Rauch SL	19	1		#FDAD4A	0.495566851684228
79b3c895-f369-3c55-9019-48befd49c2a0	Rauch SL	20	1	ear|order	#FECB68	0.352329214641326
79b3c895-f369-3c55-9019-48befd49c2a0	Rauch SL	21	1	motor	#FFF1A9	0.121757092970221
79b3c895-f369-3c55-9019-48befd49c2a0	Rauch SL	22	1	visual	#FEE188	0.219277520058745
79b3c895-f369-3c55-9019-48befd49c2a0	Rauch SL	23	1	age|image|response	#FECB68	0.313732828800689
79b3c895-f369-3c55-9019-48befd49c2a0	Rauch SL	1	2	sound|sounds	#FFF1A9	0.119372603739989
79b3c895-f369-3c55-9019-48befd49c2a0	Rauch SL	2	2		#FFF1A9	0.143576503784014
79b3c895-f369-3c55-9019-48befd49c2a0	Rauch SL	3	2	audiovisual|bimodal|crossmodal	#FFF1A9	0.182500160641324
79b3c895-f369-3c55-9019-48befd49c2a0	Rauch SL	4	2		#FEE188	0.220930246231713
79b3c895-f369-3c55-9019-48befd49c2a0	Rauch SL	5	2		#FEE188	0.223088398310429
79b3c895-f369-3c55-9019-48befd49c2a0	Rauch SL	6	2		#FEE188	0.228604669060617
79b3c895-f369-3c55-9019-48befd49c2a0	Rauch SL	7	2	sensation	#FEE188	0.201690468766269
79b3c895-f369-3c55-9019-48befd49c2a0	Rauch SL	8	2	heat|noxious	#FFF1A9	0.147162649630893
79b3c895-f369-3c55-9019-48befd49c2a0	Rauch SL	9	2		#FDAD4A	0.400885577504896
79b3c895-f369-3c55-9019-48befd49c2a0	Rauch SL	10	2		#F03623	0.791259554554091
