UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	1	1	auditory|speech	#B10026	0.952746297154542
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	2	1		#B10026	0.933664645559206
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	3	1	da|integration	#F03623	0.707757803127243
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	4	1		#FC622F	0.657528383414055
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	5	1	physical|psychophysical|tactile	#FEE188	0.286823687174706
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	6	1		#FDAD4A	0.419720776846611
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	7	1	somatosensory|stimulation	#FDAD4A	0.431164602783608
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	8	1	painful|pain	#FECB68	0.313016621510443
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	9	1		#FECB68	0.357296680343765
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	10	1	ratings	#FECB68	0.316692257282935
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	11	1	affective|affect	#FEE188	0.267531866320807
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	12	1	emotions	#FECB68	0.319569038475673
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	13	1	expression|expressions|facial	#FEE188	0.272864744562374
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	14	1		#FECB68	0.329947071197583
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	15	1		#FECB68	0.325935704133307
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	16	1	emotion|motion|neutral	#FEE188	0.294365228809291
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	17	1	rating	#FECB68	0.319498830765999
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	18	1	negative|positive	#FECB68	0.338430783786287
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	19	1		#FDAD4A	0.405772627189957
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	20	1	ear|order	#FDAD4A	0.459698340810339
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	21	1	motor	#FECB68	0.3534326917412
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	22	1	visual	#FEE188	0.289964863750973
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	23	1	age|image|response	#FDAD4A	0.412619081811898
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	1	2	sound|sounds	#B10026	0.940649780582862
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	2	2		#B10026	0.946607742106036
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	3	2	audiovisual|bimodal|crossmodal	#FD913D	0.58668222714165
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	4	2		#FC622F	0.682331894614055
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	5	2		#FD913D	0.582891240510076
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	6	2		#FDAD4A	0.47671895713979
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	7	2	sensation	#FECB68	0.380061622582305
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	8	2	heat|noxious	#FEE188	0.230086262060622
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	9	2		#FECB68	0.353786105363903
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	10	2		#FECB68	0.347243182412832
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	11	2		#FECB68	0.345396814579581
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	12	2	valence	#FEE188	0.269773507970181
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	13	2	person|social	#FECB68	0.366689348250092
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	14	2		#FECB68	0.342064368379303
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	15	2	face|faces	#FEE188	0.286569361906121
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	16	2		#FECB68	0.351199727566508
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	17	2		#FECB68	0.370672107880846
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	18	2		#FECB68	0.396211279306646
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	19	2		#FDAD4A	0.415528977747132
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	20	2		#FECB68	0.388230229101488
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	21	2	images|spatial	#FECB68	0.366625247170268
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	22	2	control	#FECB68	0.350727982518649
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	23	2	time	#FDAD4A	0.408112801336621
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	1	3	acoustic|listening|musical|music|pitch	#B10026	0.96462987583962
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	2	3	noise|tones	#B10026	0.973483118687069
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	3	3		#D7141E	0.894062782956523
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	4	3		#D7141E	0.818515179012533
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	5	3	frequency	#F03623	0.753694553905578
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	6	3		#FC622F	0.672601157826102
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	7	3		#FECB68	0.371093377774228
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	8	3	temperature	#FFF1A9	0.18808193046247
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	9	3		#FECB68	0.340391207715435
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	10	3	pleasant|unpleasant	#FEE188	0.255613276308221
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	11	3	anxiety	#FECB68	0.30265011055775
7c367f46-688c-357f-8711-e402c0ef051e	Schulze-Bonhage A	12	3		#FECB68	0.394559257768048
