UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	1	1	auditory|speech	#FEE188	0.267299411277654
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	2	1		#FFF1A9	0.199164442855913
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	3	1	da|integration	#FEE188	0.259560055698196
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	4	1		#FEE188	0.281805084969432
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	5	1	physical|psychophysical|tactile	#FEE188	0.265422244383974
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	6	1		#FDAD4A	0.428874414133628
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	7	1	somatosensory|stimulation	#FECB68	0.341478892113226
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	8	1	painful|pain	#FD913D	0.507452153794853
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	9	1		#FD913D	0.577642226326156
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	10	1	ratings	#FC622F	0.618976844078998
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	11	1	affective|affect	#F03623	0.712643956418374
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	12	1	emotions	#FC622F	0.611331518744918
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	13	1	expression|expressions|facial	#FECB68	0.361617113162558
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	14	1		#FD913D	0.533061601934092
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	15	1		#FD913D	0.559332769650891
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	16	1	emotion|motion|neutral	#FD913D	0.559287110776293
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	17	1	rating	#FC622F	0.637027693285596
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	18	1	negative|positive	#FC622F	0.610042871390095
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	19	1		#FD913D	0.570100078296832
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	20	1	ear|order	#FD913D	0.545626319366651
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	21	1	motor	#FECB68	0.337454245980445
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	22	1	visual	#FECB68	0.369640958839147
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	23	1	age|image|response	#FD913D	0.515581119148245
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	1	2	sound|sounds	#FFF1A9	0.121771027180521
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	2	2		#FFF1A9	0.170582690862263
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	3	2	audiovisual|bimodal|crossmodal	#FFFFCC	0.00158669101619369
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	4	2		#FECB68	0.301564961796592
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	5	2		#FECB68	0.354958999692557
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	6	2		#FDAD4A	0.439657844352951
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	7	2	sensation	#FD913D	0.529834326066267
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	8	2	heat|noxious	#FDAD4A	0.442429913248133
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	9	2		#FC622F	0.606819260174606
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	10	2		#FC622F	0.671649064421677
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	11	2		#FC622F	0.675483336842034
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	12	2	valence	#FD913D	0.565068259847913
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	13	2	person|social	#F03623	0.717830879460672
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	14	2		#FD913D	0.553066842322441
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	15	2	face|faces	#FECB68	0.377523744349659
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	16	2		#FD913D	0.597611381366917
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	17	2		#FC622F	0.632777715284213
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	18	2		#FC622F	0.615931524335978
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	19	2		#FD913D	0.575915611518921
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	20	2		#FDAD4A	0.491483702134625
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	21	2	images|spatial	#FDAD4A	0.443196283111976
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	22	2	control	#FD913D	0.539045579936451
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	23	2	time	#FD913D	0.502852270538895
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	1	3	acoustic|listening|musical|music|pitch	#FFFFCC	0.0668692646191608
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	2	3	noise|tones	#FFFFCC	0.0761842103858621
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	3	3		#FEE188	0.228504737683491
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	4	3		#FECB68	0.329376077801292
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	5	3	frequency	#FDAD4A	0.425301369508247
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	6	3		#FD913D	0.521469187399511
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	7	3		#FC622F	0.611367780073999
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	8	3	temperature	#FD913D	0.583602860001114
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	9	3		#FC622F	0.655231765056878
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	10	3	pleasant|unpleasant	#FDAD4A	0.499268578430423
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	11	3	anxiety	#FC622F	0.646297979068169
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	12	3		#F03623	0.747608650968882
7f19139b-18fb-3f9e-8ce1-fe311576ddae	Lee HS	13	3		#F03623	0.736586152947297
