UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
8150e4e1-8e38-3392-ae32-9ef4b269498e	Chen F	1	1	auditory|speech	#FECB68	0.361428857622649
8150e4e1-8e38-3392-ae32-9ef4b269498e	Chen F	2	1		#FECB68	0.351350010362093
8150e4e1-8e38-3392-ae32-9ef4b269498e	Chen F	3	1	da|integration	#FD913D	0.561228068609721
8150e4e1-8e38-3392-ae32-9ef4b269498e	Chen F	4	1		#FDAD4A	0.476146223347036
8150e4e1-8e38-3392-ae32-9ef4b269498e	Chen F	5	1	physical|psychophysical|tactile	#FECB68	0.357474855889997
8150e4e1-8e38-3392-ae32-9ef4b269498e	Chen F	6	1		#FEE188	0.273210609711416
8150e4e1-8e38-3392-ae32-9ef4b269498e	Chen F	7	1	somatosensory|stimulation	#FFF1A9	0.193794724012376
8150e4e1-8e38-3392-ae32-9ef4b269498e	Chen F	8	1	painful|pain	#FFFFCC	0.0515313785869016
8150e4e1-8e38-3392-ae32-9ef4b269498e	Chen F	9	1		#FFF1A9	0.106537639376372
8150e4e1-8e38-3392-ae32-9ef4b269498e	Chen F	10	1	ratings	#FEE188	0.254343812012123
8150e4e1-8e38-3392-ae32-9ef4b269498e	Chen F	11	1	affective|affect	#FECB68	0.33306962479248
8150e4e1-8e38-3392-ae32-9ef4b269498e	Chen F	12	1	emotions	#FECB68	0.303074875647111
8150e4e1-8e38-3392-ae32-9ef4b269498e	Chen F	13	1	expression|expressions|facial	#FEE188	0.254086034474984
8150e4e1-8e38-3392-ae32-9ef4b269498e	Chen F	14	1		#FECB68	0.357342035829937
8150e4e1-8e38-3392-ae32-9ef4b269498e	Chen F	15	1		#FECB68	0.37222133873703
8150e4e1-8e38-3392-ae32-9ef4b269498e	Chen F	16	1	emotion|motion|neutral	#FECB68	0.350203832733167
8150e4e1-8e38-3392-ae32-9ef4b269498e	Chen F	17	1	rating	#FEE188	0.29695132934859
8150e4e1-8e38-3392-ae32-9ef4b269498e	Chen F	18	1	negative|positive	#FECB68	0.362112613494831
8150e4e1-8e38-3392-ae32-9ef4b269498e	Chen F	19	1		#FD913D	0.502241557725869
8150e4e1-8e38-3392-ae32-9ef4b269498e	Chen F	20	1	ear|order	#FD913D	0.552443016653179
8150e4e1-8e38-3392-ae32-9ef4b269498e	Chen F	21	1	motor	#FDAD4A	0.405046643389769
8150e4e1-8e38-3392-ae32-9ef4b269498e	Chen F	22	1	visual	#FD913D	0.507773222671089
8150e4e1-8e38-3392-ae32-9ef4b269498e	Chen F	23	1	age|image|response	#FDAD4A	0.490351911456428
8150e4e1-8e38-3392-ae32-9ef4b269498e	Chen F	1	2	sound|sounds	#FEE188	0.264323607535639
8150e4e1-8e38-3392-ae32-9ef4b269498e	Chen F	2	2		#FECB68	0.325510271537434
8150e4e1-8e38-3392-ae32-9ef4b269498e	Chen F	3	2	audiovisual|bimodal|crossmodal	#FECB68	0.322342371464762
8150e4e1-8e38-3392-ae32-9ef4b269498e	Chen F	4	2		#FDAD4A	0.483626146160063
8150e4e1-8e38-3392-ae32-9ef4b269498e	Chen F	5	2		#FDAD4A	0.435397284598748
8150e4e1-8e38-3392-ae32-9ef4b269498e	Chen F	6	2		#FECB68	0.308850036633945
8150e4e1-8e38-3392-ae32-9ef4b269498e	Chen F	7	2	sensation	#FFFFCC	0.0322666510923121
8150e4e1-8e38-3392-ae32-9ef4b269498e	Chen F	8	2	heat|noxious	#FFFFCC	0
8150e4e1-8e38-3392-ae32-9ef4b269498e	Chen F	9	2		#FFF1A9	0.12035975703542
