UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
85522838-83bc-300a-a1db-472918386618	Gass A	1	1	auditory|speech	#FDAD4A	0.418713263483512
85522838-83bc-300a-a1db-472918386618	Gass A	2	1		#FECB68	0.363419788165815
85522838-83bc-300a-a1db-472918386618	Gass A	3	1	da|integration	#FDAD4A	0.496587914596697
85522838-83bc-300a-a1db-472918386618	Gass A	4	1		#FD913D	0.585138111534092
85522838-83bc-300a-a1db-472918386618	Gass A	5	1	physical|psychophysical|tactile	#FC622F	0.614170809116048
85522838-83bc-300a-a1db-472918386618	Gass A	6	1		#F03623	0.728107976442448
85522838-83bc-300a-a1db-472918386618	Gass A	7	1	somatosensory|stimulation	#FC622F	0.682671348605592
85522838-83bc-300a-a1db-472918386618	Gass A	8	1	painful|pain	#FC622F	0.659641361101446
85522838-83bc-300a-a1db-472918386618	Gass A	9	1		#FC622F	0.682830176905797
85522838-83bc-300a-a1db-472918386618	Gass A	10	1	ratings	#FC622F	0.602485692265634
85522838-83bc-300a-a1db-472918386618	Gass A	11	1	affective|affect	#FD913D	0.560978732758246
85522838-83bc-300a-a1db-472918386618	Gass A	12	1	emotions	#FDAD4A	0.413728660118602
85522838-83bc-300a-a1db-472918386618	Gass A	13	1	expression|expressions|facial	#FEE188	0.269651658644631
85522838-83bc-300a-a1db-472918386618	Gass A	14	1		#FDAD4A	0.416156101140576
85522838-83bc-300a-a1db-472918386618	Gass A	15	1		#FDAD4A	0.456754064817143
85522838-83bc-300a-a1db-472918386618	Gass A	16	1	emotion|motion|neutral	#FDAD4A	0.459187614578799
85522838-83bc-300a-a1db-472918386618	Gass A	17	1	rating	#FC622F	0.613605363724138
85522838-83bc-300a-a1db-472918386618	Gass A	18	1	negative|positive	#FC622F	0.69304645605772
85522838-83bc-300a-a1db-472918386618	Gass A	19	1		#F03623	0.783817269804512
85522838-83bc-300a-a1db-472918386618	Gass A	20	1	ear|order	#F03623	0.763804217108463
85522838-83bc-300a-a1db-472918386618	Gass A	21	1	motor	#D7141E	0.806759102149319
85522838-83bc-300a-a1db-472918386618	Gass A	22	1	visual	#FD913D	0.578581758213305
85522838-83bc-300a-a1db-472918386618	Gass A	23	1	age|image|response	#F03623	0.706455871447953
85522838-83bc-300a-a1db-472918386618	Gass A	1	2	sound|sounds	#FEE188	0.26188239788659
85522838-83bc-300a-a1db-472918386618	Gass A	2	2		#FECB68	0.336616548701876
85522838-83bc-300a-a1db-472918386618	Gass A	3	2	audiovisual|bimodal|crossmodal	#FEE188	0.213837322309216
85522838-83bc-300a-a1db-472918386618	Gass A	4	2		#FD913D	0.578933662209896
85522838-83bc-300a-a1db-472918386618	Gass A	5	2		#FC622F	0.664473622852259
85522838-83bc-300a-a1db-472918386618	Gass A	6	2		#F03623	0.726279727759385
85522838-83bc-300a-a1db-472918386618	Gass A	7	2	sensation	#FD913D	0.572429618254424
85522838-83bc-300a-a1db-472918386618	Gass A	8	2	heat|noxious	#FC622F	0.665831728022681
85522838-83bc-300a-a1db-472918386618	Gass A	9	2		#FC622F	0.688675211485345
85522838-83bc-300a-a1db-472918386618	Gass A	10	2		#FC622F	0.647599430998185
85522838-83bc-300a-a1db-472918386618	Gass A	11	2		#FD913D	0.599115499666558
85522838-83bc-300a-a1db-472918386618	Gass A	12	2	valence	#FDAD4A	0.488932843237917
85522838-83bc-300a-a1db-472918386618	Gass A	13	2	person|social	#FDAD4A	0.428751634803094
85522838-83bc-300a-a1db-472918386618	Gass A	14	2		#FDAD4A	0.429126273283182
85522838-83bc-300a-a1db-472918386618	Gass A	15	2	face|faces	#FECB68	0.357380719851615
85522838-83bc-300a-a1db-472918386618	Gass A	16	2		#FD913D	0.534175107427684
85522838-83bc-300a-a1db-472918386618	Gass A	17	2		#FC622F	0.629831319776922
85522838-83bc-300a-a1db-472918386618	Gass A	18	2		#F03623	0.737229983040853
85522838-83bc-300a-a1db-472918386618	Gass A	19	2		#F03623	0.796673427621766
85522838-83bc-300a-a1db-472918386618	Gass A	20	2		#F03623	0.795308199031886
85522838-83bc-300a-a1db-472918386618	Gass A	21	2	images|spatial	#F03623	0.719355383314266
85522838-83bc-300a-a1db-472918386618	Gass A	22	2	control	#F03623	0.759696533791622
85522838-83bc-300a-a1db-472918386618	Gass A	23	2	time	#F03623	0.722727257738538
85522838-83bc-300a-a1db-472918386618	Gass A	1	3	acoustic|listening|musical|music|pitch	#FFF1A9	0.183576972617349
85522838-83bc-300a-a1db-472918386618	Gass A	2	3	noise|tones	#FEE188	0.267709326788317
85522838-83bc-300a-a1db-472918386618	Gass A	3	3		#FDAD4A	0.450049205063688
85522838-83bc-300a-a1db-472918386618	Gass A	4	3		#FD913D	0.564447744840871
85522838-83bc-300a-a1db-472918386618	Gass A	5	3	frequency	#FD913D	0.586965857566099
85522838-83bc-300a-a1db-472918386618	Gass A	6	3		#F03623	0.762912921124238
85522838-83bc-300a-a1db-472918386618	Gass A	7	3		#FC622F	0.687976060722875
85522838-83bc-300a-a1db-472918386618	Gass A	8	3	temperature	#FC622F	0.607304121914289
85522838-83bc-300a-a1db-472918386618	Gass A	9	3		#FC622F	0.692633383943615
85522838-83bc-300a-a1db-472918386618	Gass A	10	3	pleasant|unpleasant	#FD913D	0.5599581712707
85522838-83bc-300a-a1db-472918386618	Gass A	11	3	anxiety	#FDAD4A	0.478678291757273
85522838-83bc-300a-a1db-472918386618	Gass A	12	3		#FD913D	0.566749061388731
85522838-83bc-300a-a1db-472918386618	Gass A	13	3		#FD913D	0.571847192224467
85522838-83bc-300a-a1db-472918386618	Gass A	14	3		#FD913D	0.515127956537828
85522838-83bc-300a-a1db-472918386618	Gass A	15	3		#FD913D	0.518389362634624
85522838-83bc-300a-a1db-472918386618	Gass A	16	3	picture	#FDAD4A	0.496804777164871
85522838-83bc-300a-a1db-472918386618	Gass A	17	3		#FC622F	0.649747482008875
85522838-83bc-300a-a1db-472918386618	Gass A	18	3	value	#D7141E	0.811769231560887
85522838-83bc-300a-a1db-472918386618	Gass A	19	3	cue	#F03623	0.764961439650361
85522838-83bc-300a-a1db-472918386618	Gass A	20	3	error|target	#D7141E	0.837502370372367
85522838-83bc-300a-a1db-472918386618	Gass A	21	3	attention	#F03623	0.756350434187583
85522838-83bc-300a-a1db-472918386618	Gass A	22	3		#F03623	0.727142277297687
85522838-83bc-300a-a1db-472918386618	Gass A	23	3	number	#F03623	0.708027833344201
85522838-83bc-300a-a1db-472918386618	Gass A	1	4	voice	#FEE188	0.207620335214051
85522838-83bc-300a-a1db-472918386618	Gass A	2	4		#FECB68	0.30393003088263
85522838-83bc-300a-a1db-472918386618	Gass A	3	4	hearing	#FEE188	0.261846382907361
85522838-83bc-300a-a1db-472918386618	Gass A	4	4		#FD913D	0.541407002688173
85522838-83bc-300a-a1db-472918386618	Gass A	5	4	overt	#FC622F	0.631156495427297
85522838-83bc-300a-a1db-472918386618	Gass A	6	4		#FC622F	0.644944143405511
85522838-83bc-300a-a1db-472918386618	Gass A	7	4		#F03623	0.710771431382046
85522838-83bc-300a-a1db-472918386618	Gass A	8	4	nociceptive|nonpainful|painrelated	#FD913D	0.504577697051256
85522838-83bc-300a-a1db-472918386618	Gass A	9	4	unpleasantness	#FC622F	0.638918093593106
85522838-83bc-300a-a1db-472918386618	Gass A	10	4	skin|subjective	#F03623	0.701865385905056
85522838-83bc-300a-a1db-472918386618	Gass A	11	4	depression	#FC622F	0.601783003116425
85522838-83bc-300a-a1db-472918386618	Gass A	12	4	experience	#FC622F	0.611352349725946
85522838-83bc-300a-a1db-472918386618	Gass A	13	4	female	#FD913D	0.557412407686028
85522838-83bc-300a-a1db-472918386618	Gass A	14	4	male	#FD913D	0.590609572359856
85522838-83bc-300a-a1db-472918386618	Gass A	15	4	pictures	#FDAD4A	0.469370683106342
85522838-83bc-300a-a1db-472918386618	Gass A	16	4		#FD913D	0.575040256130067
85522838-83bc-300a-a1db-472918386618	Gass A	17	4	perception	#FD913D	0.549192526340468
85522838-83bc-300a-a1db-472918386618	Gass A	18	4		#F03623	0.723562028851097
85522838-83bc-300a-a1db-472918386618	Gass A	19	4		#F03623	0.745949664982603
85522838-83bc-300a-a1db-472918386618	Gass A	20	4		#F03623	0.741306093908946
85522838-83bc-300a-a1db-472918386618	Gass A	21	4	correct	#F03623	0.751725239687821
85522838-83bc-300a-a1db-472918386618	Gass A	22	4	work	#F03623	0.785779399662626
85522838-83bc-300a-a1db-472918386618	Gass A	23	4	memory	#FC622F	0.674573255562012
85522838-83bc-300a-a1db-472918386618	Gass A	1	5	prosodic|prosody	#FFF1A9	0.192808078677335
85522838-83bc-300a-a1db-472918386618	Gass A	2	5	phonetic	#FFF1A9	0.164987801912335
85522838-83bc-300a-a1db-472918386618	Gass A	3	5	syllable|syllables	#FD913D	0.504537582520125
85522838-83bc-300a-a1db-472918386618	Gass A	4	5		#FD913D	0.522504786856879
85522838-83bc-300a-a1db-472918386618	Gass A	5	5	lip|production	#FDAD4A	0.409687419456097
85522838-83bc-300a-a1db-472918386618	Gass A	6	5	somatotopic	#FDAD4A	0.452233513824476
85522838-83bc-300a-a1db-472918386618	Gass A	7	5		#D7141E	0.816402445982417
85522838-83bc-300a-a1db-472918386618	Gass A	8	5		#D7141E	0.815150580620649
85522838-83bc-300a-a1db-472918386618	Gass A	9	5	empathy	#F03623	0.796011927892219
85522838-83bc-300a-a1db-472918386618	Gass A	10	5		#F03623	0.767638041113849
85522838-83bc-300a-a1db-472918386618	Gass A	11	5	disorder	#FC622F	0.677023630837986
85522838-83bc-300a-a1db-472918386618	Gass A	12	5		#FC622F	0.671988881638223
85522838-83bc-300a-a1db-472918386618	Gass A	13	5		#FC622F	0.603675075033366
85522838-83bc-300a-a1db-472918386618	Gass A	14	5		#FD913D	0.532868172924008
85522838-83bc-300a-a1db-472918386618	Gass A	15	5		#FD913D	0.521535917770815
85522838-83bc-300a-a1db-472918386618	Gass A	16	5		#FD913D	0.538983534062776
85522838-83bc-300a-a1db-472918386618	Gass A	17	5		#FD913D	0.559600408239291
85522838-83bc-300a-a1db-472918386618	Gass A	18	5	mental	#FC622F	0.656768151560683
85522838-83bc-300a-a1db-472918386618	Gass A	19	5	go	#FC622F	0.688903214814561
85522838-83bc-300a-a1db-472918386618	Gass A	20	5	object	#FDAD4A	0.476047335638977
85522838-83bc-300a-a1db-472918386618	Gass A	21	5		#FC622F	0.673339260046049
85522838-83bc-300a-a1db-472918386618	Gass A	22	5		#FC622F	0.605781287236978
85522838-83bc-300a-a1db-472918386618	Gass A	23	5	word|words	#FDAD4A	0.447409507858067
85522838-83bc-300a-a1db-472918386618	Gass A	1	6		#FD913D	0.526451207768629
85522838-83bc-300a-a1db-472918386618	Gass A	2	6		#FD913D	0.540466818610347
85522838-83bc-300a-a1db-472918386618	Gass A	3	6		#FD913D	0.577282058810974
85522838-83bc-300a-a1db-472918386618	Gass A	4	6	vocal	#FECB68	0.37693474730248
85522838-83bc-300a-a1db-472918386618	Gass A	5	6	articulatory	#FECB68	0.352815794253505
85522838-83bc-300a-a1db-472918386618	Gass A	6	6		#FC622F	0.646947995636231
85522838-83bc-300a-a1db-472918386618	Gass A	7	6	oddball	#FD913D	0.596055492061701
85522838-83bc-300a-a1db-472918386618	Gass A	8	6	perceived	#D7141E	0.832605062617275
85522838-83bc-300a-a1db-472918386618	Gass A	9	6	errorrelated	#F03623	0.779292705814673
85522838-83bc-300a-a1db-472918386618	Gass A	10	6	approach	#FC622F	0.636224369643948
85522838-83bc-300a-a1db-472918386618	Gass A	11	6	schizophrenia	#FC622F	0.635426043233755
85522838-83bc-300a-a1db-472918386618	Gass A	12	6	acquisition	#FC622F	0.612907601141386
85522838-83bc-300a-a1db-472918386618	Gass A	13	6		#FDAD4A	0.493320314830001
85522838-83bc-300a-a1db-472918386618	Gass A	14	6		#FECB68	0.339800833185989
85522838-83bc-300a-a1db-472918386618	Gass A	15	6		#FECB68	0.351736912924511
85522838-83bc-300a-a1db-472918386618	Gass A	16	6		#FECB68	0.387399324897205
85522838-83bc-300a-a1db-472918386618	Gass A	17	6		#FDAD4A	0.473158996752065
85522838-83bc-300a-a1db-472918386618	Gass A	18	6		#FD913D	0.522430158000295
85522838-83bc-300a-a1db-472918386618	Gass A	19	6		#FD913D	0.572144275580148
85522838-83bc-300a-a1db-472918386618	Gass A	20	6	objects	#FDAD4A	0.466936941239846
85522838-83bc-300a-a1db-472918386618	Gass A	21	6		#FC622F	0.607155828513534
85522838-83bc-300a-a1db-472918386618	Gass A	22	6		#FD913D	0.513735143572154
85522838-83bc-300a-a1db-472918386618	Gass A	23	6	language|semantic	#FECB68	0.392462780446529
85522838-83bc-300a-a1db-472918386618	Gass A	1	7	dopamine|dopaminergic	#FD913D	0.533817927877556
85522838-83bc-300a-a1db-472918386618	Gass A	2	7		#FD913D	0.594301692315207
85522838-83bc-300a-a1db-472918386618	Gass A	3	7		#F03623	0.762485699767883
85522838-83bc-300a-a1db-472918386618	Gass A	4	7		#F03623	0.797022646976609
