UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	1	1	auditory|speech	#F03623	0.764203515638567
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	2	1		#F03623	0.712972203321129
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	3	1	da|integration	#D7141E	0.890320996893339
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	4	1		#F03623	0.713727739729314
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	5	1	physical|psychophysical|tactile	#FECB68	0.307988362410418
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	6	1		#FECB68	0.35067333633298
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	7	1	somatosensory|stimulation	#FECB68	0.331961116696798
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	8	1	painful|pain	#FFFFCC	0.0758774071219317
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	9	1		#FFF1A9	0.142732953366111
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	10	1	ratings	#FEE188	0.212644538230483
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	11	1	affective|affect	#FECB68	0.343806254166845
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	12	1	emotions	#FECB68	0.340108184257709
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	13	1	expression|expressions|facial	#FECB68	0.309966674251368
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	14	1		#FDAD4A	0.449815777921844
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	15	1		#FDAD4A	0.476639328655746
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	16	1	emotion|motion|neutral	#FDAD4A	0.441669747850621
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	17	1	rating	#FECB68	0.325214657818945
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	18	1	negative|positive	#FDAD4A	0.482828569986954
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	19	1		#FC622F	0.698164852164108
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	20	1	ear|order	#F03623	0.774901279627841
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	21	1	motor	#FC622F	0.671648758500856
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	22	1	visual	#F03623	0.800109874136415
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	23	1	age|image|response	#F03623	0.738939362348908
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	1	2	sound|sounds	#FD913D	0.530121871936155
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	2	2		#FC622F	0.685264633264384
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	3	2	audiovisual|bimodal|crossmodal	#FD913D	0.505650710130075
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	4	2		#F03623	0.748520771504608
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	5	2		#FD913D	0.598270461684649
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	6	2		#FDAD4A	0.425082347136522
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	7	2	sensation	#FFFFCC	0.0937945874591891
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	8	2	heat|noxious	#FFFFCC	0.0235587045045323
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	9	2		#FFF1A9	0.149361470235983
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	10	2		#FEE188	0.275033257107108
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	11	2		#FECB68	0.313624808755449
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	12	2	valence	#FEE188	0.266819117867737
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	13	2	person|social	#FDAD4A	0.425371668863668
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	14	2		#FDAD4A	0.475001360329393
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	15	2	face|faces	#FD913D	0.52929314416598
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	16	2		#FD913D	0.540769014309581
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	17	2		#FD913D	0.567496127646799
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	18	2		#FC622F	0.660983691863298
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	19	2		#F03623	0.748503373201615
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	20	2		#F03623	0.784123019760326
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	21	2	images|spatial	#F03623	0.746543965813491
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	22	2	control	#F03623	0.771110005753211
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	23	2	time	#F03623	0.765783966976489
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	1	3	acoustic|listening|musical|music|pitch	#FD913D	0.529601998576824
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	2	3	noise|tones	#FD913D	0.574406142920332
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	3	3		#D7141E	0.829394726413301
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	4	3		#B10026	0.925855852990944
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	5	3	frequency	#D7141E	0.816348353010663
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	6	3		#F03623	0.739367077982237
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	7	3		#FEE188	0.21157076836196
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	8	3	temperature	#FFFFCC	0.0472567676419993
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	9	3		#FFF1A9	0.167333696880819
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	10	3	pleasant|unpleasant	#FFFFCC	0.0827758448473762
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	11	3	anxiety	#FEE188	0.246376724904711
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	12	3		#FDAD4A	0.454079086067734
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	13	3		#FD913D	0.569612858903849
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	14	3		#FD913D	0.556411388259604
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	15	3		#FD913D	0.594532098705294
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	16	3	picture	#FC622F	0.616191973732146
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	17	3		#FC622F	0.694690711563031
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	18	3	value	#F03623	0.786115831376104
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	19	3	cue	#F03623	0.762194237909033
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	20	3	error|target	#D7141E	0.831638487409789
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	21	3	attention	#F03623	0.799589782452678
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	22	3		#D7141E	0.83812034260907
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	23	3	number	#D7141E	0.835719791647939
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	1	4	voice	#FD913D	0.592115629374276
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	2	4		#F03623	0.707710346572454
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	3	4	hearing	#F03623	0.767800723655401
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	4	4		#B10026	0.932915385357187
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	5	4	overt	#B10026	0.967019171350569
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	6	4		#D7141E	0.839048413910965
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	7	4		#FECB68	0.345957359767928
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	8	4	nociceptive|nonpainful|painrelated	#FFFFCC	0.0317652411476537
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	9	4	unpleasantness	#FFF1A9	0.101718572515643
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	10	4	skin|subjective	#FECB68	0.348283678957365
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	11	4	depression	#FECB68	0.369527966046687
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	12	4	experience	#FDAD4A	0.489858214782891
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	13	4	female	#FD913D	0.523188907780747
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	14	4	male	#FC622F	0.647450326231271
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	15	4	pictures	#FC622F	0.622468789539208
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	16	4		#F03623	0.766664797173034
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	17	4	perception	#F03623	0.75621539125889
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	18	4		#D7141E	0.88390328784946
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	19	4		#D7141E	0.880164255898111
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	20	4		#D7141E	0.871128232837914
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	21	4	correct	#D7141E	0.842037608923789
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	22	4	work	#D7141E	0.862665531368732
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	23	4	memory	#F03623	0.790438026169604
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	1	5	prosodic|prosody	#FDAD4A	0.425109675118532
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	2	5	phonetic	#F03623	0.714369941698861
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	3	5	syllable|syllables	#D7141E	0.87050834109622
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	4	5		#B10026	0.904448085268271
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	5	5	lip|production	#FC622F	0.697877893083411
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	6	5	somatotopic	#FDAD4A	0.44762093665999
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	7	5		#FD913D	0.512277868243995
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	8	5		#FDAD4A	0.400138673876594
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	9	5	empathy	#FDAD4A	0.47523548418153
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	10	5		#FC622F	0.643086854923614
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	11	5	disorder	#FD913D	0.55898059444611
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	12	5		#F03623	0.700818490899245
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	13	5		#F03623	0.786182710473724
862b5afe-14b9-3d09-a632-d529b770fcae	Eulitz C	14	5		#D7141E	0.837457474215383
