UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
86fe4b64-6c54-3a47-989e-bcbd0c574c38	Hu D	1	1	auditory|speech	#FECB68	0.355152891816452
86fe4b64-6c54-3a47-989e-bcbd0c574c38	Hu D	2	1		#FECB68	0.371756299074366
86fe4b64-6c54-3a47-989e-bcbd0c574c38	Hu D	3	1	da|integration	#FD913D	0.507241201115973
86fe4b64-6c54-3a47-989e-bcbd0c574c38	Hu D	4	1		#FC622F	0.603935684895781
86fe4b64-6c54-3a47-989e-bcbd0c574c38	Hu D	5	1	physical|psychophysical|tactile	#FDAD4A	0.45394107049071
86fe4b64-6c54-3a47-989e-bcbd0c574c38	Hu D	6	1		#FC622F	0.601059514226262
86fe4b64-6c54-3a47-989e-bcbd0c574c38	Hu D	7	1	somatosensory|stimulation	#FD913D	0.518157582816115
86fe4b64-6c54-3a47-989e-bcbd0c574c38	Hu D	8	1	painful|pain	#FD913D	0.529732903089786
86fe4b64-6c54-3a47-989e-bcbd0c574c38	Hu D	9	1		#FC622F	0.640032284896264
86fe4b64-6c54-3a47-989e-bcbd0c574c38	Hu D	10	1	ratings	#F03623	0.72164136771377
86fe4b64-6c54-3a47-989e-bcbd0c574c38	Hu D	11	1	affective|affect	#F03623	0.723763578397585
86fe4b64-6c54-3a47-989e-bcbd0c574c38	Hu D	12	1	emotions	#FC622F	0.677221452303911
86fe4b64-6c54-3a47-989e-bcbd0c574c38	Hu D	13	1	expression|expressions|facial	#FDAD4A	0.463405617106947
86fe4b64-6c54-3a47-989e-bcbd0c574c38	Hu D	14	1		#FC622F	0.685506095921524
86fe4b64-6c54-3a47-989e-bcbd0c574c38	Hu D	15	1		#FC622F	0.679276623064101
86fe4b64-6c54-3a47-989e-bcbd0c574c38	Hu D	16	1	emotion|motion|neutral	#FD913D	0.593870926409712
86fe4b64-6c54-3a47-989e-bcbd0c574c38	Hu D	17	1	rating	#FC622F	0.618634787376122
86fe4b64-6c54-3a47-989e-bcbd0c574c38	Hu D	18	1	negative|positive	#FDAD4A	0.494166945117752
86fe4b64-6c54-3a47-989e-bcbd0c574c38	Hu D	19	1		#FDAD4A	0.450947399279302
86fe4b64-6c54-3a47-989e-bcbd0c574c38	Hu D	20	1	ear|order	#FECB68	0.349969285791384
86fe4b64-6c54-3a47-989e-bcbd0c574c38	Hu D	21	1	motor	#FFFFCC	0.0856113436166091
86fe4b64-6c54-3a47-989e-bcbd0c574c38	Hu D	22	1	visual	#FFFFCC	0.079946345061402
86fe4b64-6c54-3a47-989e-bcbd0c574c38	Hu D	23	1	age|image|response	#FEE188	0.240174086530551
86fe4b64-6c54-3a47-989e-bcbd0c574c38	Hu D	1	2	sound|sounds	#FECB68	0.313913324346764
86fe4b64-6c54-3a47-989e-bcbd0c574c38	Hu D	2	2		#FECB68	0.36509054769046
86fe4b64-6c54-3a47-989e-bcbd0c574c38	Hu D	3	2	audiovisual|bimodal|crossmodal	#FECB68	0.319136663482261
86fe4b64-6c54-3a47-989e-bcbd0c574c38	Hu D	4	2		#FD913D	0.598238843593495
86fe4b64-6c54-3a47-989e-bcbd0c574c38	Hu D	5	2		#FC622F	0.62348205724736
