UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
8880ba24-0a8d-34e7-9e20-45b39a7a6cb5	Mathews VP	1	1	auditory|speech	#FEE188	0.231036599888173
8880ba24-0a8d-34e7-9e20-45b39a7a6cb5	Mathews VP	2	1		#FEE188	0.207810489369951
8880ba24-0a8d-34e7-9e20-45b39a7a6cb5	Mathews VP	3	1	da|integration	#FDAD4A	0.429941846663621
8880ba24-0a8d-34e7-9e20-45b39a7a6cb5	Mathews VP	4	1		#FECB68	0.362719087599677
8880ba24-0a8d-34e7-9e20-45b39a7a6cb5	Mathews VP	5	1	physical|psychophysical|tactile	#FEE188	0.268694940877404
8880ba24-0a8d-34e7-9e20-45b39a7a6cb5	Mathews VP	6	1		#FDAD4A	0.431144990913192
8880ba24-0a8d-34e7-9e20-45b39a7a6cb5	Mathews VP	7	1	somatosensory|stimulation	#FDAD4A	0.439769217145307
8880ba24-0a8d-34e7-9e20-45b39a7a6cb5	Mathews VP	8	1	painful|pain	#FDAD4A	0.448823443675927
8880ba24-0a8d-34e7-9e20-45b39a7a6cb5	Mathews VP	9	1		#FD913D	0.580524768970066
8880ba24-0a8d-34e7-9e20-45b39a7a6cb5	Mathews VP	10	1	ratings	#F03623	0.782803978540313
8880ba24-0a8d-34e7-9e20-45b39a7a6cb5	Mathews VP	11	1	affective|affect	#D7141E	0.85909348689591
8880ba24-0a8d-34e7-9e20-45b39a7a6cb5	Mathews VP	12	1	emotions	#D7141E	0.857413944855534
8880ba24-0a8d-34e7-9e20-45b39a7a6cb5	Mathews VP	13	1	expression|expressions|facial	#D7141E	0.840452113713067
8880ba24-0a8d-34e7-9e20-45b39a7a6cb5	Mathews VP	14	1		#B10026	0.902079117379161
8880ba24-0a8d-34e7-9e20-45b39a7a6cb5	Mathews VP	15	1		#D7141E	0.88600388039053
8880ba24-0a8d-34e7-9e20-45b39a7a6cb5	Mathews VP	16	1	emotion|motion|neutral	#D7141E	0.861463629186528
8880ba24-0a8d-34e7-9e20-45b39a7a6cb5	Mathews VP	17	1	rating	#F03623	0.771017161857245
8880ba24-0a8d-34e7-9e20-45b39a7a6cb5	Mathews VP	18	1	negative|positive	#F03623	0.732816517946716
8880ba24-0a8d-34e7-9e20-45b39a7a6cb5	Mathews VP	19	1		#FC622F	0.664644773458195
8880ba24-0a8d-34e7-9e20-45b39a7a6cb5	Mathews VP	20	1	ear|order	#FD913D	0.541234623165255
8880ba24-0a8d-34e7-9e20-45b39a7a6cb5	Mathews VP	21	1	motor	#FECB68	0.366868407324604
8880ba24-0a8d-34e7-9e20-45b39a7a6cb5	Mathews VP	22	1	visual	#FECB68	0.352993846729437
8880ba24-0a8d-34e7-9e20-45b39a7a6cb5	Mathews VP	23	1	age|image|response	#FD913D	0.515015480148613
8880ba24-0a8d-34e7-9e20-45b39a7a6cb5	Mathews VP	1	2	sound|sounds	#FFF1A9	0.123137138850219
8880ba24-0a8d-34e7-9e20-45b39a7a6cb5	Mathews VP	2	2		#FFF1A9	0.174596119842233
8880ba24-0a8d-34e7-9e20-45b39a7a6cb5	Mathews VP	3	2	audiovisual|bimodal|crossmodal	#FFF1A9	0.181105465571968
8880ba24-0a8d-34e7-9e20-45b39a7a6cb5	Mathews VP	4	2		#FECB68	0.363389882037978
8880ba24-0a8d-34e7-9e20-45b39a7a6cb5	Mathews VP	5	2		#FECB68	0.383667105214981
8880ba24-0a8d-34e7-9e20-45b39a7a6cb5	Mathews VP	6	2		#FDAD4A	0.432447574622142
8880ba24-0a8d-34e7-9e20-45b39a7a6cb5	Mathews VP	7	2	sensation	#FDAD4A	0.445376661764229
8880ba24-0a8d-34e7-9e20-45b39a7a6cb5	Mathews VP	8	2	heat|noxious	#FECB68	0.376618349126391
8880ba24-0a8d-34e7-9e20-45b39a7a6cb5	Mathews VP	9	2		#FD913D	0.594482127527706
8880ba24-0a8d-34e7-9e20-45b39a7a6cb5	Mathews VP	10	2		#D7141E	0.886396202174791
