UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
88a90592-8615-3a6b-b78d-28831fefed1a	Artsy E	1	1	auditory|speech	#FECB68	0.366527645643735
88a90592-8615-3a6b-b78d-28831fefed1a	Artsy E	2	1		#FECB68	0.3301438022184
88a90592-8615-3a6b-b78d-28831fefed1a	Artsy E	3	1	da|integration	#FD913D	0.544189589951566
88a90592-8615-3a6b-b78d-28831fefed1a	Artsy E	4	1		#FDAD4A	0.477078647095353
88a90592-8615-3a6b-b78d-28831fefed1a	Artsy E	5	1	physical|psychophysical|tactile	#FECB68	0.356510940199486
88a90592-8615-3a6b-b78d-28831fefed1a	Artsy E	6	1		#FDAD4A	0.46904998499519
88a90592-8615-3a6b-b78d-28831fefed1a	Artsy E	7	1	somatosensory|stimulation	#FDAD4A	0.466870680817647
88a90592-8615-3a6b-b78d-28831fefed1a	Artsy E	8	1	painful|pain	#FDAD4A	0.463227538167555
88a90592-8615-3a6b-b78d-28831fefed1a	Artsy E	9	1		#FDAD4A	0.485567194151472
88a90592-8615-3a6b-b78d-28831fefed1a	Artsy E	10	1	ratings	#FD913D	0.533617897489025
88a90592-8615-3a6b-b78d-28831fefed1a	Artsy E	11	1	affective|affect	#FC622F	0.674436685343746
88a90592-8615-3a6b-b78d-28831fefed1a	Artsy E	12	1	emotions	#FDAD4A	0.45806267878425
88a90592-8615-3a6b-b78d-28831fefed1a	Artsy E	13	1	expression|expressions|facial	#FECB68	0.357457879084571
88a90592-8615-3a6b-b78d-28831fefed1a	Artsy E	14	1		#FDAD4A	0.496483618131453
88a90592-8615-3a6b-b78d-28831fefed1a	Artsy E	15	1		#FD913D	0.562302866328616
88a90592-8615-3a6b-b78d-28831fefed1a	Artsy E	16	1	emotion|motion|neutral	#FD913D	0.599448858455041
88a90592-8615-3a6b-b78d-28831fefed1a	Artsy E	17	1	rating	#FC622F	0.643061845510387
88a90592-8615-3a6b-b78d-28831fefed1a	Artsy E	18	1	negative|positive	#FC622F	0.673381609550668
88a90592-8615-3a6b-b78d-28831fefed1a	Artsy E	19	1		#F03623	0.738086909724618
88a90592-8615-3a6b-b78d-28831fefed1a	Artsy E	20	1	ear|order	#F03623	0.75494105999118
88a90592-8615-3a6b-b78d-28831fefed1a	Artsy E	21	1	motor	#FC622F	0.635067768865533
88a90592-8615-3a6b-b78d-28831fefed1a	Artsy E	22	1	visual	#FD913D	0.58296472713018
88a90592-8615-3a6b-b78d-28831fefed1a	Artsy E	23	1	age|image|response	#FC622F	0.672137957164184
88a90592-8615-3a6b-b78d-28831fefed1a	Artsy E	1	2	sound|sounds	#FEE188	0.201870880152733
88a90592-8615-3a6b-b78d-28831fefed1a	Artsy E	2	2		#FEE188	0.294306321338498
88a90592-8615-3a6b-b78d-28831fefed1a	Artsy E	3	2	audiovisual|bimodal|crossmodal	#FFF1A9	0.10365199226016
88a90592-8615-3a6b-b78d-28831fefed1a	Artsy E	4	2		#FDAD4A	0.48119422712329
88a90592-8615-3a6b-b78d-28831fefed1a	Artsy E	5	2		#FDAD4A	0.458910745656239
88a90592-8615-3a6b-b78d-28831fefed1a	Artsy E	6	2		#FDAD4A	0.486192834633349
88a90592-8615-3a6b-b78d-28831fefed1a	Artsy E	7	2	sensation	#FECB68	0.324527427395695
88a90592-8615-3a6b-b78d-28831fefed1a	Artsy E	8	2	heat|noxious	#FECB68	0.375009648583281
