UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
890cbf3c-23cb-3ee8-be48-53b4004487ac	Dardzinski BJ	1	1	auditory|speech	#FDAD4A	0.492995748029736
890cbf3c-23cb-3ee8-be48-53b4004487ac	Dardzinski BJ	2	1		#FD913D	0.597998420597391
890cbf3c-23cb-3ee8-be48-53b4004487ac	Dardzinski BJ	3	1	da|integration	#F03623	0.71539490363322
890cbf3c-23cb-3ee8-be48-53b4004487ac	Dardzinski BJ	4	1		#F03623	0.722886401995981
890cbf3c-23cb-3ee8-be48-53b4004487ac	Dardzinski BJ	5	1	physical|psychophysical|tactile	#F03623	0.741730242899328
890cbf3c-23cb-3ee8-be48-53b4004487ac	Dardzinski BJ	6	1		#F03623	0.716011588926327
890cbf3c-23cb-3ee8-be48-53b4004487ac	Dardzinski BJ	7	1	somatosensory|stimulation	#FD913D	0.56779408730892
890cbf3c-23cb-3ee8-be48-53b4004487ac	Dardzinski BJ	8	1	painful|pain	#F03623	0.771426859561573
890cbf3c-23cb-3ee8-be48-53b4004487ac	Dardzinski BJ	9	1		#F03623	0.723442184118514
890cbf3c-23cb-3ee8-be48-53b4004487ac	Dardzinski BJ	10	1	ratings	#FD913D	0.507653544140749
890cbf3c-23cb-3ee8-be48-53b4004487ac	Dardzinski BJ	11	1	affective|affect	#F03623	0.701734285564289
890cbf3c-23cb-3ee8-be48-53b4004487ac	Dardzinski BJ	12	1	emotions	#FC622F	0.674617387823576
890cbf3c-23cb-3ee8-be48-53b4004487ac	Dardzinski BJ	13	1	expression|expressions|facial	#FC622F	0.640553542559323
890cbf3c-23cb-3ee8-be48-53b4004487ac	Dardzinski BJ	14	1		#FD913D	0.565222066279626
890cbf3c-23cb-3ee8-be48-53b4004487ac	Dardzinski BJ	15	1		#FDAD4A	0.491425865110569
890cbf3c-23cb-3ee8-be48-53b4004487ac	Dardzinski BJ	16	1	emotion|motion|neutral	#FDAD4A	0.40068271629036
890cbf3c-23cb-3ee8-be48-53b4004487ac	Dardzinski BJ	17	1	rating	#FEE188	0.266408802783943
890cbf3c-23cb-3ee8-be48-53b4004487ac	Dardzinski BJ	18	1	negative|positive	#FECB68	0.322577761534655
