UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
8d5c5fae-c09d-3148-90d9-655d4e39f695	Park JW	1	1	auditory|speech	#FEE188	0.21986916360641
8d5c5fae-c09d-3148-90d9-655d4e39f695	Park JW	2	1		#FFF1A9	0.179905121492855
8d5c5fae-c09d-3148-90d9-655d4e39f695	Park JW	3	1	da|integration	#FECB68	0.337038538446525
8d5c5fae-c09d-3148-90d9-655d4e39f695	Park JW	4	1		#FDAD4A	0.463933534323572
8d5c5fae-c09d-3148-90d9-655d4e39f695	Park JW	5	1	physical|psychophysical|tactile	#FD913D	0.550275906852327
8d5c5fae-c09d-3148-90d9-655d4e39f695	Park JW	6	1		#F03623	0.714430200155886
8d5c5fae-c09d-3148-90d9-655d4e39f695	Park JW	7	1	somatosensory|stimulation	#F03623	0.761900018894331
8d5c5fae-c09d-3148-90d9-655d4e39f695	Park JW	8	1	painful|pain	#FC622F	0.642610101606128
8d5c5fae-c09d-3148-90d9-655d4e39f695	Park JW	9	1		#FC622F	0.68036782894514
8d5c5fae-c09d-3148-90d9-655d4e39f695	Park JW	10	1	ratings	#FC622F	0.612457268920496
8d5c5fae-c09d-3148-90d9-655d4e39f695	Park JW	11	1	affective|affect	#FD913D	0.513472598537917
8d5c5fae-c09d-3148-90d9-655d4e39f695	Park JW	12	1	emotions	#FECB68	0.338561727226196
8d5c5fae-c09d-3148-90d9-655d4e39f695	Park JW	13	1	expression|expressions|facial	#FECB68	0.346372895822625
8d5c5fae-c09d-3148-90d9-655d4e39f695	Park JW	14	1		#FDAD4A	0.487850594950784
8d5c5fae-c09d-3148-90d9-655d4e39f695	Park JW	15	1		#FD913D	0.507754491394423
8d5c5fae-c09d-3148-90d9-655d4e39f695	Park JW	16	1	emotion|motion|neutral	#FDAD4A	0.468187619628272
8d5c5fae-c09d-3148-90d9-655d4e39f695	Park JW	17	1	rating	#FD913D	0.588494561860876
8d5c5fae-c09d-3148-90d9-655d4e39f695	Park JW	18	1	negative|positive	#FC622F	0.661129663972749
8d5c5fae-c09d-3148-90d9-655d4e39f695	Park JW	19	1		#F03623	0.703762274666173
8d5c5fae-c09d-3148-90d9-655d4e39f695	Park JW	20	1	ear|order	#FC622F	0.633625553756444
8d5c5fae-c09d-3148-90d9-655d4e39f695	Park JW	21	1	motor	#F03623	0.728761334655606
8d5c5fae-c09d-3148-90d9-655d4e39f695	Park JW	22	1	visual	#FDAD4A	0.426621306794408
8d5c5fae-c09d-3148-90d9-655d4e39f695	Park JW	23	1	age|image|response	#FD913D	0.579769805996645
8d5c5fae-c09d-3148-90d9-655d4e39f695	Park JW	1	2	sound|sounds	#FFFFCC	0.0740982485919632
8d5c5fae-c09d-3148-90d9-655d4e39f695	Park JW	2	2		#FFF1A9	0.150455049196099
8d5c5fae-c09d-3148-90d9-655d4e39f695	Park JW	3	2	audiovisual|bimodal|crossmodal	#FFFFCC	0.0144118561806087
8d5c5fae-c09d-3148-90d9-655d4e39f695	Park JW	4	2		#FDAD4A	0.484826068566391
8d5c5fae-c09d-3148-90d9-655d4e39f695	Park JW	5	2		#FC622F	0.619226674512796
8d5c5fae-c09d-3148-90d9-655d4e39f695	Park JW	6	2		#F03623	0.735882491014782
8d5c5fae-c09d-3148-90d9-655d4e39f695	Park JW	7	2	sensation	#FD913D	0.557101022258622
8d5c5fae-c09d-3148-90d9-655d4e39f695	Park JW	8	2	heat|noxious	#FC622F	0.690472124390929
8d5c5fae-c09d-3148-90d9-655d4e39f695	Park JW	9	2		#FC622F	0.668325858900087
8d5c5fae-c09d-3148-90d9-655d4e39f695	Park JW	10	2		#FD913D	0.593078688365525
8d5c5fae-c09d-3148-90d9-655d4e39f695	Park JW	11	2		#FD913D	0.558235482599838
8d5c5fae-c09d-3148-90d9-655d4e39f695	Park JW	12	2	valence	#FDAD4A	0.466143363850103
8d5c5fae-c09d-3148-90d9-655d4e39f695	Park JW	13	2	person|social	#FDAD4A	0.468008836224173
8d5c5fae-c09d-3148-90d9-655d4e39f695	Park JW	14	2		#FD913D	0.504455415245018
8d5c5fae-c09d-3148-90d9-655d4e39f695	Park JW	15	2	face|faces	#FDAD4A	0.420682289523483
8d5c5fae-c09d-3148-90d9-655d4e39f695	Park JW	16	2		#FD913D	0.560261451180397
8d5c5fae-c09d-3148-90d9-655d4e39f695	Park JW	17	2		#FC622F	0.62195035007029
8d5c5fae-c09d-3148-90d9-655d4e39f695	Park JW	18	2		#FC622F	0.680315109607869
8d5c5fae-c09d-3148-90d9-655d4e39f695	Park JW	19	2		#F03623	0.710710494189112
