UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
8d871413-4434-3bc5-8efb-24c014671c2e	Karni A	1	1	auditory|speech	#FDAD4A	0.48231328522116
8d871413-4434-3bc5-8efb-24c014671c2e	Karni A	2	1		#FDAD4A	0.434830617730014
8d871413-4434-3bc5-8efb-24c014671c2e	Karni A	3	1	da|integration	#FD913D	0.531042973517169
8d871413-4434-3bc5-8efb-24c014671c2e	Karni A	4	1		#FC622F	0.636433627762835
8d871413-4434-3bc5-8efb-24c014671c2e	Karni A	5	1	physical|psychophysical|tactile	#FD913D	0.590361267712563
8d871413-4434-3bc5-8efb-24c014671c2e	Karni A	6	1		#FC622F	0.683323935401498
8d871413-4434-3bc5-8efb-24c014671c2e	Karni A	7	1	somatosensory|stimulation	#F03623	0.712812650477197
8d871413-4434-3bc5-8efb-24c014671c2e	Karni A	8	1	painful|pain	#FDAD4A	0.493132814218364
8d871413-4434-3bc5-8efb-24c014671c2e	Karni A	9	1		#FD913D	0.516126421947596
8d871413-4434-3bc5-8efb-24c014671c2e	Karni A	10	1	ratings	#FECB68	0.387884866722965
8d871413-4434-3bc5-8efb-24c014671c2e	Karni A	11	1	affective|affect	#FECB68	0.357109649953387
8d871413-4434-3bc5-8efb-24c014671c2e	Karni A	12	1	emotions	#FECB68	0.397554013195208
8d871413-4434-3bc5-8efb-24c014671c2e	Karni A	13	1	expression|expressions|facial	#FECB68	0.381175232734499
8d871413-4434-3bc5-8efb-24c014671c2e	Karni A	14	1		#FDAD4A	0.429528288020709
8d871413-4434-3bc5-8efb-24c014671c2e	Karni A	15	1		#FDAD4A	0.41193524396195
8d871413-4434-3bc5-8efb-24c014671c2e	Karni A	16	1	emotion|motion|neutral	#FECB68	0.334819151572313
8d871413-4434-3bc5-8efb-24c014671c2e	Karni A	17	1	rating	#FECB68	0.35747645416164
8d871413-4434-3bc5-8efb-24c014671c2e	Karni A	18	1	negative|positive	#FECB68	0.377629145461833
8d871413-4434-3bc5-8efb-24c014671c2e	Karni A	19	1		#FD913D	0.564654699917675
8d871413-4434-3bc5-8efb-24c014671c2e	Karni A	20	1	ear|order	#FD913D	0.598474803289086
8d871413-4434-3bc5-8efb-24c014671c2e	Karni A	21	1	motor	#F03623	0.705170681714006
8d871413-4434-3bc5-8efb-24c014671c2e	Karni A	22	1	visual	#FC622F	0.678756901006782
8d871413-4434-3bc5-8efb-24c014671c2e	Karni A	23	1	age|image|response	#FD913D	0.577709941611224
8d871413-4434-3bc5-8efb-24c014671c2e	Karni A	1	2	sound|sounds	#FECB68	0.320865334446695
8d871413-4434-3bc5-8efb-24c014671c2e	Karni A	2	2		#FDAD4A	0.40508572003712
8d871413-4434-3bc5-8efb-24c014671c2e	Karni A	3	2	audiovisual|bimodal|crossmodal	#FEE188	0.296868836124124
8d871413-4434-3bc5-8efb-24c014671c2e	Karni A	4	2		#FC622F	0.650990043063749
8d871413-4434-3bc5-8efb-24c014671c2e	Karni A	5	2		#F03623	0.713966127107438
8d871413-4434-3bc5-8efb-24c014671c2e	Karni A	6	2		#F03623	0.714097155914131
8d871413-4434-3bc5-8efb-24c014671c2e	Karni A	7	2	sensation	#FDAD4A	0.460101162409944
8d871413-4434-3bc5-8efb-24c014671c2e	Karni A	8	2	heat|noxious	#FD913D	0.518068291472841
8d871413-4434-3bc5-8efb-24c014671c2e	Karni A	9	2		#FDAD4A	0.493671573757537
8d871413-4434-3bc5-8efb-24c014671c2e	Karni A	10	2		#FDAD4A	0.404540414295218
8d871413-4434-3bc5-8efb-24c014671c2e	Karni A	11	2		#FECB68	0.381175191207675
8d871413-4434-3bc5-8efb-24c014671c2e	Karni A	12	2	valence	#FEE188	0.259854041982416
8d871413-4434-3bc5-8efb-24c014671c2e	Karni A	13	2	person|social	#FECB68	0.333342928034095
8d871413-4434-3bc5-8efb-24c014671c2e	Karni A	14	2		#FDAD4A	0.446966861740014
8d871413-4434-3bc5-8efb-24c014671c2e	Karni A	15	2	face|faces	#FDAD4A	0.478363332772405
8d871413-4434-3bc5-8efb-24c014671c2e	Karni A	16	2		#FDAD4A	0.456104050335197
8d871413-4434-3bc5-8efb-24c014671c2e	Karni A	17	2		#FDAD4A	0.464319702964019
8d871413-4434-3bc5-8efb-24c014671c2e	Karni A	18	2		#FD913D	0.53956527683333
8d871413-4434-3bc5-8efb-24c014671c2e	Karni A	19	2		#FC622F	0.609520877495341
8d871413-4434-3bc5-8efb-24c014671c2e	Karni A	20	2		#FC622F	0.666548158272413
