UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	1	1	auditory|speech	#FECB68	0.372479564703387
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	2	1		#FECB68	0.353093257570866
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	3	1	da|integration	#FD913D	0.563521230140552
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	4	1		#FDAD4A	0.460237566368337
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	5	1	physical|psychophysical|tactile	#FEE188	0.275967604475873
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	6	1		#FEE188	0.246662883937053
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	7	1	somatosensory|stimulation	#FEE188	0.203172924000412
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	8	1	painful|pain	#FFFFCC	0.0513686961890802
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	9	1		#FFFFCC	0.0884843709165498
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	10	1	ratings	#FFF1A9	0.172358310048915
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	11	1	affective|affect	#FEE188	0.229579428848082
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	12	1	emotions	#FEE188	0.250527955386172
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	13	1	expression|expressions|facial	#FECB68	0.330717124936712
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	14	1		#FDAD4A	0.430943611529577
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	15	1		#FDAD4A	0.44823005573202
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	16	1	emotion|motion|neutral	#FECB68	0.382453262196568
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	17	1	rating	#FEE188	0.26898850793032
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	18	1	negative|positive	#FECB68	0.347957875286934
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	19	1		#FD913D	0.512579394639179
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	20	1	ear|order	#FD913D	0.565880306830107
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	21	1	motor	#FDAD4A	0.499880904398083
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	22	1	visual	#FC622F	0.693744175022679
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	23	1	age|image|response	#FD913D	0.574744020546278
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	1	2	sound|sounds	#FEE188	0.229057941111199
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	2	2		#FECB68	0.315993722030956
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	3	2	audiovisual|bimodal|crossmodal	#FDAD4A	0.439489796679857
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	4	2		#FDAD4A	0.483363433738188
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	5	2		#FDAD4A	0.42160375798156
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	6	2		#FEE188	0.292301873843217
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	7	2	sensation	#FFFFCC	0.047380870706529
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	8	2	heat|noxious	#FFFFCC	0.0432717894223164
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	9	2		#FFFFCC	0.0940522722418154
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	10	2		#FFF1A9	0.179929101315506
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	11	2		#FEE188	0.212189961903326
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	12	2	valence	#FEE188	0.230807420689976
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	13	2	person|social	#FEE188	0.283644330646078
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	14	2		#FDAD4A	0.4473458423597
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	15	2	face|faces	#FD913D	0.590550014655468
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	16	2		#FDAD4A	0.475927150769233
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	17	2		#FDAD4A	0.445866023792427
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	18	2		#FDAD4A	0.493290473776386
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	19	2		#FD913D	0.547898928447815
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	20	2		#FD913D	0.594658596591748
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	21	2	images|spatial	#FC622F	0.607848714838323
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	22	2	control	#FD913D	0.579599191682077
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	23	2	time	#FD913D	0.581347819779047
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	1	3	acoustic|listening|musical|music|pitch	#FFF1A9	0.130831289769167
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	2	3	noise|tones	#FEE188	0.235368524118825
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	3	3		#FDAD4A	0.426887627966538
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	4	3		#FD913D	0.525087147019163
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	5	3	frequency	#FD913D	0.520492778324877
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	6	3		#FDAD4A	0.414854917398842
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	7	3		#FFF1A9	0.125480817280042
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	8	3	temperature	#FFFFCC	0.0592807840875793
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	9	3		#FFF1A9	0.109771294410615
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	10	3	pleasant|unpleasant	#FFF1A9	0.106328975325475
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	11	3	anxiety	#FFF1A9	0.122543281668008
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	12	3		#FECB68	0.307880193447816
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	13	3		#FDAD4A	0.434162119160243
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	14	3		#FDAD4A	0.4748827681147
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	15	3		#FD913D	0.522998420147647
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	16	3	picture	#FD913D	0.583492300283916
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	17	3		#FD913D	0.548591843673197
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	18	3	value	#FD913D	0.504741664251981
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	19	3	cue	#FD913D	0.567230930643298
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	20	3	error|target	#FC622F	0.610419248818118
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	21	3	attention	#FC622F	0.63103700346362
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	22	3		#FC622F	0.647687908969528
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	23	3	number	#FC622F	0.627270660159289
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	1	4	voice	#FFF1A9	0.159340833779563
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	2	4		#FEE188	0.269854990883746
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	3	4	hearing	#FDAD4A	0.453773690072784
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	4	4		#FDAD4A	0.464825159845282
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	5	4	overt	#FD913D	0.510659484283838
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	6	4		#FDAD4A	0.434359465852623
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	7	4		#FFF1A9	0.187831336853819
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	8	4	nociceptive|nonpainful|painrelated	#FFFFCC	0.0531501065778215
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	9	4	unpleasantness	#FFFFCC	0.0959579343268961
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	10	4	skin|subjective	#FFF1A9	0.194232086821713
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	11	4	depression	#FEE188	0.246977443252258
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	12	4	experience	#FECB68	0.326915367198021
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	13	4	female	#FDAD4A	0.408927766261283
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	14	4	male	#FDAD4A	0.488928176986925
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	15	4	pictures	#FD913D	0.575459076558529
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	16	4		#FC622F	0.632551240851316
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	17	4	perception	#FD913D	0.589379582725473
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	18	4		#FC622F	0.68502663009665
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	19	4		#FC622F	0.684583227557498
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	20	4		#FC622F	0.686957523273885
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	21	4	correct	#FC622F	0.621423424747345
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	22	4	work	#FC622F	0.635943614520985
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	23	4	memory	#FC622F	0.615666723055703
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	1	5	prosodic|prosody	#FEE188	0.200266304351436
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	2	5	phonetic	#FECB68	0.305674832131619
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	3	5	syllable|syllables	#FECB68	0.382344385477816
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	4	5		#FDAD4A	0.422660832777431
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	5	5	lip|production	#FECB68	0.326046757197553
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	6	5	somatotopic	#FEE188	0.236289582552047
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	7	5		#FEE188	0.267159801245196
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	8	5		#FEE188	0.210577906073827
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	9	5	empathy	#FEE188	0.23906963329948
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	10	5		#FECB68	0.345865766870692
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	11	5	disorder	#FECB68	0.308137716405399
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	12	5		#FDAD4A	0.43877437483631
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	13	5		#FD913D	0.520452126422399
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	14	5		#FD913D	0.597565334025477
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	15	5		#FC622F	0.626624060722608
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	16	5		#FC622F	0.688998625177
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	17	5		#F03623	0.730109764300315
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	18	5	mental	#FC622F	0.682924284236216
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	19	5	go	#F03623	0.727282405091364
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	20	5	object	#F03623	0.782451740855213
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	21	5		#F03623	0.739148235834593
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	22	5		#F03623	0.718365940267347
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	23	5	word|words	#F03623	0.719686746742918
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	1	6		#FEE188	0.283225372771444
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	2	6		#FECB68	0.323293274907186
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	3	6		#FECB68	0.398794782687865
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	4	6	vocal	#FEE188	0.249440380901631
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	5	6	articulatory	#FEE188	0.250805334345584
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	6	6		#FECB68	0.394439870540144
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	7	6	oddball	#FEE188	0.28337842159598
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	8	6	perceived	#FEE188	0.266117162206092
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	9	6	errorrelated	#FEE188	0.227598709009854
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	10	6	approach	#FECB68	0.358454848949174
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	11	6	schizophrenia	#FECB68	0.389218299208064
8d8a6e2f-572f-3d63-b742-c644db234daf	Shibasaki H	12	6	acquisition	#FDAD4A	0.452535787353578
