UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
8e35fe83-e2cb-3d39-bed4-e809cf569833	Heldmann M	1	1	auditory|speech	#FECB68	0.340872821875755
8e35fe83-e2cb-3d39-bed4-e809cf569833	Heldmann M	2	1		#FECB68	0.332903226252895
8e35fe83-e2cb-3d39-bed4-e809cf569833	Heldmann M	3	1	da|integration	#FD913D	0.504281855507675
8e35fe83-e2cb-3d39-bed4-e809cf569833	Heldmann M	4	1		#FDAD4A	0.498322551215064
8e35fe83-e2cb-3d39-bed4-e809cf569833	Heldmann M	5	1	physical|psychophysical|tactile	#FECB68	0.331770219065424
8e35fe83-e2cb-3d39-bed4-e809cf569833	Heldmann M	6	1		#FECB68	0.321107408017733
8e35fe83-e2cb-3d39-bed4-e809cf569833	Heldmann M	7	1	somatosensory|stimulation	#FEE188	0.229960148477034
8e35fe83-e2cb-3d39-bed4-e809cf569833	Heldmann M	8	1	painful|pain	#FFF1A9	0.131331177999386
8e35fe83-e2cb-3d39-bed4-e809cf569833	Heldmann M	9	1		#FEE188	0.217016875845978
8e35fe83-e2cb-3d39-bed4-e809cf569833	Heldmann M	10	1	ratings	#FDAD4A	0.447275882960594
8e35fe83-e2cb-3d39-bed4-e809cf569833	Heldmann M	11	1	affective|affect	#FECB68	0.322854291364051
8e35fe83-e2cb-3d39-bed4-e809cf569833	Heldmann M	12	1	emotions	#FDAD4A	0.470708131860734
8e35fe83-e2cb-3d39-bed4-e809cf569833	Heldmann M	13	1	expression|expressions|facial	#FDAD4A	0.446027123768238
8e35fe83-e2cb-3d39-bed4-e809cf569833	Heldmann M	14	1		#FD913D	0.57421489724577
8e35fe83-e2cb-3d39-bed4-e809cf569833	Heldmann M	15	1		#FD913D	0.559226016358444
8e35fe83-e2cb-3d39-bed4-e809cf569833	Heldmann M	16	1	emotion|motion|neutral	#FD913D	0.55533646282135
8e35fe83-e2cb-3d39-bed4-e809cf569833	Heldmann M	17	1	rating	#FDAD4A	0.447901882846424
8e35fe83-e2cb-3d39-bed4-e809cf569833	Heldmann M	18	1	negative|positive	#FDAD4A	0.406645162728403
8e35fe83-e2cb-3d39-bed4-e809cf569833	Heldmann M	19	1		#FD913D	0.50051017384932
8e35fe83-e2cb-3d39-bed4-e809cf569833	Heldmann M	20	1	ear|order	#FDAD4A	0.461199274021883
8e35fe83-e2cb-3d39-bed4-e809cf569833	Heldmann M	21	1	motor	#FECB68	0.363590635345593
8e35fe83-e2cb-3d39-bed4-e809cf569833	Heldmann M	22	1	visual	#FD913D	0.589757949503365
8e35fe83-e2cb-3d39-bed4-e809cf569833	Heldmann M	23	1	age|image|response	#FD913D	0.500625595916031
8e35fe83-e2cb-3d39-bed4-e809cf569833	Heldmann M	1	2	sound|sounds	#FEE188	0.212733547736562
8e35fe83-e2cb-3d39-bed4-e809cf569833	Heldmann M	2	2		#FECB68	0.299978128372433
8e35fe83-e2cb-3d39-bed4-e809cf569833	Heldmann M	3	2	audiovisual|bimodal|crossmodal	#FDAD4A	0.45002828885911
8e35fe83-e2cb-3d39-bed4-e809cf569833	Heldmann M	4	2		#FD913D	0.519400329949646
