UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	1	1	auditory|speech	#FECB68	0.303292866625635
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	2	1		#FECB68	0.313524534410305
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	3	1	da|integration	#FDAD4A	0.489322898444544
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	4	1		#FD913D	0.532705673866963
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	5	1	physical|psychophysical|tactile	#FDAD4A	0.472810696130329
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	6	1		#FECB68	0.381848112117969
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	7	1	somatosensory|stimulation	#FEE188	0.265534372215204
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	8	1	painful|pain	#FFF1A9	0.126164047870634
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	9	1		#FFF1A9	0.171125241394245
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	10	1	ratings	#FEE188	0.226899865379653
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	11	1	affective|affect	#FEE188	0.235636739327536
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	12	1	emotions	#FEE188	0.276260933246467
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	13	1	expression|expressions|facial	#FDAD4A	0.422601592191269
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	14	1		#FD913D	0.574992455830782
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	15	1		#FD913D	0.562580107094551
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	16	1	emotion|motion|neutral	#FDAD4A	0.455252576913136
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	17	1	rating	#FEE188	0.249352364831156
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	18	1	negative|positive	#FECB68	0.311726727944413
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	19	1		#FD913D	0.502163162698446
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	20	1	ear|order	#FD913D	0.509322612228514
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	21	1	motor	#FDAD4A	0.452347993924776
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	22	1	visual	#FC622F	0.699070686574746
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	23	1	age|image|response	#FD913D	0.508454695604321
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	1	2	sound|sounds	#FEE188	0.204888119463303
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	2	2		#FEE188	0.284385435412276
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	3	2	audiovisual|bimodal|crossmodal	#FECB68	0.397528947494473
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	4	2		#FD913D	0.537289344092637
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	5	2		#FD913D	0.507472201631116
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	6	2		#FDAD4A	0.413567769028781
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	7	2	sensation	#FFFFCC	0.0725751590939651
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	8	2	heat|noxious	#FFF1A9	0.137223794623232
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	9	2		#FFF1A9	0.196174499145594
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	10	2		#FEE188	0.264129344889085
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	11	2		#FECB68	0.300431029033815
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	12	2	valence	#FEE188	0.298370497055835
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	13	2	person|social	#FD913D	0.525860238842714
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	14	2		#FD913D	0.583908375600015
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	15	2	face|faces	#F03623	0.713326201466953
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	16	2		#FD913D	0.564335707678775
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	17	2		#FDAD4A	0.494941079191872
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	18	2		#FD913D	0.517080584519756
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	19	2		#FD913D	0.557587919274473
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	20	2		#FD913D	0.588198213850019
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	21	2	images|spatial	#FD913D	0.59296022142828
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	22	2	control	#FD913D	0.507371179358602
8e7d913f-1c64-3398-bd47-c3b9fd2317fe	Murphy DG	23	2	time	#FD913D	0.521281859047505
