UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
8e815923-7323-3df2-8e80-72c66bd86eba	Zhu J	1	1	auditory|speech	#FFF1A9	0.121142938231346
8e815923-7323-3df2-8e80-72c66bd86eba	Zhu J	2	1		#FFF1A9	0.105876760298764
8e815923-7323-3df2-8e80-72c66bd86eba	Zhu J	3	1	da|integration	#FECB68	0.313955918337398
8e815923-7323-3df2-8e80-72c66bd86eba	Zhu J	4	1		#FECB68	0.384685585308477
8e815923-7323-3df2-8e80-72c66bd86eba	Zhu J	5	1	physical|psychophysical|tactile	#FDAD4A	0.413187088000828
8e815923-7323-3df2-8e80-72c66bd86eba	Zhu J	6	1		#FD913D	0.593513289515609
8e815923-7323-3df2-8e80-72c66bd86eba	Zhu J	7	1	somatosensory|stimulation	#FD913D	0.529056246524549
8e815923-7323-3df2-8e80-72c66bd86eba	Zhu J	8	1	painful|pain	#FC622F	0.638551689987842
8e815923-7323-3df2-8e80-72c66bd86eba	Zhu J	9	1		#F03623	0.78156699581874
8e815923-7323-3df2-8e80-72c66bd86eba	Zhu J	10	1	ratings	#B10026	0.98250853567559
8e815923-7323-3df2-8e80-72c66bd86eba	Zhu J	11	1	affective|affect	#D7141E	0.874909315375108
8e815923-7323-3df2-8e80-72c66bd86eba	Zhu J	12	1	emotions	#D7141E	0.863689037761909
8e815923-7323-3df2-8e80-72c66bd86eba	Zhu J	13	1	expression|expressions|facial	#FC622F	0.627512540670989
8e815923-7323-3df2-8e80-72c66bd86eba	Zhu J	14	1		#D7141E	0.816147891339173
8e815923-7323-3df2-8e80-72c66bd86eba	Zhu J	15	1		#D7141E	0.841400890579948
8e815923-7323-3df2-8e80-72c66bd86eba	Zhu J	16	1	emotion|motion|neutral	#D7141E	0.846076891555907
8e815923-7323-3df2-8e80-72c66bd86eba	Zhu J	17	1	rating	#B10026	0.937244087797579
8e815923-7323-3df2-8e80-72c66bd86eba	Zhu J	18	1	negative|positive	#F03623	0.787506150627051
8e815923-7323-3df2-8e80-72c66bd86eba	Zhu J	19	1		#FC622F	0.658040940337287
8e815923-7323-3df2-8e80-72c66bd86eba	Zhu J	20	1	ear|order	#FD913D	0.505677213111374
8e815923-7323-3df2-8e80-72c66bd86eba	Zhu J	21	1	motor	#FECB68	0.299854549176059
8e815923-7323-3df2-8e80-72c66bd86eba	Zhu J	22	1	visual	#FEE188	0.270027394459419
