UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	1	1	auditory|speech	#FC622F	0.692938075830557
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	2	1		#FC622F	0.625597718436281
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	3	1	da|integration	#F03623	0.733418936230488
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	4	1		#F03623	0.732471420939324
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	5	1	physical|psychophysical|tactile	#FDAD4A	0.406948418456976
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	6	1		#FC622F	0.600677732815124
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	7	1	somatosensory|stimulation	#FD913D	0.5843810083732
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	8	1	painful|pain	#FD913D	0.507056792812418
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	9	1		#FD913D	0.582439315339206
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	10	1	ratings	#FC622F	0.634980026528296
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	11	1	affective|affect	#FC622F	0.611157818085552
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	12	1	emotions	#FD913D	0.579206847889632
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	13	1	expression|expressions|facial	#FECB68	0.341586428403075
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	14	1		#FC622F	0.611281626271824
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	15	1		#FC622F	0.666578342205554
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	16	1	emotion|motion|neutral	#FC622F	0.674349576474929
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	17	1	rating	#FC622F	0.695463607373208
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	18	1	negative|positive	#FC622F	0.66750526950269
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	19	1		#F03623	0.796370857325613
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	20	1	ear|order	#F03623	0.794594950887669
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	21	1	motor	#FC622F	0.666449006511853
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	22	1	visual	#FC622F	0.683061524627157
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	23	1	age|image|response	#D7141E	0.810510743923597
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	1	2	sound|sounds	#FDAD4A	0.440178330427789
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	2	2		#FD913D	0.590482230205599
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	3	2	audiovisual|bimodal|crossmodal	#FECB68	0.325098525260171
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	4	2		#F03623	0.73771286698913
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	5	2		#FC622F	0.659813018391964
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	6	2		#FC622F	0.640860111273282
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	7	2	sensation	#FDAD4A	0.413144103442148
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	8	2	heat|noxious	#FECB68	0.379729508806494
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	9	2		#FD913D	0.567371462152977
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	10	2		#FC622F	0.647861840180261
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	11	2		#FC622F	0.659187484655372
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	12	2	valence	#FDAD4A	0.488083109887467
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	13	2	person|social	#F03623	0.731214962318602
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	14	2		#FC622F	0.632104586609201
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	15	2	face|faces	#FD913D	0.51197560152074
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	16	2		#F03623	0.749711434242639
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	17	2		#F03623	0.780231409901572
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	18	2		#D7141E	0.824787119854271
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	19	2		#D7141E	0.819437658104518
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	20	2		#F03623	0.789557104314579
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	21	2	images|spatial	#F03623	0.76549086660962
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	22	2	control	#F03623	0.772983487672034
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	23	2	time	#F03623	0.78645679508926
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	1	3	acoustic|listening|musical|music|pitch	#FECB68	0.377077962379135
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	2	3	noise|tones	#FDAD4A	0.442032225678148
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	3	3		#FC622F	0.689999915403535
8eba551b-5ef0-3c3f-b905-6fa5877fbcc6	Xiao Z	4	3		#F03623	0.767313627810654
