UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	1	1	auditory|speech	#FFF1A9	0.116548592739145
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	2	1		#FFF1A9	0.125273017244517
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	3	1	da|integration	#FECB68	0.334927947880103
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	4	1		#FFF1A9	0.195008914071281
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	5	1	physical|psychophysical|tactile	#FFF1A9	0.126130703145526
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	6	1		#FEE188	0.239671276865821
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	7	1	somatosensory|stimulation	#FEE188	0.222603921276993
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	8	1	painful|pain	#FEE188	0.29831636087931
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	9	1		#FECB68	0.391029835807914
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	10	1	ratings	#FD913D	0.572015396051179
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	11	1	affective|affect	#FD913D	0.580456094377177
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	12	1	emotions	#FD913D	0.600179240465589
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	13	1	expression|expressions|facial	#FD913D	0.532643485485999
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	14	1		#FC622F	0.641421223433632
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	15	1		#FC622F	0.647584439771611
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	16	1	emotion|motion|neutral	#FC622F	0.605738479347878
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	17	1	rating	#FD913D	0.594516417520563
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	18	1	negative|positive	#FC622F	0.644894201839171
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	19	1		#FD913D	0.539467049484271
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	20	1	ear|order	#FDAD4A	0.478273034075043
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	21	1	motor	#FFF1A9	0.15257949098172
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	22	1	visual	#FFF1A9	0.194537597920444
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	23	1	age|image|response	#FECB68	0.349185609633238
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	1	2	sound|sounds	#FFFFCC	0.0861753143960685
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	2	2		#FFF1A9	0.113312458853724
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	3	2	audiovisual|bimodal|crossmodal	#FFFFCC	0.0802419807638226
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	4	2		#FEE188	0.215261208514079
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	5	2		#FEE188	0.226169184266772
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	6	2		#FEE188	0.257901008011701
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	7	2	sensation	#FECB68	0.321877190812213
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	8	2	heat|noxious	#FEE188	0.214827769653807
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	9	2		#FDAD4A	0.42301688325406
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	10	2		#FC622F	0.636476468496964
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	11	2		#FC622F	0.67108920483376
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	12	2	valence	#FC622F	0.695132699249877
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	13	2	person|social	#FC622F	0.628237005428029
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	14	2		#FC622F	0.649838803882011
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	15	2	face|faces	#FD913D	0.551902219472515
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	16	2		#FC622F	0.633883767359411
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	17	2		#FC622F	0.638044944862279
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	18	2		#FD913D	0.585279465241274
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	19	2		#FD913D	0.515378182097042
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	20	2		#FECB68	0.384551239586193
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	21	2	images|spatial	#FECB68	0.364994465549259
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	22	2	control	#FECB68	0.338607740899033
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	23	2	time	#FECB68	0.34795616004551
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	1	3	acoustic|listening|musical|music|pitch	#FFFFCC	0.065666207334379
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	2	3	noise|tones	#FFF1A9	0.107835485275992
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	3	3		#FFF1A9	0.165760172770455
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	4	3		#FEE188	0.201898662801897
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	5	3	frequency	#FECB68	0.302803087014745
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	6	3		#FEE188	0.277114202587771
8ef8f129-da66-3284-9378-29c8b87af299	Montaldi D	7	3		#FEE188	0.278595021019391
