UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
90dbbf21-845d-32c7-b888-9ba338472b4c	Hanson SJ	1	1	auditory|speech	#FC622F	0.691299585017813
90dbbf21-845d-32c7-b888-9ba338472b4c	Hanson SJ	2	1		#F03623	0.710107085348221
90dbbf21-845d-32c7-b888-9ba338472b4c	Hanson SJ	3	1	da|integration	#B10026	0.922313254471224
90dbbf21-845d-32c7-b888-9ba338472b4c	Hanson SJ	4	1		#D7141E	0.844662871085225
90dbbf21-845d-32c7-b888-9ba338472b4c	Hanson SJ	5	1	physical|psychophysical|tactile	#FD913D	0.544265769354102
90dbbf21-845d-32c7-b888-9ba338472b4c	Hanson SJ	6	1		#F03623	0.73398170031241
90dbbf21-845d-32c7-b888-9ba338472b4c	Hanson SJ	7	1	somatosensory|stimulation	#F03623	0.723569357118954
90dbbf21-845d-32c7-b888-9ba338472b4c	Hanson SJ	8	1	painful|pain	#FC622F	0.60392829457275
90dbbf21-845d-32c7-b888-9ba338472b4c	Hanson SJ	9	1		#FC622F	0.671958297680626
90dbbf21-845d-32c7-b888-9ba338472b4c	Hanson SJ	10	1	ratings	#F03623	0.712561175277366
90dbbf21-845d-32c7-b888-9ba338472b4c	Hanson SJ	11	1	affective|affect	#FC622F	0.627379059100713
90dbbf21-845d-32c7-b888-9ba338472b4c	Hanson SJ	12	1	emotions	#FDAD4A	0.490279610372202
90dbbf21-845d-32c7-b888-9ba338472b4c	Hanson SJ	13	1	expression|expressions|facial	#FD913D	0.502574139513803
90dbbf21-845d-32c7-b888-9ba338472b4c	Hanson SJ	14	1		#F03623	0.762089439899009
90dbbf21-845d-32c7-b888-9ba338472b4c	Hanson SJ	15	1		#F03623	0.776264600724206
90dbbf21-845d-32c7-b888-9ba338472b4c	Hanson SJ	16	1	emotion|motion|neutral	#FC622F	0.697584388098433
90dbbf21-845d-32c7-b888-9ba338472b4c	Hanson SJ	17	1	rating	#FC622F	0.677710294363708
90dbbf21-845d-32c7-b888-9ba338472b4c	Hanson SJ	18	1	negative|positive	#FC622F	0.692568804642224
90dbbf21-845d-32c7-b888-9ba338472b4c	Hanson SJ	19	1		#F03623	0.768723806849661
90dbbf21-845d-32c7-b888-9ba338472b4c	Hanson SJ	20	1	ear|order	#FC622F	0.671476497638489
90dbbf21-845d-32c7-b888-9ba338472b4c	Hanson SJ	21	1	motor	#FD913D	0.544199292229997
90dbbf21-845d-32c7-b888-9ba338472b4c	Hanson SJ	22	1	visual	#FC622F	0.629364425870392
