UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	1	1	auditory|speech	#FEE188	0.293771798726969
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	2	1		#FEE188	0.25791585692842
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	3	1	da|integration	#FDAD4A	0.467615660282971
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	4	1		#FDAD4A	0.47398655440984
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	5	1	physical|psychophysical|tactile	#FECB68	0.397302904470958
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	6	1		#FDAD4A	0.494574820932123
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	7	1	somatosensory|stimulation	#FECB68	0.353440550693932
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	8	1	painful|pain	#FDAD4A	0.475401730583891
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	9	1		#FD913D	0.574581624728639
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	10	1	ratings	#F03623	0.72909754743161
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	11	1	affective|affect	#FC622F	0.685134481220894
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	12	1	emotions	#F03623	0.71630986655033
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	13	1	expression|expressions|facial	#FDAD4A	0.415340425334988
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	14	1		#FC622F	0.643299970873228
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	15	1		#FC622F	0.661790566613183
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	16	1	emotion|motion|neutral	#FC622F	0.642025275619929
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	17	1	rating	#F03623	0.760097683087878
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	18	1	negative|positive	#F03623	0.738203743827298
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	19	1		#F03623	0.705852130144412
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	20	1	ear|order	#FC622F	0.645345926859609
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	21	1	motor	#FECB68	0.386637989602481
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	22	1	visual	#FDAD4A	0.457518998734165
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	23	1	age|image|response	#FD913D	0.592436387410976
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	1	2	sound|sounds	#FFF1A9	0.143347643505352
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	2	2		#FEE188	0.23301097371831
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	3	2	audiovisual|bimodal|crossmodal	#FFF1A9	0.171963083399731
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	4	2		#FDAD4A	0.482748008889182
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	5	2		#FD913D	0.506529437752597
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	6	2		#FD913D	0.512546894876567
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	7	2	sensation	#FDAD4A	0.416864721991204
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	8	2	heat|noxious	#FDAD4A	0.432518949430465
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	9	2		#FC622F	0.618796214072249
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	10	2		#F03623	0.785913933580097
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	11	2		#D7141E	0.802631510082517
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	12	2	valence	#F03623	0.716025220954183
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	13	2	person|social	#D7141E	0.868702812677173
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	14	2		#FC622F	0.650372635099286
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	15	2	face|faces	#FD913D	0.537982389718933
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	16	2		#F03623	0.712465156442525
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	17	2		#F03623	0.755010817377313
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	18	2		#F03623	0.765262019235617
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	19	2		#F03623	0.713376063882244
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	20	2		#FC622F	0.609375853007864
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	21	2	images|spatial	#FD913D	0.563183488335069
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	22	2	control	#FC622F	0.62643348940243
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	23	2	time	#FD913D	0.598549540194976
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	1	3	acoustic|listening|musical|music|pitch	#FFF1A9	0.100423871310115
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	2	3	noise|tones	#FFF1A9	0.143889585139224
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	3	3		#FECB68	0.378119808385534
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	4	3		#FDAD4A	0.467535967879463
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	5	3	frequency	#FDAD4A	0.497879725287358
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	6	3		#FD913D	0.583141316273992
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	7	3		#FD913D	0.522454528230657
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	8	3	temperature	#FDAD4A	0.43986876402788
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	9	3		#FC622F	0.648189880246993
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	10	3	pleasant|unpleasant	#FC622F	0.692197580897491
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	11	3	anxiety	#FD913D	0.587586783413081
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	12	3		#F03623	0.778361065150712
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	13	3		#F03623	0.780849660538793
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	14	3		#F03623	0.704976554474276
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	15	3		#FC622F	0.700334561614515
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	16	3	picture	#FC622F	0.676312009435843
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	17	3		#F03623	0.753267416586279
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	18	3	value	#F03623	0.735823813900497
91062507-5235-3039-bdf4-51195803dbff	Gilbert SJ	19	3	cue	#FC622F	0.623447420579419
