UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
93fd1beb-ce7a-3e15-b3b0-3d189c8b7f54	Ott DV	1	1	auditory|speech	#FECB68	0.35517138342473
93fd1beb-ce7a-3e15-b3b0-3d189c8b7f54	Ott DV	2	1		#FECB68	0.321328158935881
93fd1beb-ce7a-3e15-b3b0-3d189c8b7f54	Ott DV	3	1	da|integration	#FECB68	0.38852790012125
93fd1beb-ce7a-3e15-b3b0-3d189c8b7f54	Ott DV	4	1		#FECB68	0.38210272286431
93fd1beb-ce7a-3e15-b3b0-3d189c8b7f54	Ott DV	5	1	physical|psychophysical|tactile	#FECB68	0.341466000574053
93fd1beb-ce7a-3e15-b3b0-3d189c8b7f54	Ott DV	6	1		#FDAD4A	0.471747259791608
93fd1beb-ce7a-3e15-b3b0-3d189c8b7f54	Ott DV	7	1	somatosensory|stimulation	#FDAD4A	0.430934429281846
93fd1beb-ce7a-3e15-b3b0-3d189c8b7f54	Ott DV	8	1	painful|pain	#FD913D	0.580615883221101
93fd1beb-ce7a-3e15-b3b0-3d189c8b7f54	Ott DV	9	1		#FC622F	0.637059673853516
93fd1beb-ce7a-3e15-b3b0-3d189c8b7f54	Ott DV	10	1	ratings	#F03623	0.722303135774685
93fd1beb-ce7a-3e15-b3b0-3d189c8b7f54	Ott DV	11	1	affective|affect	#F03623	0.769995320335817
93fd1beb-ce7a-3e15-b3b0-3d189c8b7f54	Ott DV	12	1	emotions	#FC622F	0.669367586619138
93fd1beb-ce7a-3e15-b3b0-3d189c8b7f54	Ott DV	13	1	expression|expressions|facial	#FDAD4A	0.47323002092194
93fd1beb-ce7a-3e15-b3b0-3d189c8b7f54	Ott DV	14	1		#FC622F	0.603546101407828
93fd1beb-ce7a-3e15-b3b0-3d189c8b7f54	Ott DV	15	1		#FC622F	0.627340709327079
93fd1beb-ce7a-3e15-b3b0-3d189c8b7f54	Ott DV	16	1	emotion|motion|neutral	#FC622F	0.61325351436519
93fd1beb-ce7a-3e15-b3b0-3d189c8b7f54	Ott DV	17	1	rating	#F03623	0.711213176620129
93fd1beb-ce7a-3e15-b3b0-3d189c8b7f54	Ott DV	18	1	negative|positive	#FC622F	0.670541774368166
93fd1beb-ce7a-3e15-b3b0-3d189c8b7f54	Ott DV	19	1		#FC622F	0.623362342042442
93fd1beb-ce7a-3e15-b3b0-3d189c8b7f54	Ott DV	20	1	ear|order	#FD913D	0.599723109911951
93fd1beb-ce7a-3e15-b3b0-3d189c8b7f54	Ott DV	21	1	motor	#FDAD4A	0.423780766135524
93fd1beb-ce7a-3e15-b3b0-3d189c8b7f54	Ott DV	22	1	visual	#FECB68	0.379133015018621
93fd1beb-ce7a-3e15-b3b0-3d189c8b7f54	Ott DV	23	1	age|image|response	#FD913D	0.546395000756385
