UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	1	1	auditory|speech	#FDAD4A	0.479233047751094
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	2	1		#FDAD4A	0.429583111051135
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	3	1	da|integration	#FDAD4A	0.440345438333261
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	4	1		#FDAD4A	0.465921841469437
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	5	1	physical|psychophysical|tactile	#FECB68	0.380352035865115
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	6	1		#F03623	0.724562362443123
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	7	1	somatosensory|stimulation	#B10026	0.918485791515551
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	8	1	painful|pain	#D7141E	0.831087300676324
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	9	1		#D7141E	0.873521444852255
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	10	1	ratings	#F03623	0.700447578592288
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	11	1	affective|affect	#FDAD4A	0.470822676204725
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	12	1	emotions	#FECB68	0.3646974129713
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	13	1	expression|expressions|facial	#FFF1A9	0.169295215721703
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	14	1		#FECB68	0.300726692694481
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	15	1		#FECB68	0.359048327770543
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	16	1	emotion|motion|neutral	#FECB68	0.390683739404233
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	17	1	rating	#FC622F	0.637520294812529
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	18	1	negative|positive	#FC622F	0.649424103064812
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	19	1		#FC622F	0.650526221747473
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	20	1	ear|order	#FD913D	0.581072632788547
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	21	1	motor	#FC622F	0.668372863716433
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	22	1	visual	#FDAD4A	0.427230534193197
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	23	1	age|image|response	#FD913D	0.590078516229987
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	1	2	sound|sounds	#FECB68	0.361499089047323
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	2	2		#FDAD4A	0.410574582399699
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	3	2	audiovisual|bimodal|crossmodal	#FFF1A9	0.14916025730708
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	4	2		#FDAD4A	0.484603066859716
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	5	2		#FD913D	0.576791271644178
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	6	2		#F03623	0.739730215255606
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	7	2	sensation	#B10026	0.930618900365034
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	8	2	heat|noxious	#FC622F	0.68832662626488
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	9	2		#D7141E	0.821671435789733
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	10	2		#FC622F	0.619914403813301
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	11	2		#FD913D	0.548603779325852
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	12	2	valence	#FEE188	0.298660864316668
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	13	2	person|social	#FECB68	0.316403316537103
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	14	2		#FECB68	0.317886224447664
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	15	2	face|faces	#FEE188	0.214600641821371
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	16	2		#FDAD4A	0.457786525184529
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	17	2		#FD913D	0.570580404508612
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	18	2		#FC622F	0.64435948289559
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	19	2		#FC622F	0.657951772874389
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	20	2		#FC622F	0.611139421855883
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	21	2	images|spatial	#FD913D	0.539974862710148
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	22	2	control	#FD913D	0.590928007740127
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	23	2	time	#FD913D	0.596330516025488
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	1	3	acoustic|listening|musical|music|pitch	#FECB68	0.305370472015957
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	2	3	noise|tones	#FECB68	0.378075242559255
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	3	3		#FDAD4A	0.461097994093103
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	4	3		#FD913D	0.55579927541142
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	5	3	frequency	#FC622F	0.678717599687089
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	6	3		#D7141E	0.808300669115245
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	7	3		#F03623	0.792101245283063
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	8	3	temperature	#FD913D	0.545391999702554
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	9	3		#F03623	0.770838012070518
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	10	3	pleasant|unpleasant	#FC622F	0.619843208083479
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	11	3	anxiety	#FDAD4A	0.409865318058806
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	12	3		#FD913D	0.508764008986673
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	13	3		#FD913D	0.516660286612927
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	14	3		#FDAD4A	0.442643336353182
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	15	3		#FDAD4A	0.444781657433239
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	16	3	picture	#FDAD4A	0.435124520113412
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	17	3		#FD913D	0.557450247656233
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	18	3	value	#F03623	0.741742026699841
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	19	3	cue	#FC622F	0.612872458184703
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	20	3	error|target	#FC622F	0.613337015512122
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	21	3	attention	#FDAD4A	0.462013045140136
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	22	3		#FD913D	0.527830824203912
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	23	3	number	#FD913D	0.544235969081712
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	1	4	voice	#FFF1A9	0.197224629136934
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	2	4		#FECB68	0.350388114876418
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	3	4	hearing	#FEE188	0.213476220559947
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	4	4		#FD913D	0.571424081170146
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	5	4	overt	#FD913D	0.578440885963373
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	6	4		#FC622F	0.68419322267319
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	7	4		#F03623	0.742571869131758
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	8	4	nociceptive|nonpainful|painrelated	#FD913D	0.599267706189851
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	9	4	unpleasantness	#F03623	0.713409130078129
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	10	4	skin|subjective	#FD913D	0.59214457396278
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	11	4	depression	#FC622F	0.606377755491289
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	12	4	experience	#FD913D	0.570524388694556
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	13	4	female	#FD913D	0.534699099559284
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	14	4	male	#FD913D	0.582529743119822
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	15	4	pictures	#FECB68	0.37045576699689
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	16	4		#FDAD4A	0.469213233476771
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	17	4	perception	#FDAD4A	0.438498832175878
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	18	4		#FD913D	0.541479279482914
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	19	4		#FD913D	0.540984562574001
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	20	4		#FD913D	0.522217413933154
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	21	4	correct	#FD913D	0.553012881434125
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	22	4	work	#FDAD4A	0.464461833503719
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	23	4	memory	#FDAD4A	0.461813565566393
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	1	5	prosodic|prosody	#FEE188	0.210917022110911
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	2	5	phonetic	#FECB68	0.312348688882126
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	3	5	syllable|syllables	#FDAD4A	0.441612397695871
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	4	5		#FD913D	0.5449173296603
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	5	5	lip|production	#FD913D	0.523723032869043
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	6	5	somatotopic	#FD913D	0.532703968902956
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	7	5		#D7141E	0.859663059139467
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	8	5		#D7141E	0.832589055402427
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	9	5	empathy	#D7141E	0.818737217119522
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	10	5		#F03623	0.739164932673331
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	11	5	disorder	#FD913D	0.513339405894582
958b6f9c-4434-344a-b543-24de72af13d3	Stuss DT	12	5		#FC622F	0.638784508035173
