UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
96b9ce04-2315-34a3-9683-a3c7d44d021a	Eysenck MW	1	1	auditory|speech	#FFF1A9	0.154644724323143
96b9ce04-2315-34a3-9683-a3c7d44d021a	Eysenck MW	2	1		#FEE188	0.223549415389922
96b9ce04-2315-34a3-9683-a3c7d44d021a	Eysenck MW	3	1	da|integration	#FECB68	0.39642335146382
96b9ce04-2315-34a3-9683-a3c7d44d021a	Eysenck MW	4	1		#FDAD4A	0.49865638655363
96b9ce04-2315-34a3-9683-a3c7d44d021a	Eysenck MW	5	1	physical|psychophysical|tactile	#FDAD4A	0.492297098889371
96b9ce04-2315-34a3-9683-a3c7d44d021a	Eysenck MW	6	1		#FDAD4A	0.419147207362686
96b9ce04-2315-34a3-9683-a3c7d44d021a	Eysenck MW	7	1	somatosensory|stimulation	#FECB68	0.311119967407291
96b9ce04-2315-34a3-9683-a3c7d44d021a	Eysenck MW	8	1	painful|pain	#FECB68	0.375049199975012
96b9ce04-2315-34a3-9683-a3c7d44d021a	Eysenck MW	9	1		#FECB68	0.350924042255449
96b9ce04-2315-34a3-9683-a3c7d44d021a	Eysenck MW	10	1	ratings	#FFF1A9	0.170335311694133
96b9ce04-2315-34a3-9683-a3c7d44d021a	Eysenck MW	11	1	affective|affect	#FEE188	0.272180895382667
96b9ce04-2315-34a3-9683-a3c7d44d021a	Eysenck MW	12	1	emotions	#FECB68	0.316393609417919
96b9ce04-2315-34a3-9683-a3c7d44d021a	Eysenck MW	13	1	expression|expressions|facial	#FEE188	0.281762284511421
96b9ce04-2315-34a3-9683-a3c7d44d021a	Eysenck MW	14	1		#FECB68	0.369170915831452
96b9ce04-2315-34a3-9683-a3c7d44d021a	Eysenck MW	15	1		#FECB68	0.357241637143424
96b9ce04-2315-34a3-9683-a3c7d44d021a	Eysenck MW	16	1	emotion|motion|neutral	#FEE188	0.260712190547552
96b9ce04-2315-34a3-9683-a3c7d44d021a	Eysenck MW	17	1	rating	#FEE188	0.216657067008261
96b9ce04-2315-34a3-9683-a3c7d44d021a	Eysenck MW	18	1	negative|positive	#FFF1A9	0.191666058951063
96b9ce04-2315-34a3-9683-a3c7d44d021a	Eysenck MW	19	1		#FFF1A9	0.171857329282131
96b9ce04-2315-34a3-9683-a3c7d44d021a	Eysenck MW	20	1	ear|order	#FFFFCC	0.0884441987573643
96b9ce04-2315-34a3-9683-a3c7d44d021a	Eysenck MW	21	1	motor	#FFFFCC	0.0197096392614367
96b9ce04-2315-34a3-9683-a3c7d44d021a	Eysenck MW	22	1	visual	#FFF1A9	0.107381923337763
96b9ce04-2315-34a3-9683-a3c7d44d021a	Eysenck MW	23	1	age|image|response	#FFFFCC	0.0165084341683123
96b9ce04-2315-34a3-9683-a3c7d44d021a	Eysenck MW	1	2	sound|sounds	#FFF1A9	0.190803070129317
96b9ce04-2315-34a3-9683-a3c7d44d021a	Eysenck MW	2	2		#FEE188	0.212769870158675
96b9ce04-2315-34a3-9683-a3c7d44d021a	Eysenck MW	3	2	audiovisual|bimodal|crossmodal	#FECB68	0.372289583218348
96b9ce04-2315-34a3-9683-a3c7d44d021a	Eysenck MW	4	2		#FDAD4A	0.467616686869192
96b9ce04-2315-34a3-9683-a3c7d44d021a	Eysenck MW	5	2		#FDAD4A	0.432753887831461
96b9ce04-2315-34a3-9683-a3c7d44d021a	Eysenck MW	6	2		#FDAD4A	0.406670268581727
