UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
97bee661-cc76-3e44-a41d-e7b6aaeef0a0	Marchetti A	1	1	auditory|speech	#FDAD4A	0.499829091886397
97bee661-cc76-3e44-a41d-e7b6aaeef0a0	Marchetti A	2	1		#FDAD4A	0.447696652323196
97bee661-cc76-3e44-a41d-e7b6aaeef0a0	Marchetti A	3	1	da|integration	#FC622F	0.660850302412806
97bee661-cc76-3e44-a41d-e7b6aaeef0a0	Marchetti A	4	1		#FC622F	0.637363066371217
97bee661-cc76-3e44-a41d-e7b6aaeef0a0	Marchetti A	5	1	physical|psychophysical|tactile	#FDAD4A	0.434735125869019
97bee661-cc76-3e44-a41d-e7b6aaeef0a0	Marchetti A	6	1		#FD913D	0.571304234741532
97bee661-cc76-3e44-a41d-e7b6aaeef0a0	Marchetti A	7	1	somatosensory|stimulation	#FDAD4A	0.494678218832847
97bee661-cc76-3e44-a41d-e7b6aaeef0a0	Marchetti A	8	1	painful|pain	#FDAD4A	0.49487162909396
97bee661-cc76-3e44-a41d-e7b6aaeef0a0	Marchetti A	9	1		#FC622F	0.619429741941805
97bee661-cc76-3e44-a41d-e7b6aaeef0a0	Marchetti A	10	1	ratings	#F03623	0.774700633465342
97bee661-cc76-3e44-a41d-e7b6aaeef0a0	Marchetti A	11	1	affective|affect	#D7141E	0.831762901439475
97bee661-cc76-3e44-a41d-e7b6aaeef0a0	Marchetti A	12	1	emotions	#F03623	0.754172403448556
97bee661-cc76-3e44-a41d-e7b6aaeef0a0	Marchetti A	13	1	expression|expressions|facial	#FD913D	0.595910965436793
97bee661-cc76-3e44-a41d-e7b6aaeef0a0	Marchetti A	14	1		#F03623	0.749714579458639
97bee661-cc76-3e44-a41d-e7b6aaeef0a0	Marchetti A	15	1		#F03623	0.772230204409748
97bee661-cc76-3e44-a41d-e7b6aaeef0a0	Marchetti A	16	1	emotion|motion|neutral	#F03623	0.759706887451336
97bee661-cc76-3e44-a41d-e7b6aaeef0a0	Marchetti A	17	1	rating	#F03623	0.761671610483649
97bee661-cc76-3e44-a41d-e7b6aaeef0a0	Marchetti A	18	1	negative|positive	#F03623	0.703169682121475
97bee661-cc76-3e44-a41d-e7b6aaeef0a0	Marchetti A	19	1		#F03623	0.737736232486933
97bee661-cc76-3e44-a41d-e7b6aaeef0a0	Marchetti A	20	1	ear|order	#FC622F	0.670665750127867
97bee661-cc76-3e44-a41d-e7b6aaeef0a0	Marchetti A	21	1	motor	#FDAD4A	0.494997762462392
97bee661-cc76-3e44-a41d-e7b6aaeef0a0	Marchetti A	22	1	visual	#FD913D	0.555963722323615
97bee661-cc76-3e44-a41d-e7b6aaeef0a0	Marchetti A	23	1	age|image|response	#FC622F	0.633420521127707
97bee661-cc76-3e44-a41d-e7b6aaeef0a0	Marchetti A	1	2	sound|sounds	#FEE188	0.262163905794202
97bee661-cc76-3e44-a41d-e7b6aaeef0a0	Marchetti A	2	2		#FDAD4A	0.41311463236015
97bee661-cc76-3e44-a41d-e7b6aaeef0a0	Marchetti A	3	2	audiovisual|bimodal|crossmodal	#FEE188	0.24929583201539
97bee661-cc76-3e44-a41d-e7b6aaeef0a0	Marchetti A	4	2		#FC622F	0.653949426042229
97bee661-cc76-3e44-a41d-e7b6aaeef0a0	Marchetti A	5	2		#FC622F	0.604486048293616
97bee661-cc76-3e44-a41d-e7b6aaeef0a0	Marchetti A	6	2		#FC622F	0.611692977807495
97bee661-cc76-3e44-a41d-e7b6aaeef0a0	Marchetti A	7	2	sensation	#FDAD4A	0.479753386642451
97bee661-cc76-3e44-a41d-e7b6aaeef0a0	Marchetti A	8	2	heat|noxious	#FDAD4A	0.458765277985058
97bee661-cc76-3e44-a41d-e7b6aaeef0a0	Marchetti A	9	2		#FC622F	0.651023853065733
97bee661-cc76-3e44-a41d-e7b6aaeef0a0	Marchetti A	10	2		#D7141E	0.846408573154404
97bee661-cc76-3e44-a41d-e7b6aaeef0a0	Marchetti A	11	2		#D7141E	0.869431618978027
97bee661-cc76-3e44-a41d-e7b6aaeef0a0	Marchetti A	12	2	valence	#F03623	0.767111040804273
97bee661-cc76-3e44-a41d-e7b6aaeef0a0	Marchetti A	13	2	person|social	#F03623	0.790855276879884
