UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
984f3208-b424-3f9b-bf9b-cbad1369acea	Fiebach CJ	1	1	auditory|speech	#B10026	0.908892311321189
984f3208-b424-3f9b-bf9b-cbad1369acea	Fiebach CJ	2	1		#D7141E	0.879298675805895
984f3208-b424-3f9b-bf9b-cbad1369acea	Fiebach CJ	3	1	da|integration	#D7141E	0.854616564130445
984f3208-b424-3f9b-bf9b-cbad1369acea	Fiebach CJ	4	1		#B10026	0.9337496373052
984f3208-b424-3f9b-bf9b-cbad1369acea	Fiebach CJ	5	1	physical|psychophysical|tactile	#FC622F	0.666611667516598
984f3208-b424-3f9b-bf9b-cbad1369acea	Fiebach CJ	6	1		#F03623	0.71310823065266
984f3208-b424-3f9b-bf9b-cbad1369acea	Fiebach CJ	7	1	somatosensory|stimulation	#FC622F	0.638154145440421
984f3208-b424-3f9b-bf9b-cbad1369acea	Fiebach CJ	8	1	painful|pain	#FDAD4A	0.440665560932029
984f3208-b424-3f9b-bf9b-cbad1369acea	Fiebach CJ	9	1		#FD913D	0.514919378057983
984f3208-b424-3f9b-bf9b-cbad1369acea	Fiebach CJ	10	1	ratings	#FDAD4A	0.488047631821266
984f3208-b424-3f9b-bf9b-cbad1369acea	Fiebach CJ	11	1	affective|affect	#FDAD4A	0.410979407185576
984f3208-b424-3f9b-bf9b-cbad1369acea	Fiebach CJ	12	1	emotions	#FDAD4A	0.415187817675031
984f3208-b424-3f9b-bf9b-cbad1369acea	Fiebach CJ	13	1	expression|expressions|facial	#FEE188	0.243833493927447
984f3208-b424-3f9b-bf9b-cbad1369acea	Fiebach CJ	14	1		#FECB68	0.393544246381604
984f3208-b424-3f9b-bf9b-cbad1369acea	Fiebach CJ	15	1		#FDAD4A	0.428645735765526
984f3208-b424-3f9b-bf9b-cbad1369acea	Fiebach CJ	16	1	emotion|motion|neutral	#FDAD4A	0.439141394451379
984f3208-b424-3f9b-bf9b-cbad1369acea	Fiebach CJ	17	1	rating	#FD913D	0.515054226055939
984f3208-b424-3f9b-bf9b-cbad1369acea	Fiebach CJ	18	1	negative|positive	#FD913D	0.547087360133102
984f3208-b424-3f9b-bf9b-cbad1369acea	Fiebach CJ	19	1		#FC622F	0.679279855448856
984f3208-b424-3f9b-bf9b-cbad1369acea	Fiebach CJ	20	1	ear|order	#F03623	0.752773454241609
984f3208-b424-3f9b-bf9b-cbad1369acea	Fiebach CJ	21	1	motor	#FC622F	0.659204124384056
984f3208-b424-3f9b-bf9b-cbad1369acea	Fiebach CJ	22	1	visual	#FC622F	0.603137506416157
984f3208-b424-3f9b-bf9b-cbad1369acea	Fiebach CJ	23	1	age|image|response	#F03623	0.704314975488122
984f3208-b424-3f9b-bf9b-cbad1369acea	Fiebach CJ	1	2	sound|sounds	#F03623	0.775941361696365
984f3208-b424-3f9b-bf9b-cbad1369acea	Fiebach CJ	2	2		#D7141E	0.860511692397579
984f3208-b424-3f9b-bf9b-cbad1369acea	Fiebach CJ	3	2	audiovisual|bimodal|crossmodal	#FC622F	0.682286413138999
984f3208-b424-3f9b-bf9b-cbad1369acea	Fiebach CJ	4	2		#B10026	0.947464469950428
984f3208-b424-3f9b-bf9b-cbad1369acea	Fiebach CJ	5	2		#D7141E	0.891485683345616
984f3208-b424-3f9b-bf9b-cbad1369acea	Fiebach CJ	6	2		#F03623	0.766202995863088
984f3208-b424-3f9b-bf9b-cbad1369acea	Fiebach CJ	7	2	sensation	#FD913D	0.505775999782594
