UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	1	1	auditory|speech	#FFF1A9	0.191829495780465
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	2	1		#FFF1A9	0.190579698828991
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	3	1	da|integration	#FDAD4A	0.41931338387271
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	4	1		#FEE188	0.26869373978224
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	5	1	physical|psychophysical|tactile	#FFF1A9	0.1056143877232
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	6	1		#FEE188	0.21549194601044
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	7	1	somatosensory|stimulation	#FFF1A9	0.19552880676997
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	8	1	painful|pain	#FEE188	0.248675294722074
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	9	1		#FECB68	0.373531776177719
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	10	1	ratings	#F03623	0.716851666747128
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	11	1	affective|affect	#D7141E	0.826179277918835
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	12	1	emotions	#D7141E	0.868080999624683
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	13	1	expression|expressions|facial	#B10026	0.930996113936015
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	14	1		#B10026	0.960779916829888
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	15	1		#B10026	0.930133766639468
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	16	1	emotion|motion|neutral	#D7141E	0.843911498415931
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	17	1	rating	#F03623	0.718458013132423
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	18	1	negative|positive	#FC622F	0.638099967433314
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	19	1		#FD913D	0.575135334235763
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	20	1	ear|order	#FDAD4A	0.482564631559044
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	21	1	motor	#FEE188	0.229964378280711
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	22	1	visual	#FECB68	0.344517443427596
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	23	1	age|image|response	#FDAD4A	0.441211059050714
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	1	2	sound|sounds	#FFF1A9	0.107717761169136
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	2	2		#FFF1A9	0.176088409990554
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	3	2	audiovisual|bimodal|crossmodal	#FEE188	0.222615582508351
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	4	2		#FEE188	0.272033936138772
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	5	2		#FEE188	0.230954046984826
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	6	2		#FEE188	0.226955451092318
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	7	2	sensation	#FFF1A9	0.181468511969096
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	8	2	heat|noxious	#FFF1A9	0.175910364108745
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	9	2		#FDAD4A	0.407787002973826
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	10	2		#D7141E	0.801316475613523
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	11	2		#D7141E	0.870327434926745
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	12	2	valence	#B10026	0.905694103091218
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	13	2	person|social	#F03623	0.706706940769436
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	14	2		#B10026	0.957207003255401
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	15	2	face|faces	#D7141E	0.867164859472506
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	16	2		#D7141E	0.864446225489778
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	17	2		#F03623	0.790316619769713
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	18	2		#FC622F	0.660039070952708
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	19	2		#FD913D	0.547231547432423
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	20	2		#FDAD4A	0.423659772402429
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	21	2	images|spatial	#FDAD4A	0.433748391791784
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	22	2	control	#FECB68	0.39333936051892
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	23	2	time	#FDAD4A	0.405532558447069
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	1	3	acoustic|listening|musical|music|pitch	#FFFFCC	0.0673409108360711
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	2	3	noise|tones	#FFF1A9	0.155752280497209
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	3	3		#FEE188	0.250651741081323
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	4	3		#FEE188	0.282664351612029
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	5	3	frequency	#FEE188	0.241912167745959
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	6	3		#FECB68	0.302112144873679
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	7	3		#FEE188	0.236689267726239
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	8	3	temperature	#FEE188	0.229299232644453
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	9	3		#FECB68	0.391001694026064
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	10	3	pleasant|unpleasant	#FC622F	0.67271402313384
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	11	3	anxiety	#D7141E	0.864010004832895
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	12	3		#B10026	0.903973742400302
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	13	3		#D7141E	0.885999525095984
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	14	3		#B10026	0.918319577897764
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	15	3		#D7141E	0.89460837346441
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	16	3	picture	#F03623	0.777586215766614
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	17	3		#F03623	0.777017642128707
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	18	3	value	#FD913D	0.556015202344837
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	19	3	cue	#FDAD4A	0.409773798250549
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	20	3	error|target	#FECB68	0.339415527464396
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	21	3	attention	#FECB68	0.325608359723806
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	22	3		#FDAD4A	0.409501013113688
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	23	3	number	#FDAD4A	0.415877453333519
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	1	4	voice	#FFF1A9	0.136416602423249
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	2	4		#FFF1A9	0.181494609060571
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	3	4	hearing	#FEE188	0.231293982966215
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	4	4		#FEE188	0.243591349395093
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	5	4	overt	#FEE188	0.225833024797911
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	6	4		#FEE188	0.267335923410591
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	7	4		#FEE188	0.273996510124741
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	8	4	nociceptive|nonpainful|painrelated	#FFF1A9	0.152373048615173
98871dff-54cc-3b50-b75e-00b4f8ab8460	van Wingen G	9	4	unpleasantness	#FEE188	0.291433651281202
