UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
9a2e94a3-80e4-31c6-bc6a-a49685da02fc	Kensinger EA	1	1	auditory|speech	#FFF1A9	0.168291337128366
9a2e94a3-80e4-31c6-bc6a-a49685da02fc	Kensinger EA	2	1		#FFF1A9	0.181416457611902
9a2e94a3-80e4-31c6-bc6a-a49685da02fc	Kensinger EA	3	1	da|integration	#FDAD4A	0.458365312866645
9a2e94a3-80e4-31c6-bc6a-a49685da02fc	Kensinger EA	4	1		#FECB68	0.349829161032028
9a2e94a3-80e4-31c6-bc6a-a49685da02fc	Kensinger EA	5	1	physical|psychophysical|tactile	#FEE188	0.235730781235492
9a2e94a3-80e4-31c6-bc6a-a49685da02fc	Kensinger EA	6	1		#FEE188	0.264610133842128
9a2e94a3-80e4-31c6-bc6a-a49685da02fc	Kensinger EA	7	1	somatosensory|stimulation	#FFF1A9	0.198767144030184
9a2e94a3-80e4-31c6-bc6a-a49685da02fc	Kensinger EA	8	1	painful|pain	#FEE188	0.200814203102088
9a2e94a3-80e4-31c6-bc6a-a49685da02fc	Kensinger EA	9	1		#FECB68	0.317447037416126
9a2e94a3-80e4-31c6-bc6a-a49685da02fc	Kensinger EA	10	1	ratings	#FC622F	0.692625425031806
9a2e94a3-80e4-31c6-bc6a-a49685da02fc	Kensinger EA	11	1	affective|affect	#F03623	0.762390593516551
9a2e94a3-80e4-31c6-bc6a-a49685da02fc	Kensinger EA	12	1	emotions	#F03623	0.782255251036134
9a2e94a3-80e4-31c6-bc6a-a49685da02fc	Kensinger EA	13	1	expression|expressions|facial	#F03623	0.755582373188165
9a2e94a3-80e4-31c6-bc6a-a49685da02fc	Kensinger EA	14	1		#D7141E	0.893334441972881
9a2e94a3-80e4-31c6-bc6a-a49685da02fc	Kensinger EA	15	1		#B10026	0.903253303047195
9a2e94a3-80e4-31c6-bc6a-a49685da02fc	Kensinger EA	16	1	emotion|motion|neutral	#D7141E	0.856505130441222
9a2e94a3-80e4-31c6-bc6a-a49685da02fc	Kensinger EA	17	1	rating	#F03623	0.730215815900527
9a2e94a3-80e4-31c6-bc6a-a49685da02fc	Kensinger EA	18	1	negative|positive	#F03623	0.741398940612416
9a2e94a3-80e4-31c6-bc6a-a49685da02fc	Kensinger EA	19	1		#FC622F	0.675439964597048
9a2e94a3-80e4-31c6-bc6a-a49685da02fc	Kensinger EA	20	1	ear|order	#FD913D	0.568528274348669
9a2e94a3-80e4-31c6-bc6a-a49685da02fc	Kensinger EA	21	1	motor	#FEE188	0.267325962002429
9a2e94a3-80e4-31c6-bc6a-a49685da02fc	Kensinger EA	22	1	visual	#FDAD4A	0.472204048371861
9a2e94a3-80e4-31c6-bc6a-a49685da02fc	Kensinger EA	23	1	age|image|response	#FD913D	0.54014500893398
9a2e94a3-80e4-31c6-bc6a-a49685da02fc	Kensinger EA	1	2	sound|sounds	#FFFFCC	0.0936316593146563
9a2e94a3-80e4-31c6-bc6a-a49685da02fc	Kensinger EA	2	2		#FFF1A9	0.152679900399431
9a2e94a3-80e4-31c6-bc6a-a49685da02fc	Kensinger EA	3	2	audiovisual|bimodal|crossmodal	#FEE188	0.283884775862887
9a2e94a3-80e4-31c6-bc6a-a49685da02fc	Kensinger EA	4	2		#FECB68	0.357112522073413
9a2e94a3-80e4-31c6-bc6a-a49685da02fc	Kensinger EA	5	2		#FECB68	0.336934680683216
9a2e94a3-80e4-31c6-bc6a-a49685da02fc	Kensinger EA	6	2		#FEE188	0.287134193568766
