UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	1	1	auditory|speech	#FFFFCC	0.0460636115200609
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	2	1		#FFFFCC	0.0471786884541479
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	3	1	da|integration	#FFFFCC	0.0742210416194199
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	4	1		#FFF1A9	0.131992830701667
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	5	1	physical|psychophysical|tactile	#FFF1A9	0.100224425441695
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	6	1		#FFFFCC	0.0572159045736583
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	7	1	somatosensory|stimulation	#FFFFCC	0.0144102171809385
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	8	1	painful|pain	#FFFFCC	0
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	9	1		#FFFFCC	0.0070306605719405
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	10	1	ratings	#FFFFCC	0.0190313479505176
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	11	1	affective|affect	#FFFFCC	0.0272440392280963
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	12	1	emotions	#FFF1A9	0.165402383667191
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	13	1	expression|expressions|facial	#FECB68	0.39050774115123
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	14	1		#FECB68	0.373048152711231
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	15	1		#FECB68	0.326859284670051
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	16	1	emotion|motion|neutral	#FFF1A9	0.186703725184433
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	17	1	rating	#FFFFCC	0.0691083573859634
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	18	1	negative|positive	#FFF1A9	0.110317984426393
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	19	1		#FFF1A9	0.188450552939631
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	20	1	ear|order	#FFF1A9	0.153618402513613
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	21	1	motor	#FFF1A9	0.100191130674903
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	22	1	visual	#FC622F	0.625725914932981
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	23	1	age|image|response	#FECB68	0.308968560226728
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	1	2	sound|sounds	#FFFFCC	0.00576169666328044
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	2	2		#FFFFCC	0.0423267125484321
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	3	2	audiovisual|bimodal|crossmodal	#FEE188	0.228947640596738
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	4	2		#FFF1A9	0.126285827310403
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	5	2		#FFFFCC	0.0967021759627265
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	6	2		#FFFFCC	0.0555753166768038
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	7	2	sensation	#FFFFCC	0.00225927867515097
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	8	2	heat|noxious	#FFFFCC	2.54362284589874e-05
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	9	2		#FFFFCC	0.00363280044782691
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	10	2		#FFFFCC	0.0355673493760254
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	11	2		#FFFFCC	0.0602207875628151
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	12	2	valence	#FFF1A9	0.12585008800546
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	13	2	person|social	#FFF1A9	0.116046770565686
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	14	2		#FECB68	0.38179663125088
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	15	2	face|faces	#FD913D	0.574195658687262
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	16	2		#FECB68	0.302438267918651
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	17	2		#FEE188	0.220372341389968
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	18	2		#FEE188	0.20327502147599
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	19	2		#FEE188	0.218311805108598
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	20	2		#FEE188	0.260412989617759
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	21	2	images|spatial	#FDAD4A	0.400805546777052
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	22	2	control	#FEE188	0.25782466059619
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	23	2	time	#FECB68	0.327946705128072
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	1	3	acoustic|listening|musical|music|pitch	#FFFFCC	0.0125053218760251
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	2	3	noise|tones	#FFFFCC	0.0224087354379992
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	3	3		#FFFFCC	0.0921920414913501
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	4	3		#FFF1A9	0.113716990222945
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	5	3	frequency	#FFFFCC	0.04970495287809
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	6	3		#FFFFCC	0.0690576475056397
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	7	3		#FFFFCC	0.0248768330965778
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	8	3	temperature	#FFFFCC	0.00223831058082201
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	9	3		#FFFFCC	0.0130596112413412
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	10	3	pleasant|unpleasant	#FFFFCC	0.00344859155037115
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	11	3	anxiety	#FFFFCC	0.0241096780168762
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	12	3		#FFF1A9	0.133547143609122
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	13	3		#FEE188	0.258334787914745
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	14	3		#FECB68	0.329121865778326
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	15	3		#FECB68	0.370428815654874
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	16	3	picture	#FDAD4A	0.417260080591895
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	17	3		#FECB68	0.316890930785213
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	18	3	value	#FEE188	0.21697998479565
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	19	3	cue	#FEE188	0.217222946412469
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	20	3	error|target	#FEE188	0.255634451540726
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	21	3	attention	#FECB68	0.328475651394833
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	22	3		#FECB68	0.339475402609683
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	23	3	number	#FECB68	0.358930358339774
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	1	4	voice	#FFFFCC	0.00852205435336911
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	2	4		#FFFFCC	0.0193376965461374
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	3	4	hearing	#FFFFCC	0.0406850340535587
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	4	4		#FFFFCC	0.0798406346438043
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	5	4	overt	#FFF1A9	0.113334220047005
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	6	4		#FFFFCC	0.0895237349074707
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	7	4		#FFFFCC	0.0478421180869031
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	8	4	nociceptive|nonpainful|painrelated	#FFFFCC	0.0165000773168523
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	9	4	unpleasantness	#FFFFCC	0.00843344011282507
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	10	4	skin|subjective	#FFFFCC	0.0748425849326539
9b2bd58a-e08a-3e57-8c0f-dc31d245933d	el-Guebaly N	11	4	depression	#FFFFCC	0.0484436716535446
