UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
9b3bc9fc-d388-3be7-87f6-3472dc48a1c0	Wang L	1	1	auditory|speech	#FDAD4A	0.487794634287218
9b3bc9fc-d388-3be7-87f6-3472dc48a1c0	Wang L	2	1		#FDAD4A	0.436602089830242
9b3bc9fc-d388-3be7-87f6-3472dc48a1c0	Wang L	3	1	da|integration	#FD913D	0.555589046932188
9b3bc9fc-d388-3be7-87f6-3472dc48a1c0	Wang L	4	1		#FD913D	0.589459962529945
9b3bc9fc-d388-3be7-87f6-3472dc48a1c0	Wang L	5	1	physical|psychophysical|tactile	#FD913D	0.500066385897321
9b3bc9fc-d388-3be7-87f6-3472dc48a1c0	Wang L	6	1		#FC622F	0.606677983498659
9b3bc9fc-d388-3be7-87f6-3472dc48a1c0	Wang L	7	1	somatosensory|stimulation	#FD913D	0.585955702644404
9b3bc9fc-d388-3be7-87f6-3472dc48a1c0	Wang L	8	1	painful|pain	#FDAD4A	0.48341162940045
9b3bc9fc-d388-3be7-87f6-3472dc48a1c0	Wang L	9	1		#FD913D	0.513716739807907
9b3bc9fc-d388-3be7-87f6-3472dc48a1c0	Wang L	10	1	ratings	#FDAD4A	0.465711849373194
9b3bc9fc-d388-3be7-87f6-3472dc48a1c0	Wang L	11	1	affective|affect	#FDAD4A	0.459814518817025
9b3bc9fc-d388-3be7-87f6-3472dc48a1c0	Wang L	12	1	emotions	#FECB68	0.383979229416679
9b3bc9fc-d388-3be7-87f6-3472dc48a1c0	Wang L	13	1	expression|expressions|facial	#FEE188	0.236853765379944
9b3bc9fc-d388-3be7-87f6-3472dc48a1c0	Wang L	14	1		#FECB68	0.385679979675117
9b3bc9fc-d388-3be7-87f6-3472dc48a1c0	Wang L	15	1		#FDAD4A	0.419364088974058
9b3bc9fc-d388-3be7-87f6-3472dc48a1c0	Wang L	16	1	emotion|motion|neutral	#FDAD4A	0.409652618371045
9b3bc9fc-d388-3be7-87f6-3472dc48a1c0	Wang L	17	1	rating	#FD913D	0.517132369834354
9b3bc9fc-d388-3be7-87f6-3472dc48a1c0	Wang L	18	1	negative|positive	#FC622F	0.629187013891328
9b3bc9fc-d388-3be7-87f6-3472dc48a1c0	Wang L	19	1		#F03623	0.742770224273136
9b3bc9fc-d388-3be7-87f6-3472dc48a1c0	Wang L	20	1	ear|order	#F03623	0.755083588478782
