UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
9c60858d-13c7-3e3e-8814-f3cf69d50e4e	Scarabino T	1	1	auditory|speech	#FEE188	0.296033648445698
9c60858d-13c7-3e3e-8814-f3cf69d50e4e	Scarabino T	2	1		#FECB68	0.302403724837441
9c60858d-13c7-3e3e-8814-f3cf69d50e4e	Scarabino T	3	1	da|integration	#FD913D	0.559220275799309
9c60858d-13c7-3e3e-8814-f3cf69d50e4e	Scarabino T	4	1		#FDAD4A	0.469658595413449
9c60858d-13c7-3e3e-8814-f3cf69d50e4e	Scarabino T	5	1	physical|psychophysical|tactile	#FECB68	0.316038670750528
9c60858d-13c7-3e3e-8814-f3cf69d50e4e	Scarabino T	6	1		#FDAD4A	0.410316288507134
9c60858d-13c7-3e3e-8814-f3cf69d50e4e	Scarabino T	7	1	somatosensory|stimulation	#FECB68	0.376762810649477
9c60858d-13c7-3e3e-8814-f3cf69d50e4e	Scarabino T	8	1	painful|pain	#FECB68	0.304967028250705
9c60858d-13c7-3e3e-8814-f3cf69d50e4e	Scarabino T	9	1		#FDAD4A	0.402055161834469
9c60858d-13c7-3e3e-8814-f3cf69d50e4e	Scarabino T	10	1	ratings	#FD913D	0.572358225678478
9c60858d-13c7-3e3e-8814-f3cf69d50e4e	Scarabino T	11	1	affective|affect	#FC622F	0.646549301593041
9c60858d-13c7-3e3e-8814-f3cf69d50e4e	Scarabino T	12	1	emotions	#D7141E	0.837361308159059
9c60858d-13c7-3e3e-8814-f3cf69d50e4e	Scarabino T	13	1	expression|expressions|facial	#F03623	0.733645243506892
9c60858d-13c7-3e3e-8814-f3cf69d50e4e	Scarabino T	14	1		#D7141E	0.88099663049425
9c60858d-13c7-3e3e-8814-f3cf69d50e4e	Scarabino T	15	1		#B10026	0.906637623670728
9c60858d-13c7-3e3e-8814-f3cf69d50e4e	Scarabino T	16	1	emotion|motion|neutral	#D7141E	0.868072498641817
9c60858d-13c7-3e3e-8814-f3cf69d50e4e	Scarabino T	17	1	rating	#F03623	0.732613105131026
9c60858d-13c7-3e3e-8814-f3cf69d50e4e	Scarabino T	18	1	negative|positive	#D7141E	0.800767498435431
9c60858d-13c7-3e3e-8814-f3cf69d50e4e	Scarabino T	19	1		#D7141E	0.817284907071694
9c60858d-13c7-3e3e-8814-f3cf69d50e4e	Scarabino T	20	1	ear|order	#F03623	0.742958748493645
9c60858d-13c7-3e3e-8814-f3cf69d50e4e	Scarabino T	21	1	motor	#FD913D	0.522941206285624
9c60858d-13c7-3e3e-8814-f3cf69d50e4e	Scarabino T	22	1	visual	#FC622F	0.644217988192463
9c60858d-13c7-3e3e-8814-f3cf69d50e4e	Scarabino T	23	1	age|image|response	#F03623	0.73982252458816
9c60858d-13c7-3e3e-8814-f3cf69d50e4e	Scarabino T	1	2	sound|sounds	#FEE188	0.20000033328673
9c60858d-13c7-3e3e-8814-f3cf69d50e4e	Scarabino T	2	2		#FEE188	0.271850787078165
9c60858d-13c7-3e3e-8814-f3cf69d50e4e	Scarabino T	3	2	audiovisual|bimodal|crossmodal	#FEE188	0.242552552688344
9c60858d-13c7-3e3e-8814-f3cf69d50e4e	Scarabino T	4	2		#FDAD4A	0.483256504224058
