UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	1	1	auditory|speech	#FC622F	0.691865266315708
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	2	1		#FC622F	0.630244784488228
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	3	1	da|integration	#FC622F	0.66374410580365
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	4	1		#F03623	0.77640773048338
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	5	1	physical|psychophysical|tactile	#FC622F	0.608333679487971
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	6	1		#F03623	0.764307224999339
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	7	1	somatosensory|stimulation	#F03623	0.776204974143133
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	8	1	painful|pain	#FD913D	0.5250957600833
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	9	1		#FC622F	0.60701106471903
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	10	1	ratings	#FC622F	0.62479086401322
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	11	1	affective|affect	#FDAD4A	0.469056968929807
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	12	1	emotions	#FDAD4A	0.460706419947224
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	13	1	expression|expressions|facial	#FEE188	0.292028384236511
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	14	1		#FDAD4A	0.496799420152861
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	15	1		#FD913D	0.548170155348493
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	16	1	emotion|motion|neutral	#FD913D	0.56017872746604
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	17	1	rating	#FC622F	0.632934674657366
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	18	1	negative|positive	#F03623	0.723383248748648
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	19	1		#F03623	0.800227960170006
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	20	1	ear|order	#F03623	0.75427416710211
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	21	1	motor	#F03623	0.796200846415445
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	22	1	visual	#FD913D	0.579252105525866
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	23	1	age|image|response	#F03623	0.731390672483425
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	1	2	sound|sounds	#FD913D	0.502546806810347
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	2	2		#FC622F	0.600996051038847
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	3	2	audiovisual|bimodal|crossmodal	#FECB68	0.381655494414871
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	4	2		#D7141E	0.804073684144007
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	5	2		#D7141E	0.855877753580171
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	6	2		#D7141E	0.82069200048499
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	7	2	sensation	#FD913D	0.506049475395987
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	8	2	heat|noxious	#FDAD4A	0.498288275224345
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	9	2		#FC622F	0.601140602510807
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	10	2		#FC622F	0.636296564404264
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	11	2		#FC622F	0.612563768694626
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	12	2	valence	#FD913D	0.51290100308713
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	13	2	person|social	#FD913D	0.527931798084536
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	14	2		#FD913D	0.511098737950727
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	15	2	face|faces	#FDAD4A	0.419081219289453
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	16	2		#FC622F	0.636147789163853
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	17	2		#F03623	0.71350477182283
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	18	2		#F03623	0.783510866564254
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	19	2		#D7141E	0.809735046086442
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	20	2		#F03623	0.780764668098066
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	21	2	images|spatial	#F03623	0.7271838881185
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	22	2	control	#F03623	0.716982138245275
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	23	2	time	#F03623	0.746260825235187
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	1	3	acoustic|listening|musical|music|pitch	#FDAD4A	0.464096403456611
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	2	3	noise|tones	#FD913D	0.528085924078474
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	3	3		#F03623	0.746860018212212
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	4	3		#D7141E	0.865108202323835
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	5	3	frequency	#B10026	0.946191422191217
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	6	3		#B10026	0.955574084165922
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	7	3		#FD913D	0.588042224751259
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	8	3	temperature	#FECB68	0.397855154729697
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	9	3		#FD913D	0.568986063242309
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	10	3	pleasant|unpleasant	#FDAD4A	0.471351007172695
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	11	3	anxiety	#FDAD4A	0.474017405716908
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	12	3		#FC622F	0.607548740022639
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	13	3		#FC622F	0.641162405908844
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	14	3		#FD913D	0.597905018183458
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	15	3		#FC622F	0.609925149359598
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	16	3	picture	#FD913D	0.55769431375196
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	17	3		#F03623	0.758112812526493
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	18	3	value	#D7141E	0.847789888486335
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	19	3	cue	#FC622F	0.697618894425246
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	20	3	error|target	#F03623	0.765931318772194
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	21	3	attention	#FC622F	0.654743584234855
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	22	3		#FC622F	0.679175041715176
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	23	3	number	#FC622F	0.67294430479069
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	1	4	voice	#FDAD4A	0.444556950546405
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	2	4		#FD913D	0.596260930514797
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	3	4	hearing	#FD913D	0.52665926109281
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	4	4		#D7141E	0.852509712361756
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	5	4	overt	#F03623	0.790364183171109
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	6	4		#B10026	0.915561409487917
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	7	4		#FC622F	0.659426766178997
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	8	4	nociceptive|nonpainful|painrelated	#FEE188	0.28229708479084
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	9	4	unpleasantness	#FD913D	0.523676483955974
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	10	4	skin|subjective	#FC622F	0.691490878837252
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	11	4	depression	#FC622F	0.668088470908465
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	12	4	experience	#FD913D	0.55817161169385
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	13	4	female	#FD913D	0.564595425239941
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	14	4	male	#F03623	0.713120307112154
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	15	4	pictures	#FDAD4A	0.484430061312065
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	16	4		#F03623	0.701691777329488
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	17	4	perception	#F03623	0.739821398968568
9e8121d6-d981-3122-8e81-bc07c84bdbe9	Mulert C	18	4		#F03623	0.764971882620777
